Proteotoxic Stress Proteins		
This table was generated by retriving a list of heat shock and autophagy proteins found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Heat shock protein family B member 1) (Stress-responsive protein 27) (SRP27)	HSPB1 HSP27 HSP28	anterograde axonal protein transport [GO:0099641]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; intestinal epithelial structure maintenance [GO:0060729]; intracellular signal transduction [GO:0035556]; negative regulation of apoptotic process [GO:0043066]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of protein kinase C signaling [GO:0090038]; platelet aggregation [GO:0070527]; positive regulation of angiogenesis [GO:0045766]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of endothelial cell chemotaxis [GO:2001028]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of tumor necrosis factor production [GO:0032760]; protein folding [GO:0006457]; protein refolding [GO:0042026]; regulation of autophagy [GO:0010506]; regulation of canonical NF-kappaB signal transduction [GO:0043122]; regulation of protein phosphorylation [GO:0001932]; regulation of translational initiation [GO:0006446]; response to heat [GO:0009408]; response to unfolded protein [GO:0006986]; response to virus [GO:0009615]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]
Heat shock protein beta-2 (HspB2) (DMPK-binding protein) (MKBP) (Heat shock protein family B member 2)	HSPB2	negative regulation of apoptotic process [GO:0043066]; protein refolding [GO:0042026]; response to heat [GO:0009408]; response to unfolded protein [GO:0006986]; somatic muscle development [GO:0007525]
Heat shock protein beta-3 (HspB3) (Heat shock 17 kDa protein) (HSP 17) (Heat shock protein family B member 3) (Protein 3)	HSPB3 HSP27 HSPL27	response to unfolded protein [GO:0006986]
Heat shock protein beta-6 (HspB6) (Heat shock 20 kDa-like protein p20) (Heat shock protein family B member 6)	HSPB6	negative regulation of apoptotic process [GO:0043066]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; positive regulation of angiogenesis [GO:0045766]; protein folding [GO:0006457]; protein refolding [GO:0042026]; response to heat [GO:0009408]
Heat shock protein beta-7 (HspB7) (Cardiovascular heat shock protein) (cvHsp)	HSPB7 CVHSP	heart development [GO:0007507]; regulation of heart contraction [GO:0008016]; response to unfolded protein [GO:0006986]
Heat shock protein beta-8 (HspB8) (Alpha-crystallin C chain) (E2-induced gene 1 protein) (Heat shock protein family B member 8) (Protein kinase H11) (Small stress protein-like protein HSP22)	HSPB8 CRYAC E2IG1 HSP22 PP1629	cellular response to unfolded protein [GO:0034620]; positive regulation of aggrephagy [GO:1905337]
Heat shock protein beta-9 (HspB9) (Cancer/testis antigen 51) (CT51) (Heat shock protein family B member 9)	HSPB9	
HSPB1-associated protein 1 (27 kDa heat shock protein-associated protein 1) (Protein associated with small stress protein 1)	HSPBAP1 PASS1	
60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (Heat shock protein family D member 1) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein)	HSPD1 HSP60	de novo' protein folding [GO:0006458]; apoptotic mitochondrial changes [GO:0008637]; B cell activation [GO:0042113]; B cell proliferation [GO:0042100]; biological process involved in interaction with symbiont [GO:0051702]; cellular response to interleukin-7 [GO:0098761]; chaperone-mediated protein complex assembly [GO:0051131]; isotype switching to IgG isotypes [GO:0048291]; mitochondrial unfolded protein response [GO:0034514]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; negative regulation of apoptotic process [GO:0043066]; negative regulation of execution phase of apoptosis [GO:1900118]; positive regulation of execution phase of apoptosis [GO:1900119]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of macrophage activation [GO:0043032]; positive regulation of T cell activation [GO:0050870]; positive regulation of T cell mediated immune response to tumor cell [GO:0002842]; positive regulation of type II interferon production [GO:0032729]; protein folding [GO:0006457]; protein import into mitochondrial intermembrane space [GO:0045041]; protein maturation [GO:0051604]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]; response to cold [GO:0009409]; response to unfolded protein [GO:0006986]; T cell activation [GO:0042110]
10 kDa heat shock protein, mitochondrial (Hsp10) (10 kDa chaperonin) (Chaperonin 10) (CPN10) (Early-pregnancy factor) (EPF) (Heat shock protein family E member 1)	HSPE1	intrinsic apoptotic signaling pathway [GO:0097193]; osteoblast differentiation [GO:0001649]; protein folding [GO:0006457]; response to unfolded protein [GO:0006986]
Heat shock protein 105 kDa (Antigen NY-CO-25) (Heat shock 110 kDa protein) (Heat shock protein family H member 1)	HSPH1 HSP105 HSP110 KIAA0201	positive regulation of MHC class I biosynthetic process [GO:0045345]; positive regulation of NK T cell activation [GO:0051135]; protein folding [GO:0006457]; response to unfolded protein [GO:0006986]
Huntingtin (Huntington disease protein) (HD protein) [Cleaved into: Huntingtin, myristoylated N-terminal fragment]	HTT HD IT15	apoptotic process [GO:0006915]; central nervous system development [GO:0007417]; establishment of mitotic spindle orientation [GO:0000132]; Golgi organization [GO:0007030]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; neurogenesis [GO:0022008]; positive regulation of aggrephagy [GO:1905337]; positive regulation of apoptotic process [GO:0043065]; positive regulation of CAMKK-AMPK signaling cascade [GO:1905291]; positive regulation of cilium assembly [GO:0045724]; positive regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity [GO:0031587]; positive regulation of lipophagy [GO:1904504]; positive regulation of mitophagy [GO:1901526]; protein destabilization [GO:0031648]; regulation of CAMKK-AMPK signaling cascade [GO:1905289]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]; synaptic vesicle transport [GO:0048489]; vesicle transport along microtubule [GO:0047496]; vocal learning [GO:0042297]
Hypoxia up-regulated protein 1 (150 kDa oxygen-regulated protein) (ORP-150) (170 kDa glucose-regulated protein) (GRP-170) (Heat shock protein family H member 4)	HYOU1 GRP170 HSPH4 ORP150	cellular response to hypoxia [GO:0071456]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway [GO:1903382]; negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway [GO:1903298]; response to endoplasmic reticulum stress [GO:0034976]; response to ischemia [GO:0002931]
Intraflagellar transport protein 25 homolog (Heat shock protein beta-11) (Hspb11) (Heat shock protein family B member 11) (Placental protein 25) (PP25)	IFT25 C1orf41 HSPB11 HSPC034	cell differentiation [GO:0030154]; cilium assembly [GO:0060271]; heart development [GO:0007507]; intraciliary anterograde transport [GO:0035720]; kidney development [GO:0001822]; left/right axis specification [GO:0070986]; lung development [GO:0030324]; protein transport [GO:0015031]; skeletal system development [GO:0001501]; smoothened signaling pathway [GO:0007224]; spermatogenesis [GO:0007283]
Interleukin-1 receptor-associated kinase 1 (IRAK-1) (EC 2.7.11.1)	IRAK1 IRAK	canonical NF-kappaB signal transduction [GO:0007249]; cellular response to heat [GO:0034605]; cellular response to hypoxia [GO:0071456]; innate immune response [GO:0045087]; interleukin-1-mediated signaling pathway [GO:0070498]; interleukin-33-mediated signaling pathway [GO:0038172]; intracellular signal transduction [GO:0035556]; JNK cascade [GO:0007254]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of leukocyte adhesion to vascular endothelial cell [GO:1904996]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of type I interferon production [GO:0032481]; protein autophosphorylation [GO:0046777]; regulation of cytokine-mediated signaling pathway [GO:0001959]; regulation of DNA-templated transcription [GO:0006355]; response to interleukin-1 [GO:0070555]; response to lipopolysaccharide [GO:0032496]; Toll signaling pathway [GO:0008063]; toll-like receptor 2 signaling pathway [GO:0034134]; toll-like receptor 4 signaling pathway [GO:0034142]; toll-like receptor 9 signaling pathway [GO:0034162]; toll-like receptor signaling pathway [GO:0002224]; type I interferon-mediated signaling pathway [GO:0060337]
Integrin alpha-M (CD11 antigen-like family member B) (CR-3 alpha chain) (Cell surface glycoprotein MAC-1 subunit alpha) (Leukocyte adhesion receptor MO1) (Neutrophil adherence receptor) (CD antigen CD11b)	ITGAM CD11B CR3A	amyloid-beta clearance [GO:0097242]; cell adhesion [GO:0007155]; cell-cell adhesion [GO:0098609]; cell-cell adhesion via plasma-membrane adhesion molecules [GO:0098742]; cell-matrix adhesion [GO:0007160]; complement receptor mediated signaling pathway [GO:0002430]; complement-mediated synapse pruning [GO:0150062]; ectodermal cell differentiation [GO:0010668]; forebrain development [GO:0030900]; heterotypic cell-cell adhesion [GO:0034113]; innate immune response [GO:0045087]; integrin-mediated signaling pathway [GO:0007229]; microglial cell activation [GO:0001774]; negative regulation of dopamine metabolic process [GO:0045963]; phagocytosis, engulfment [GO:0006911]; positive regulation of microglial cell mediated cytotoxicity [GO:1904151]; positive regulation of neutrophil degranulation [GO:0043315]; positive regulation of protein targeting to membrane [GO:0090314]; positive regulation of superoxide anion generation [GO:0032930]; receptor-mediated endocytosis [GO:0006898]; response to amphetamine [GO:0001975]; response to curcumin [GO:1904643]; response to estradiol [GO:0032355]; response to Gram-positive bacterium [GO:0140459]; response to ischemia [GO:0002931]; response to mechanical stimulus [GO:0009612]; vertebrate eye-specific patterning [GO:0150064]
Integrin beta-2 (Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta) (Complement receptor C3 subunit beta) (CD antigen CD18)	ITGB2 CD18 MFI7	amyloid-beta clearance [GO:0097242]; apoptotic process [GO:0006915]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell-cell adhesion [GO:0098609]; cell-cell adhesion via plasma-membrane adhesion molecules [GO:0098742]; cell-cell signaling [GO:0007267]; cell-matrix adhesion [GO:0007160]; cellular extravasation [GO:0045123]; cellular response to low-density lipoprotein particle stimulus [GO:0071404]; endodermal cell differentiation [GO:0035987]; endothelial cell migration [GO:0043542]; heterotypic cell-cell adhesion [GO:0034113]; inflammatory response [GO:0006954]; integrin-mediated signaling pathway [GO:0007229]; leukocyte cell-cell adhesion [GO:0007159]; leukocyte migration involved in inflammatory response [GO:0002523]; microglial cell activation [GO:0001774]; negative regulation of dopamine metabolic process [GO:0045963]; neutrophil chemotaxis [GO:0030593]; neutrophil migration [GO:1990266]; phagocytosis, engulfment [GO:0006911]; positive regulation of angiogenesis [GO:0045766]; positive regulation of leukocyte adhesion to vascular endothelial cell [GO:1904996]; positive regulation of neutrophil degranulation [GO:0043315]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of protein targeting to membrane [GO:0090314]; positive regulation of superoxide anion generation [GO:0032930]; receptor clustering [GO:0043113]; receptor internalization [GO:0031623]; receptor-mediated endocytosis [GO:0006898]; regulation of cell shape [GO:0008360]; regulation of peptidyl-tyrosine phosphorylation [GO:0050730]
LIM domain kinase 1 (LIMK-1) (EC 2.7.11.1)	LIMK1 LIMK	actin cytoskeleton organization [GO:0030036]; axon extension [GO:0048675]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; nervous system development [GO:0007399]; positive regulation of actin filament bundle assembly [GO:0032233]; positive regulation of axon extension [GO:0045773]; positive regulation of stress fiber assembly [GO:0051496]; protein phosphorylation [GO:0006468]; Rho protein signal transduction [GO:0007266]; signal transduction [GO:0007165]; stress fiber assembly [GO:0043149]
Vesicular integral-membrane protein VIP36 (Glycoprotein GP36b) (Lectin mannose-binding 2) (Vesicular integral-membrane protein 36) (VIP36)	LMAN2 C5orf8	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; positive regulation of phagocytosis [GO:0050766]; protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]
MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2) (EC 2.7.11.1)	MAPKAPK2	3'-UTR-mediated mRNA stabilization [GO:0070935]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; DNA damage response [GO:0006974]; inflammatory response [GO:0006954]; inner ear development [GO:0048839]; intracellular signal transduction [GO:0035556]; leukotriene metabolic process [GO:0006691]; macropinocytosis [GO:0044351]; MAPK cascade [GO:0000165]; p38MAPK cascade [GO:0038066]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of tumor necrosis factor production [GO:0032760]; regulation of cellular response to heat [GO:1900034]; regulation of interleukin-6 production [GO:0032675]; regulation of mRNA stability [GO:0043488]; regulation of tumor necrosis factor production [GO:0032680]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]; response to cytokine [GO:0034097]; response to lipopolysaccharide [GO:0032496]; toll-like receptor signaling pathway [GO:0002224]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]
Histidine protein methyltransferase 1 homolog (EC 2.1.1.85) (Arsenic-transactivated protein 2) (AsTP2) (Methyltransferase-like protein 18)	METTL18 ASTP2 C1orf156	peptidyl-lysine monomethylation [GO:0018026]; regulation of ribosome biogenesis [GO:0090069]; regulation of rRNA processing [GO:2000232]; regulation of translation [GO:0006417]; regulation of translational elongation [GO:0006448]
Protein N-lysine methyltransferase METTL21A (EC 2.1.1.-) (HSPA lysine methyltransferase) (HSPA-KMT) (Hepatocellular carcinoma-associated antigen 557b) (Methyltransferase-like protein 21A)	METTL21A FAM119A HCA557B	negative regulation of protein folding [GO:1903333]; protein methylation [GO:0006479]
Protein-lysine methyltransferase METTL21C (EC 2.1.1.-) (Methyltransferase-like protein 21C)	METTL21C C13orf39	cellular response to dexamethasone stimulus [GO:0071549]; hormone-mediated apoptotic signaling pathway [GO:0008628]; peptidyl-lysine methylation [GO:0018022]; protein methylation [GO:0006479]; regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO:0010880]; skeletal muscle tissue development [GO:0007519]
Methyltransferase-like protein 22 (EC 2.1.1.-)	METTL22 C16orf68 LP8272	protein methylation [GO:0006479]
Histone-arginine methyltransferase METTL23 (EC 2.1.1.319) (Methyltransferase-like protein 23)	METTL23 C17orf95	cognition [GO:0050890]; epigenetic programing of male pronucleus [GO:0044727]; epigenetic programming in the zygotic pronuclei [GO:0044725]; epigenetic regulation of gene expression [GO:0040029]; methylation [GO:0032259]; positive regulation of transcription by RNA polymerase II [GO:0045944]
2-oxoglutarate dehydrogenase complex component E1 (E1o) (HsOGDH) (OGDC-E1) (OGDH-E1) (EC 1.2.4.2) (2-oxoglutarate dehydrogenase, mitochondrial) (Alpha-ketoglutarate dehydrogenase) (Alpha-KGDH-E1) (Thiamine diphosphate (ThDP)-dependent 2-oxoglutarate dehydrogenase)	OGDH	2-oxoglutarate decarboxylation to succinyl-CoA [GO:0120551]; 2-oxoglutarate metabolic process [GO:0006103]; cerebellar cortex development [GO:0021695]; generation of precursor metabolites and energy [GO:0006091]; glycolytic process [GO:0006096]; hippocampus development [GO:0021766]; olfactory bulb mitral cell layer development [GO:0061034]; pyramidal neuron development [GO:0021860]; striatum development [GO:0021756]; succinyl-CoA metabolic process [GO:0006104]; tangential migration from the subventricular zone to the olfactory bulb [GO:0022028]; thalamus development [GO:0021794]; tricarboxylic acid cycle [GO:0006099]
Parkin coregulated gene protein (Molecular chaperone/chaperonin-binding protein) (PARK2 coregulated gene protein)	PACRG GLUP	cellular response to unfolded protein [GO:0034620]; flagellated sperm motility [GO:0030317]; intracellular protein localization [GO:0008104]; spermatid development [GO:0007286]
Chronophin (EC 3.1.3.16) (EC 3.1.3.74) (Pyridoxal phosphate phosphatase) (PLP phosphatase)	PDXP CIN PLP PLPP	actin rod assembly [GO:0031247]; cellular response to ATP [GO:0071318]; dephosphorylation [GO:0016311]; positive regulation of actin filament depolymerization [GO:0030836]; protein dephosphorylation [GO:0006470]; pyridoxal phosphate catabolic process [GO:0032361]; regulation of cytokinesis [GO:0032465]; regulation of mitotic nuclear division [GO:0007088]; regulation of modification of postsynaptic structure [GO:0099159]
Peptidyl-prolyl cis-trans isomerase D (PPIase D) (EC 5.2.1.8) (40 kDa peptidyl-prolyl cis-trans isomerase) (Cyclophilin-40) (CYP-40) (Cyclophilin-related protein) (Rotamase D)	PPID CYP40 CYPD	apoptotic process [GO:0006915]; cellular response to UV-A [GO:0071492]; lipid droplet organization [GO:0034389]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of apoptotic process [GO:0043065]; positive regulation of protein secretion [GO:0050714]; positive regulation of viral genome replication [GO:0045070]; protein folding [GO:0006457]; protein transport [GO:0015031]; protein-containing complex assembly [GO:0065003]; viral release from host cell [GO:0019076]
E3 ubiquitin-protein ligase parkin (Parkin) (EC 2.3.2.31) (Parkin RBR E3 ubiquitin-protein ligase) (Parkinson juvenile disease protein 2) (Parkinson disease protein 2)	PRKN PARK2	adult locomotory behavior [GO:0008344]; aggresome assembly [GO:0070842]; amyloid fibril formation [GO:1990000]; autophagy of mitochondrion [GO:0000422]; cellular response to dopamine [GO:1903351]; cellular response to hydrogen sulfide [GO:1904881]; cellular response to L-glutamate [GO:1905232]; cellular response to L-glutamine [GO:1904845]; cellular response to manganese ion [GO:0071287]; cellular response to oxidative stress [GO:0034599]; cellular response to toxic substance [GO:0097237]; cellular response to unfolded protein [GO:0034620]; central nervous system development [GO:0007417]; dopamine metabolic process [GO:0042417]; dopamine uptake involved in synaptic transmission [GO:0051583]; ERAD pathway [GO:0036503]; free ubiquitin chain polymerization [GO:0010994]; host-mediated suppression of viral genome replication [GO:0044828]; learning [GO:0007612]; macroautophagy [GO:0016236]; mitochondrial fission [GO:0000266]; mitochondrial fragmentation involved in apoptotic process [GO:0043653]; mitochondrion localization [GO:0051646]; mitochondrion organization [GO:0007005]; mitochondrion to lysosome vesicle-mediated transport [GO:0099074]; mitophagy [GO:0000423]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of actin filament bundle assembly [GO:0032232]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway [GO:1903382]; negative regulation of excitatory postsynaptic potential [GO:0090394]; negative regulation of exosomal secretion [GO:1903542]; negative regulation of gene expression [GO:0010629]; negative regulation of glucokinase activity [GO:0033132]; negative regulation of insulin secretion [GO:0046676]; negative regulation of intralumenal vesicle formation [GO:1905366]; negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator [GO:1902254]; negative regulation of JNK cascade [GO:0046329]; negative regulation of mitochondrial fission [GO:0090258]; negative regulation of mitochondrial fusion [GO:0010637]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway [GO:1903377]; negative regulation of reactive oxygen species biosynthetic process [GO:1903427]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; negative regulation of release of cytochrome c from mitochondria [GO:0090201]; negative regulation of spontaneous neurotransmitter secretion [GO:1904049]; negative regulation of synaptic transmission, glutamatergic [GO:0051967]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuron cellular homeostasis [GO:0070050]; norepinephrine metabolic process [GO:0042415]; positive regulation of apoptotic process [GO:0043065]; positive regulation of ATP biosynthetic process [GO:2001171]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of dendrite extension [GO:1903861]; positive regulation of gene expression [GO:0010628]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of mitochondrial fission [GO:0090141]; positive regulation of mitochondrial fusion [GO:0010636]; positive regulation of mitochondrial membrane potential [GO:0010918]; positive regulation of mitophagy [GO:1901526]; positive regulation of neurotransmitter uptake [GO:0051582]; positive regulation of proteasomal protein catabolic process [GO:1901800]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of protein linear polyubiquitination [GO:1902530]; positive regulation of protein localization to membrane [GO:1905477]; positive regulation of retrograde transport, endosome to Golgi [GO:1905281]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor-mediated signaling pathway [GO:1903265]; positive regulation of type 2 mitophagy [GO:1905091]; proteasomal protein catabolic process [GO:0010498]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein destabilization [GO:0031648]; protein deubiquitination [GO:0016579]; protein K11-linked ubiquitination [GO:0070979]; protein K27-linked ubiquitination [GO:0044314]; protein K29-linked ubiquitination [GO:0035519]; protein K48-linked ubiquitination [GO:0070936]; protein K6-linked ubiquitination [GO:0085020]; protein K63-linked ubiquitination [GO:0070534]; protein localization to mitochondrion [GO:0070585]; protein monoubiquitination [GO:0006513]; protein polyubiquitination [GO:0000209]; protein stabilization [GO:0050821]; protein ubiquitination [GO:0016567]; regulation of apoptotic process [GO:0042981]; regulation of autophagy [GO:0010506]; regulation of canonical Wnt signaling pathway [GO:0060828]; regulation of cellular response to oxidative stress [GO:1900407]; regulation of dopamine metabolic process [GO:0042053]; regulation of dopamine secretion [GO:0014059]; regulation of glucose metabolic process [GO:0010906]; regulation of lipid transport [GO:0032368]; regulation of mitochondrion organization [GO:0010821]; regulation of necroptotic process [GO:0060544]; regulation of postsynaptic membrane neurotransmitter receptor levels [GO:0099072]; regulation of protein stability [GO:0031647]; regulation of protein targeting to mitochondrion [GO:1903214]; regulation of protein ubiquitination [GO:0031396]; regulation of reactive oxygen species metabolic process [GO:2000377]; regulation of synaptic vesicle endocytosis [GO:1900242]; regulation of synaptic vesicle transport [GO:1902803]; regulation protein catabolic process at presynapse [GO:0140251]; response to corticosterone [GO:0051412]; response to curcumin [GO:1904643]; response to endoplasmic reticulum stress [GO:0034976]; response to muscle activity [GO:0014850]; response to oxidative stress [GO:0006979]; response to xenobiotic stimulus [GO:0009410]; startle response [GO:0001964]; synaptic transmission, glutamatergic [GO:0035249]; type 2 mitophagy [GO:0061734]; ubiquitin-dependent protein catabolic process [GO:0006511]
Prostaglandin E synthase 3 (EC 5.3.99.3) (Cytosolic prostaglandin E2 synthase) (cPGES) (Hsp90 co-chaperone) (Progesterone receptor complex p23) (Telomerase-binding protein p23)	PTGES3 P23 TEBP	chaperone-mediated protein complex assembly [GO:0051131]; positive regulation of telomere maintenance via telomerase [GO:0032212]; prostaglandin biosynthetic process [GO:0001516]; prostanoid biosynthetic process [GO:0046457]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; signal transduction [GO:0007165]; telomerase holoenzyme complex assembly [GO:1905323]; telomere maintenance [GO:0000723]; telomere maintenance via telomerase [GO:0007004]
Small glutamine-rich tetratricopeptide repeat-containing protein alpha (Alpha-SGT) (Vpu-binding protein) (UBP)	SGTA SGT SGT1	ERAD pathway [GO:0036503]; negative regulation of ERAD pathway [GO:1904293]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]; positive regulation of ERAD pathway [GO:1904294]; positive regulation of ubiquitin-dependent protein catabolic process [GO:2000060]; post-translational protein targeting to endoplasmic reticulum membrane [GO:0006620]; tail-anchored membrane protein insertion into ER membrane [GO:0071816]
Leukosialin (GPL115) (Galactoglycoprotein) (GALGP) (Leukocyte sialoglycoprotein) (Sialophorin) (CD antigen CD43) [Cleaved into: CD43 cytoplasmic tail (CD43-ct) (CD43ct)]	SPN CD43	apoptotic signaling pathway [GO:0097190]; cell surface receptor signaling pathway [GO:0007166]; cellular defense response [GO:0006968]; chemotaxis [GO:0006935]; defense response to bacterium [GO:0042742]; establishment or maintenance of cell polarity [GO:0007163]; immune response [GO:0006955]; leukocyte tethering or rolling [GO:0050901]; negative regulation of cell adhesion [GO:0007162]; negative regulation of T cell proliferation [GO:0042130]; negative regulation of type IV hypersensitivity [GO:0001808]; negative thymic T cell selection [GO:0045060]; positive regulation of T cell migration [GO:2000406]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of tumor necrosis factor production [GO:0032760]; regulation of defense response to virus [GO:0050688]; regulation of immune response [GO:0050776]; regulation of T cell migration [GO:2000404]; response to protozoan [GO:0001562]; signal transduction [GO:0007165]; T cell costimulation [GO:0031295]; T cell proliferation [GO:0042098]; T-helper 1 cell lineage commitment [GO:0002296]
Protein SSUH2 homolog (Protein ssu-2 homolog)	SSUH2 C3orf32 FLS485	odontogenesis [GO:0042476]
Hsc70-interacting protein (Hip) (Aging-associated protein 2) (Progesterone receptor-associated p48 protein) (Protein FAM10A1) (Putative tumor suppressor ST13) (Renal carcinoma antigen NY-REN-33) (Suppression of tumorigenicity 13 protein)	ST13 AAG2 FAM10A1 HIP SNC6	protein folding [GO:0006457]; response to bacterium [GO:0009617]
E3 ubiquitin-protein ligase CHIP (EC 2.3.2.27) (Antigen NY-CO-7) (CLL-associated antigen KW-8) (Carboxy terminus of Hsp70-interacting protein) (RING-type E3 ubiquitin transferase CHIP) (STIP1 homology and U box-containing protein 1)	STUB1 CHIP PP1131	cellular response to heat [GO:0034605]; cellular response to hypoxia [GO:0071456]; cellular response to misfolded protein [GO:0071218]; chaperone-mediated autophagy [GO:0061684]; DNA repair [GO:0006281]; endoplasmic reticulum unfolded protein response [GO:0030968]; ERAD pathway [GO:0036503]; ERBB2 signaling pathway [GO:0038128]; MAPK cascade [GO:0000165]; negative regulation of cardiac muscle hypertrophy [GO:0010614]; negative regulation of peroxisome proliferator activated receptor signaling pathway [GO:0035359]; negative regulation of smooth muscle cell apoptotic process [GO:0034392]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; negative regulation of vascular associated smooth muscle contraction [GO:1904694]; positive regulation of chaperone-mediated protein complex assembly [GO:0090035]; positive regulation of ERAD pathway [GO:1904294]; positive regulation of mitophagy [GO:1901526]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of proteolysis [GO:0045862]; positive regulation of smooth muscle cell apoptotic process [GO:0034393]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein K63-linked ubiquitination [GO:0070534]; protein monoubiquitination [GO:0006513]; protein polyubiquitination [GO:0000209]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]; protein stabilization [GO:0050821]; protein ubiquitination [GO:0016567]; regulation of glucocorticoid metabolic process [GO:0031943]; regulation of protein stability [GO:0031647]; response to ischemia [GO:0002931]; ubiquitin-dependent protein catabolic process [GO:0006511]
Protein SGT1 homolog (Protein 40-6-3) (Sgt1) (Suppressor of G2 allele of SKP1 homolog)	SUGT1	kinetochore assembly [GO:0051382]; regulation of protein stability [GO:0031647]; skeletal muscle satellite cell proliferation [GO:0014841]; spindle organization [GO:0007051]
Transcription factor A, mitochondrial (mtTFA) (Mitochondrial transcription factor 1) (MtTF1) (Transcription factor 6) (TCF-6) (Transcription factor 6-like 2)	TFAM TCF6 TCF6L2	mitochondrial respiratory chain complex assembly [GO:0033108]; mitochondrial transcription [GO:0006390]; response to hypoxia [GO:0001666]; response to nutrient [GO:0007584]; transcription initiation at mitochondrial promoter [GO:0006391]
Mitochondrial import receptor subunit TOM34 (hTom34) (Translocase of outer membrane 34 kDa subunit)	TOMM34 URCC3	protein targeting to mitochondrion [GO:0006626]
