Mechanical & Extracellular Stress		
This table was generated by retriving a list of proteins related to Mechanotransduction and Focal Adhesion found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
Transmembrane gamma-carboxyglutamic acid protein 2 (Proline-rich gamma-carboxyglutamic acid protein 2) (Proline-rich Gla protein 2)	PRRG2 PRGP2 TMG2	blood coagulation [GO:0007596]; proteolysis [GO:0006508]
Tyrosine-protein phosphatase non-receptor type 14 (EC 3.1.3.48) (Protein-tyrosine phosphatase pez)	PTPN14 PEZ PTPD2	lymphangiogenesis [GO:0001946]; negative regulation of cell population proliferation [GO:0008285]; protein dephosphorylation [GO:0006470]; regulation of protein export from nucleus [GO:0046825]
Ras-related protein Rab-11A (Rab-11) (EC 3.6.5.2) (YL8)	RAB11A RAB11	amyloid-beta clearance by transcytosis [GO:0150093]; astral microtubule organization [GO:0030953]; early endosome to recycling endosome transport [GO:0061502]; establishment of protein localization to membrane [GO:0090150]; establishment of protein localization to organelle [GO:0072594]; establishment of vesicle localization [GO:0051650]; exocytosis [GO:0006887]; exosomal secretion [GO:1990182]; Golgi to plasma membrane protein transport [GO:0043001]; melanosome transport [GO:0032402]; mitotic metaphase chromosome alignment [GO:0007080]; mitotic spindle assembly [GO:0090307]; multivesicular body assembly [GO:0036258]; neuron projection development [GO:0031175]; neurotransmitter receptor transport, endosome to postsynaptic membrane [GO:0098887]; plasma membrane to endosome transport [GO:0048227]; positive regulation of epithelial cell migration [GO:0010634]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of mitotic cytokinetic process [GO:1903438]; positive regulation of protein localization to plasma membrane [GO:1903078]; protein localization to cell surface [GO:0034394]; protein localization to cilium [GO:0061512]; protein localization to plasma membrane [GO:0072659]; protein transmembrane transport [GO:0071806]; regulation of cilium assembly [GO:1902017]; regulation of cytokinesis [GO:0032465]; regulation of early endosome to recycling endosome transport [GO:1902954]; regulation of endocytic recycling [GO:2001135]; regulation of long-term neuronal synaptic plasticity [GO:0048169]; regulation of protein localization to centrosome [GO:1904779]; regulation of protein transport [GO:0051223]; regulation of vesicle-mediated transport [GO:0060627]; synaptic vesicle endosomal processing [GO:0099532]; vesicle-mediated transport [GO:0016192]; vesicle-mediated transport in synapse [GO:0099003]
Runt-related transcription factor 1 (Acute myeloid leukemia 1 protein) (Core-binding factor subunit alpha-2) (CBF-alpha-2) (Oncogene AML-1) (Polyomavirus enhancer-binding protein 2 alpha B subunit) (PEA2-alpha B) (PEBP2-alpha B) (SL3-3 enhancer factor 1 alpha B subunit) (SL3/AKV core-binding factor alpha B subunit)	RUNX1 AML1 CBFA2	cardiac muscle tissue regeneration [GO:0061026]; chondrocyte differentiation [GO:0002062]; hematopoietic stem cell proliferation [GO:0071425]; hemopoiesis [GO:0030097]; myeloid cell differentiation [GO:0030099]; myeloid leukocyte differentiation [GO:0002573]; negative regulation of CD4-positive, alpha-beta T cell differentiation [GO:0043371]; negative regulation of granulocyte differentiation [GO:0030853]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuron differentiation [GO:0030182]; ossification [GO:0001503]; peripheral nervous system neuron development [GO:0048935]; positive regulation of angiogenesis [GO:0045766]; positive regulation of CD8-positive, alpha-beta T cell differentiation [GO:0043378]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of extracellular matrix organization [GO:1903055]; positive regulation of granulocyte differentiation [GO:0030854]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cardiac muscle cell proliferation [GO:0060043]; regulation of cell differentiation [GO:0045595]; regulation of connective tissue replacement [GO:1905203]; regulation of plasminogen activation [GO:0010755]; regulation of transcription by RNA polymerase II [GO:0006357]
Runt-related transcription factor 2 (Acute myeloid leukemia 3 protein) (Core-binding factor subunit alpha-1) (CBF-alpha-1) (Oncogene AML-3) (Osteoblast-specific transcription factor 2) (OSF-2) (Polyomavirus enhancer-binding protein 2 alpha A subunit) (PEA2-alpha A) (PEBP2-alpha A) (SL3-3 enhancer factor 1 alpha A subunit) (SL3/AKV core-binding factor alpha A subunit)	RUNX2 AML3 CBFA1 OSF2 PEBP2A	BMP signaling pathway [GO:0030509]; bone mineralization [GO:0030282]; cell maturation [GO:0048469]; chondrocyte development [GO:0002063]; chondrocyte differentiation [GO:0002062]; embryonic cranial skeleton morphogenesis [GO:0048701]; embryonic forelimb morphogenesis [GO:0035115]; endochondral ossification [GO:0001958]; epithelial cell proliferation [GO:0050673]; gene expression [GO:0010467]; hemopoiesis [GO:0030097]; ligamentous ossification [GO:0036076]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of smoothened signaling pathway [GO:0045879]; neuron differentiation [GO:0030182]; odontogenesis of dentin-containing tooth [GO:0042475]; ossification [GO:0001503]; osteoblast development [GO:0002076]; osteoblast differentiation [GO:0001649]; osteoblast fate commitment [GO:0002051]; positive regulation of chondrocyte differentiation [GO:0032332]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of gene expression [GO:0010628]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of stem cell proliferation [GO:2000648]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell differentiation [GO:0045595]; regulation of fibroblast growth factor receptor signaling pathway [GO:0040036]; regulation of odontogenesis of dentin-containing tooth [GO:0042487]; regulation of ossification [GO:0030278]; regulation of transcription by RNA polymerase II [GO:0006357]; response to sodium phosphate [GO:1904383]; SMAD protein signal transduction [GO:0060395]; smoothened signaling pathway [GO:0007224]; stem cell differentiation [GO:0048863]; stem cell proliferation [GO:0072089]; T cell differentiation [GO:0030217]
Runt-related transcription factor 3 (Acute myeloid leukemia 2 protein) (Core-binding factor subunit alpha-3) (CBF-alpha-3) (Oncogene AML-2) (Polyomavirus enhancer-binding protein 2 alpha C subunit) (PEA2-alpha C) (PEBP2-alpha C) (SL3-3 enhancer factor 1 alpha C subunit) (SL3/AKV core-binding factor alpha C subunit)	RUNX3 AML2 CBFA3 PEBP2A3	chondrocyte differentiation [GO:0002062]; hemopoiesis [GO:0030097]; negative regulation of CD4-positive, alpha-beta T cell differentiation [GO:0043371]; negative regulation of cell cycle [GO:0045786]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuron differentiation [GO:0030182]; ossification [GO:0001503]; peripheral nervous system neuron development [GO:0048935]; positive regulation of CD8-positive, alpha-beta T cell differentiation [GO:0043378]; positive regulation of DNA-templated transcription [GO:0045893]; protein phosphorylation [GO:0006468]; regulation of cell differentiation [GO:0045595]; regulation of DNA-templated transcription [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; response to transforming growth factor beta [GO:0071559]
Protein salvador homolog 1 (45 kDa WW domain protein) (hWW45)	SAV1 WW45	cardiac muscle cell proliferation [GO:0060038]; epithelial cell proliferation [GO:0050673]; hair follicle development [GO:0001942]; hippo signaling [GO:0035329]; intestinal epithelial cell differentiation [GO:0060575]; keratinocyte apoptotic process [GO:0097283]; keratinocyte differentiation [GO:0030216]; lung epithelial cell differentiation [GO:0060487]; negative regulation of cardiac muscle cell proliferation [GO:0060044]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of epithelial cell proliferation [GO:0050680]; positive regulation of apoptotic process [GO:0043065]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of keratinocyte apoptotic process [GO:1902174]; protein stabilization [GO:0050821]; regulation of stem cell population maintenance [GO:2000036]; ventricular septum morphogenesis [GO:0060412]
Protein scribble homolog (Scribble) (hScrib) (Protein LAP4)	SCRIB CRIB1 KIAA0147 LAP4 SCRB1 VARTUL	activation of GTPase activity [GO:0090630]; apoptotic process involved in morphogenesis [GO:0060561]; astrocyte cell migration [GO:0043615]; auditory receptor cell stereocilium organization [GO:0060088]; cell migration [GO:0016477]; cell population proliferation [GO:0008283]; cell-cell adhesion [GO:0098609]; cochlear nucleus development [GO:0021747]; epithelial structure maintenance [GO:0010669]; establishment of apical/basal cell polarity [GO:0035089]; establishment of T cell polarity [GO:0001768]; establishment or maintenance of epithelial cell apical/basal polarity [GO:0045197]; mammary gland duct morphogenesis [GO:0060603]; negative regulation of activated T cell proliferation [GO:0046007]; negative regulation of mitotic cell cycle [GO:0045930]; neural tube closure [GO:0001843]; neurotransmitter receptor transport, endosome to postsynaptic membrane [GO:0098887]; polarized epithelial cell differentiation [GO:0030859]; positive chemotaxis [GO:0050918]; positive regulation of apoptotic process [GO:0043065]; positive regulation of receptor recycling [GO:0001921]; positive regulation of type II interferon production [GO:0032729]; post-anal tail morphogenesis [GO:0036342]; protein localization to adherens junction [GO:0071896]; receptor clustering [GO:0043113]; regulation of postsynaptic neurotransmitter receptor internalization [GO:0099149]; synaptic vesicle endocytosis [GO:0048488]; synaptic vesicle targeting [GO:0016080]; wound healing [GO:0042060]
NAD-dependent protein deacetylase sirtuin-1 (hSIRT1) (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-1) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 1) (SIR2-like protein 1) (hSIR2) [Cleaved into: SirtT1 75 kDa fragment (75SirT1)]	SIRT1 SIR2L1	angiogenesis [GO:0001525]; behavioral response to starvation [GO:0042595]; cellular response to glucose starvation [GO:0042149]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to hypoxia [GO:0071456]; cellular response to ionizing radiation [GO:0071479]; cellular response to leukemia inhibitory factor [GO:1990830]; cellular response to starvation [GO:0009267]; cellular response to tumor necrosis factor [GO:0071356]; cholesterol homeostasis [GO:0042632]; chromatin organization [GO:0006325]; circadian regulation of gene expression [GO:0032922]; DNA damage response [GO:0006974]; DNA methylation-dependent constitutive heterochromatin formation [GO:0006346]; DNA repair-dependent chromatin remodeling [GO:0140861]; DNA synthesis involved in DNA repair [GO:0000731]; endoplasmic reticulum unfolded protein response [GO:0030968]; energy homeostasis [GO:0097009]; fatty acid homeostasis [GO:0055089]; heterochromatin formation [GO:0031507]; intracellular glucose homeostasis [GO:0001678]; intracellular triglyceride homeostasis [GO:0035356]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; leptin-mediated signaling pathway [GO:0033210]; macrophage differentiation [GO:0030225]; maintenance of nucleus location [GO:0051658]; muscle organ development [GO:0007517]; negative regulation of androgen receptor signaling pathway [GO:0060766]; negative regulation of apoptotic process [GO:0043066]; negative regulation of attachment of mitotic spindle microtubules to kinetochore [GO:1902424]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of cell cycle [GO:0045786]; negative regulation of cellular response to testosterone stimulus [GO:2000655]; negative regulation of cellular senescence [GO:2000773]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of gene expression [GO:0010629]; negative regulation of hippo signaling [GO:0035331]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902166]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of peptidyl-lysine acetylation [GO:2000757]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of phosphorylation [GO:0042326]; negative regulation of prostaglandin biosynthetic process [GO:0031393]; negative regulation of protein acetylation [GO:1901984]; negative regulation of signal transduction by p53 class mediator [GO:1901797]; negative regulation of TOR signaling [GO:0032007]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; negative regulation of triglyceride biosynthetic process [GO:0010868]; ovulation from ovarian follicle [GO:0001542]; peptidyl-lysine acetylation [GO:0018394]; positive regulation of adaptive immune response [GO:0002821]; positive regulation of adipose tissue development [GO:1904179]; positive regulation of angiogenesis [GO:0045766]; positive regulation of apoptotic process [GO:0043065]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of cAMP-dependent protein kinase activity [GO:2000481]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cellular senescence [GO:2000774]; positive regulation of cholesterol efflux [GO:0010875]; positive regulation of DNA repair [GO:0045739]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902237]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of gluconeogenesis [GO:0045722]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of macroautophagy [GO:0016239]; positive regulation of macrophage apoptotic process [GO:2000111]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of MHC class II biosynthetic process [GO:0045348]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of smooth muscle cell differentiation [GO:0051152]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deacetylation [GO:0006476]; protein depropionylation [GO:0106230]; protein destabilization [GO:0031648]; protein ubiquitination [GO:0016567]; pyrimidine dimer repair by nucleotide-excision repair [GO:0000720]; rDNA heterochromatin formation [GO:0000183]; regulation of apoptotic process [GO:0042981]; regulation of bile acid biosynthetic process [GO:0070857]; regulation of brown fat cell differentiation [GO:0090335]; regulation of cell population proliferation [GO:0042127]; regulation of cellular response to heat [GO:1900034]; regulation of centrosome duplication [GO:0010824]; regulation of endodeoxyribonuclease activity [GO:0032071]; regulation of glucose metabolic process [GO:0010906]; regulation of lipid storage [GO:0010883]; regulation of mitotic cell cycle [GO:0007346]; regulation of peroxisome proliferator activated receptor signaling pathway [GO:0035358]; regulation of smooth muscle cell apoptotic process [GO:0034391]; regulation of transcription by glucose [GO:0046015]; response to hydrogen peroxide [GO:0042542]; response to insulin [GO:0032868]; response to leptin [GO:0044321]; response to oxidative stress [GO:0006979]; single strand break repair [GO:0000012]; spermatogenesis [GO:0007283]; stress-induced premature senescence [GO:0090400]; subtelomeric heterochromatin formation [GO:0031509]; transforming growth factor beta receptor signaling pathway [GO:0007179]; triglyceride mobilization [GO:0006642]; UV-damage excision repair [GO:0070914]; white fat cell differentiation [GO:0050872]
SMAD family member 1 (SMAD 1) (hSMAD1) (JV4-1) (Mad-related protein 1) (Mothers against decapentaplegic homolog 1) (MAD homolog 1) (Mothers against DPP homolog 1) (Transforming growth factor-beta-signaling protein 1) (BSP-1)	SMAD1 BSP1 MADH1 MADR1	anatomical structure morphogenesis [GO:0009653]; anti-Mullerian hormone receptor signaling pathway [GO:1990262]; BMP signaling pathway [GO:0030509]; bone development [GO:0060348]; cardiac conduction system development [GO:0003161]; cardiac muscle cell proliferation [GO:0060038]; cartilage development [GO:0051216]; cell differentiation [GO:0030154]; DNA-templated transcription [GO:0006351]; embryonic pattern specification [GO:0009880]; gamete generation [GO:0007276]; hindbrain development [GO:0030902]; inflammatory response [GO:0006954]; intracellular iron ion homeostasis [GO:0006879]; MAPK cascade [GO:0000165]; mesodermal cell fate commitment [GO:0001710]; midbrain development [GO:0030901]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of muscle cell differentiation [GO:0051148]; ossification [GO:0001503]; osteoblast differentiation [GO:0001649]; osteoblast fate commitment [GO:0002051]; positive regulation of cartilage development [GO:0061036]; positive regulation of dendrite development [GO:1900006]; positive regulation of gene expression [GO:0010628]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of sprouting angiogenesis [GO:1903672]; positive regulation of transcription by RNA polymerase II [GO:0045944]; primary miRNA processing [GO:0031053]; regulation of transcription by RNA polymerase II [GO:0006357]; signal transduction [GO:0007165]; SMAD protein signal transduction [GO:0060395]; stem cell differentiation [GO:0048863]; transcription by RNA polymerase II [GO:0006366]; transforming growth factor beta receptor signaling pathway [GO:0007179]; ureteric bud development [GO:0001657]
SMAD family member 2 (SMAD 2) (hSMAD2) (JV18-1) (Mad-related protein 2) (hMAD-2) (Mothers against decapentaplegic homolog 2) (MAD homolog 2) (Mothers against DPP homolog 2)	SMAD2 MADH2 MADR2	activin receptor signaling pathway [GO:0032924]; anatomical structure morphogenesis [GO:0009653]; anterior/posterior pattern specification [GO:0009952]; aortic valve morphogenesis [GO:0003180]; cell differentiation [GO:0030154]; cell fate commitment [GO:0045165]; cell population proliferation [GO:0008283]; determination of left/right asymmetry in lateral mesoderm [GO:0003140]; DNA-templated transcription [GO:0006351]; embryonic cranial skeleton morphogenesis [GO:0048701]; embryonic foregut morphogenesis [GO:0048617]; endocardial cushion morphogenesis [GO:0003203]; endoderm formation [GO:0001706]; gastrulation [GO:0007369]; in utero embryonic development [GO:0001701]; insulin secretion [GO:0030073]; intracellular signal transduction [GO:0035556]; lung development [GO:0030324]; mesoderm formation [GO:0001707]; negative regulation of cell differentiation [GO:0045596]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of ossification [GO:0030279]; nodal signaling pathway [GO:0038092]; odontoblast differentiation [GO:0071895]; organ growth [GO:0035265]; pancreas development [GO:0031016]; paraxial mesoderm morphogenesis [GO:0048340]; pericardium development [GO:0060039]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of gene expression [GO:0010628]; positive regulation of transcription by RNA polymerase II [GO:0045944]; post-embryonic development [GO:0009791]; primary miRNA processing [GO:0031053]; pulmonary valve morphogenesis [GO:0003184]; regulation of DNA-templated transcription [GO:0006355]; regulation of transforming growth factor beta receptor signaling pathway [GO:0017015]; response to cholesterol [GO:0070723]; response to glucose [GO:0009749]; secondary palate development [GO:0062009]; SMAD protein signal transduction [GO:0060395]; transforming growth factor beta receptor signaling pathway [GO:0007179]; trophoblast cell migration [GO:0061450]; ureteric bud development [GO:0001657]; zygotic specification of dorsal/ventral axis [GO:0007352]
SMAD family member 3 (SMAD 3) (hSMAD3) (JV15-2) (Mothers against decapentaplegic homolog 3) (MAD homolog 3) (Mad3) (Mothers against DPP homolog 3) (hMAD-3)	SMAD3 MADH3	activin receptor signaling pathway [GO:0032924]; adrenal gland development [GO:0030325]; anatomical structure morphogenesis [GO:0009653]; apoptotic signaling pathway [GO:0097190]; cell differentiation [GO:0030154]; cell population proliferation [GO:0008283]; cell-cell junction organization [GO:0045216]; cellular response to glucose stimulus [GO:0071333]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; cellular response to transforming growth factor beta stimulus [GO:0071560]; cellular response to virus [GO:0098586]; developmental growth [GO:0048589]; embryonic cranial skeleton morphogenesis [GO:0048701]; embryonic foregut morphogenesis [GO:0048617]; embryonic pattern specification [GO:0009880]; endoderm development [GO:0007492]; extrinsic apoptotic signaling pathway [GO:0097191]; heart looping [GO:0001947]; immune response [GO:0006955]; immune system development [GO:0002520]; in utero embryonic development [GO:0001701]; JNK cascade [GO:0007254]; lens fiber cell differentiation [GO:0070306]; liver development [GO:0001889]; mesoderm formation [GO:0001707]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cardiac muscle hypertrophy in response to stress [GO:1903243]; negative regulation of cell differentiation [GO:0045596]; negative regulation of cell growth [GO:0030308]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of cytosolic calcium ion concentration [GO:0051481]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of gene expression [GO:0010629]; negative regulation of inflammatory response [GO:0050728]; negative regulation of lung blood pressure [GO:0061767]; negative regulation of miRNA transcription [GO:1902894]; negative regulation of ossification [GO:0030279]; negative regulation of osteoblast differentiation [GO:0045668]; negative regulation of osteoblast proliferation [GO:0033689]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of wound healing [GO:0061045]; nodal signaling pathway [GO:0038092]; osteoblast development [GO:0002076]; paraxial mesoderm morphogenesis [GO:0048340]; pericardium development [GO:0060039]; positive regulation of bone mineralization [GO:0030501]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cell migration [GO:0030335]; positive regulation of chondrocyte differentiation [GO:0032332]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of extracellular matrix assembly [GO:1901203]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of positive chemotaxis [GO:0050927]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of SMAD protein signal transduction [GO:0060391]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transforming growth factor beta3 production [GO:0032916]; primary miRNA processing [GO:0031053]; protein stabilization [GO:0050821]; regulation of dendritic spine morphogenesis [GO:0061001]; regulation of DNA-templated transcription [GO:0006355]; regulation of epithelial cell proliferation [GO:0050678]; regulation of immune response [GO:0050776]; regulation of miRNA transcription [GO:1902893]; regulation of mitochondrial membrane potential [GO:0051881]; regulation of striated muscle tissue development [GO:0016202]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transforming growth factor beta receptor signaling pathway [GO:0017015]; regulation of transforming growth factor beta2 production [GO:0032909]; release of cytochrome c from mitochondria [GO:0001836]; response to alcohol [GO:0097305]; response to angiotensin [GO:1990776]; response to cocaine [GO:0042220]; response to gamma radiation [GO:0010332]; response to hypoxia [GO:0001666]; signal transduction involved in regulation of gene expression [GO:0023019]; SMAD protein signal transduction [GO:0060395]; somitogenesis [GO:0001756]; T cell activation [GO:0042110]; thyroid gland development [GO:0030878]; transdifferentiation [GO:0060290]; transforming growth factor beta receptor signaling pathway [GO:0007179]; trophoblast cell migration [GO:0061450]; ureteric bud development [GO:0001657]; wound healing [GO:0042060]
SMAD family member 7 (SMAD 7) (hSMAD7) (Mothers against decapentaplegic homolog 7) (MAD homolog 7) (Mothers against DPP homolog 7) (Mothers against decapentaplegic homolog 8) (MAD homolog 8) (Mothers against DPP homolog 8)	SMAD7 MADH7 MADH8	adherens junction assembly [GO:0034333]; anatomical structure morphogenesis [GO:0009653]; artery morphogenesis [GO:0048844]; beta-catenin destruction complex disassembly [GO:1904886]; cell differentiation [GO:0030154]; cellular response to leukemia inhibitory factor [GO:1990830]; negative regulation of activin receptor signaling pathway [GO:0032926]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of cell migration [GO:0030336]; negative regulation of chondrocyte proliferation [GO:1902731]; negative regulation of epithelial to mesenchymal transition [GO:0010719]; negative regulation of ossification [GO:0030279]; negative regulation of SMAD protein signal transduction [GO:0060392]; negative regulation of T cell cytokine production [GO:0002725]; negative regulation of T-helper 17 cell differentiation [GO:2000320]; negative regulation of T-helper 17 type immune response [GO:2000317]; negative regulation of transcription by competitive promoter binding [GO:0010944]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; positive regulation of cell-cell adhesion mediated by cadherin [GO:2000049]; positive regulation of chondrocyte hypertrophy [GO:1903043]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; protein stabilization [GO:0050821]; protein-containing complex disassembly [GO:0032984]; protein-containing complex localization [GO:0031503]; regulation of cardiac muscle contraction [GO:0055117]; regulation of epithelial to mesenchymal transition [GO:0010717]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of ventricular cardiac muscle cell membrane depolarization [GO:0060373]; response to laminar fluid shear stress [GO:0034616]; SMAD protein signal transduction [GO:0060395]; transforming growth factor beta receptor signaling pathway [GO:0007179]; ureteric bud development [GO:0001657]; ventricular cardiac muscle tissue morphogenesis [GO:0055010]; ventricular septum morphogenesis [GO:0060412]
Zinc finger protein SNAI1 (Protein snail homolog 1) (Protein sna)	SNAI1 SNAH	aortic valve morphogenesis [GO:0003180]; canonical Wnt signaling pathway [GO:0060070]; cartilage morphogenesis [GO:0060536]; epithelial cell migration [GO:0010631]; epithelial to mesenchymal transition [GO:0001837]; epithelial to mesenchymal transition involved in endocardial cushion formation [GO:0003198]; hair follicle morphogenesis [GO:0031069]; heterochromatin organization [GO:0070828]; left/right pattern formation [GO:0060972]; mesoderm formation [GO:0001707]; negative regulation of cell differentiation involved in embryonic placenta development [GO:0060806]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage [GO:1902230]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of vitamin D biosynthetic process [GO:0010957]; Notch signaling pathway [GO:0007219]; osteoblast differentiation [GO:0001649]; positive regulation of cell migration [GO:0030335]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; regulation of bicellular tight junction assembly [GO:2000810]; regulation of DNA-templated transcription [GO:0006355]; roof of mouth development [GO:0060021]; trophoblast giant cell differentiation [GO:0060707]
Suppressor of cytokine signaling 6 (SOCS-6) (Cytokine-inducible SH2 protein 4) (CIS-4) (Suppressor of cytokine signaling 4) (SOCS-4)	SOCS6 CIS4 SOCS4	cell surface receptor signaling pathway via JAK-STAT [GO:0007259]; defense response [GO:0006952]; intracellular signal transduction [GO:0035556]; negative regulation of signal transduction [GO:0009968]; negative regulation of T cell activation [GO:0050868]; proteasomal protein catabolic process [GO:0010498]; protein ubiquitination [GO:0016567]; regulation of growth [GO:0040008]
