Genetoxic Stress Proteins		
This table was generated by retriving a list of DNA Damage/Repair and Cell Cyle proteins found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
DNA ligase 3 (EC 6.5.1.1) (DNA ligase III) (Polydeoxyribonucleotide synthase [ATP] 3)	LIG3	base-excision repair [GO:0006284]; base-excision repair, gap-filling [GO:0006287]; cell division [GO:0051301]; DNA biosynthetic process [GO:0071897]; double-strand break repair [GO:0006302]; double-strand break repair via alternative nonhomologous end joining [GO:0097681]; double-strand break repair via homologous recombination [GO:0000724]; lagging strand elongation [GO:0006273]; mitochondrial DNA repair [GO:0043504]; mitochondrion organization [GO:0007005]; negative regulation of mitochondrial DNA replication [GO:0090298]
Tyrosine-protein kinase Lyn (EC 2.7.10.2) (Lck/Yes-related novel protein tyrosine kinase) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn)	LYN JTK8	adaptive immune response [GO:0002250]; autophagy [GO:0006914]; B cell homeostasis [GO:0001782]; B cell proliferation [GO:0042100]; B cell receptor signaling pathway [GO:0050853]; C-X-C chemokine receptor CXCR4 signaling pathway [GO:0038159]; cell morphogenesis [GO:0000902]; cell surface receptor protein tyrosine kinase signaling pathway [GO:0007169]; cellular response to heat [GO:0034605]; cellular response to retinoic acid [GO:0071300]; dendritic cell differentiation [GO:0097028]; DNA damage checkpoint signaling [GO:0000077]; DNA damage response [GO:0006974]; eosinophil differentiation [GO:0030222]; ephrin receptor signaling pathway [GO:0048013]; erythrocyte differentiation [GO:0030218]; fatty acid transport [GO:0015908]; Fc receptor mediated inhibitory signaling pathway [GO:0002774]; Fc receptor mediated stimulatory signaling pathway [GO:0002431]; Fc-epsilon receptor signaling pathway [GO:0038095]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; growth hormone receptor signaling pathway via JAK-STAT [GO:0060397]; hematopoietic progenitor cell differentiation [GO:0002244]; histamine secretion by mast cell [GO:0002553]; immune response-regulating cell surface receptor signaling pathway [GO:0002768]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; interleukin-5-mediated signaling pathway [GO:0038043]; leukocyte migration [GO:0050900]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; negative regulation of B cell proliferation [GO:0030889]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of immune response [GO:0050777]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; negative regulation of intracellular signal transduction [GO:1902532]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of mast cell proliferation [GO:0070667]; negative regulation of myeloid leukocyte differentiation [GO:0002762]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of toll-like receptor 2 signaling pathway [GO:0034136]; negative regulation of toll-like receptor 4 signaling pathway [GO:0034144]; neuroinflammatory response [GO:0150076]; neuron projection development [GO:0031175]; oligodendrocyte development [GO:0014003]; peptidyl-tyrosine phosphorylation [GO:0018108]; platelet degranulation [GO:0002576]; positive regulation of amyloid precursor protein catabolic process [GO:1902993]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of dendritic cell apoptotic process [GO:2000670]; positive regulation of Fc receptor mediated stimulatory signaling pathway [GO:0060369]; positive regulation of glial cell proliferation [GO:0060252]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mast cell proliferation [GO:0070668]; positive regulation of neuron projection development [GO:0010976]; positive regulation of oligodendrocyte progenitor proliferation [GO:0070447]; positive regulation of phosphorylation [GO:0042327]; positive regulation of toll-like receptor 4 signaling pathway [GO:0034145]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of B cell apoptotic process [GO:0002902]; regulation of B cell receptor signaling pathway [GO:0050855]; regulation of cell adhesion mediated by integrin [GO:0033628]; regulation of cytokine production [GO:0001817]; regulation of ERK1 and ERK2 cascade [GO:0070372]; regulation of erythrocyte differentiation [GO:0045646]; regulation of mast cell activation [GO:0033003]; regulation of mast cell degranulation [GO:0043304]; regulation of monocyte chemotaxis [GO:0090025]; regulation of platelet aggregation [GO:0090330]; regulation of protein phosphorylation [GO:0001932]; regulation of release of sequestered calcium ion into cytosol [GO:0051279]; response to amino acid [GO:0043200]; response to axon injury [GO:0048678]; response to carbohydrate [GO:0009743]; response to hormone [GO:0009725]; response to insulin [GO:0032868]; response to sterol depletion [GO:0006991]; response to toxic substance [GO:0009636]; response to xenobiotic stimulus [GO:0009410]; signal transduction [GO:0007165]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; T cell costimulation [GO:0031295]; tolerance induction to self antigen [GO:0002513]; toll-like receptor 4 signaling pathway [GO:0034142]
ADP-ribose glycohydrolase MACROD1 (MACRO domain-containing protein 1) (O-acetyl-ADP-ribose deacetylase MACROD1) (EC 3.1.1.106) (Protein LRP16) ([Protein ADP-ribosylaspartate] hydrolase MACROD1) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD1) (EC 3.2.2.-)	MACROD1 LRP16	DNA damage response [GO:0006974]; peptidyl-glutamate ADP-deribosylation [GO:0140291]; protein de-ADP-ribosylation [GO:0051725]; purine nucleoside metabolic process [GO:0042278]
ADP-ribose glycohydrolase MACROD2 (MACRO domain-containing protein 2) (O-acetyl-ADP-ribose deacetylase MACROD2) (EC 3.5.1.-) ([Protein ADP-ribosylaspartate] hydrolase MACROD2) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD2) (EC 3.2.2.-)	MACROD2 C20orf133	brain development [GO:0007420]; DNA damage response [GO:0006974]; peptidyl-glutamate ADP-deribosylation [GO:0140291]; protein de-ADP-ribosylation [GO:0051725]; purine nucleoside metabolic process [GO:0042278]; response to bacterium [GO:0009617]
Mitotic spindle assembly checkpoint protein MAD2B (Mitotic arrest deficient 2-like protein 2) (MAD2-like protein 2) (REV7 homolog) (hREV7)	MAD2L2 MAD2B REV7	actin filament organization [GO:0007015]; cell division [GO:0051301]; DNA damage response, signal transduction resulting in transcription [GO:0042772]; DNA repair [GO:0006281]; double-strand break repair [GO:0006302]; error-prone translesion synthesis [GO:0042276]; mitotic spindle assembly checkpoint signaling [GO:0007094]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cell-cell adhesion mediated by cadherin [GO:2000048]; negative regulation of double-strand break repair via homologous recombination [GO:2000042]; negative regulation of epithelial to mesenchymal transition [GO:0010719]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of transcription by competitive promoter binding [GO:0010944]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of ubiquitin protein ligase activity [GO:1904667]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of double-strand break repair via nonhomologous end joining [GO:2001034]; positive regulation of isotype switching [GO:0045830]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; regulation of cell growth [GO:0001558]; somatic diversification of immunoglobulins involved in immune response [GO:0002208]; telomere maintenance in response to DNA damage [GO:0043247]; translesion synthesis [GO:0019985]
Protein maelstrom homolog	MAEL	cell morphogenesis [GO:0000902]; ectopic germ cell programmed cell death [GO:0035234]; fertilization [GO:0009566]; homologous chromosome pairing at meiosis [GO:0007129]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; male meiotic nuclear division [GO:0007140]; negative regulation of apoptotic process [GO:0043066]; negative regulation of developmental process [GO:0051093]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of reproductive process [GO:2000242]; negative regulation of transcription by RNA polymerase II [GO:0000122]; piRNA processing [GO:0034587]; regulation of miRNA-mediated gene silencing [GO:0060964]; regulation of organ growth [GO:0046620]; regulatory ncRNA-mediated gene silencing [GO:0031047]; spermatogenesis [GO:0007283]; transposable element silencing by piRNA-mediated DNA methylation [GO:0141196]
Dual specificity mitogen-activated protein kinase kinase 6 (MAP kinase kinase 6) (MAPKK 6) (EC 2.7.12.2) (MAPK/ERK kinase 6) (MEK 6) (Stress-activated protein kinase kinase 3) (SAPK kinase 3) (SAPKK-3) (SAPKK3)	MAP2K6 MEK6 MKK6 PRKMK6 SKK3	apoptotic process [GO:0006915]; bone development [GO:0060348]; cardiac muscle contraction [GO:0060048]; cellular senescence [GO:0090398]; MAPK cascade [GO:0000165]; negative regulation of cold-induced thermogenesis [GO:0120163]; nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway [GO:0035872]; osteoblast differentiation [GO:0001649]; p38MAPK cascade [GO:0038066]; positive regulation of MAPK cascade [GO:0043410]; regulation of cell cycle [GO:0051726]; regulation of signal transduction by p53 class mediator [GO:1901796]; signal transduction [GO:0007165]; signal transduction in response to DNA damage [GO:0042770]; stress-activated MAPK cascade [GO:0051403]; stress-activated protein kinase signaling cascade [GO:0031098]
Mitogen-activated protein kinase kinase kinase 20 (EC 2.7.11.25) (Human cervical cancer suppressor gene 4 protein) (HCCS-4) (Leucine zipper- and sterile alpha motif-containing kinase) (MLK-like mitogen-activated protein triple kinase) (Mitogen-activated protein kinase kinase kinase MLT) (Mixed lineage kinase 7) (Mixed lineage kinase-related kinase) (MLK-related kinase) (MRK) (Sterile alpha motif- and leucine zipper-containing kinase AZK)	MAP3K20 MLK7 MLTK ZAK HCCS4	cell death [GO:0008219]; cell differentiation [GO:0030154]; cellular response to gamma radiation [GO:0071480]; cellular response to UV-B [GO:0071493]; chromosome segregation [GO:0007059]; cytoskeleton organization [GO:0007010]; DNA damage checkpoint signaling [GO:0000077]; embryonic digit morphogenesis [GO:0042733]; GCN2-mediated signaling [GO:0140469]; inflammatory response [GO:0006954]; JNK cascade [GO:0007254]; limb development [GO:0060173]; MAPK cascade [GO:0000165]; negative regulation of stress-activated protein kinase signaling cascade [GO:0070303]; negative regulation of translation in response to endoplasmic reticulum stress [GO:1902010]; p38MAPK cascade [GO:0038066]; positive regulation of apoptotic process [GO:0043065]; positive regulation of mitotic DNA damage checkpoint [GO:1904291]; positive regulation of programmed cell death [GO:0043068]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; pyroptotic inflammatory response [GO:0070269]; regulation of mitotic metaphase/anaphase transition [GO:0030071]; stress-activated MAPK cascade [GO:0051403]; stress-activated protein kinase signaling cascade [GO:0031098]
Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25) (Transforming growth factor-beta-activated kinase 1) (TGF-beta-activated kinase 1)	MAP3K7 TAK1	anoikis [GO:0043276]; canonical NF-kappaB signal transduction [GO:0007249]; cellular response to angiotensin [GO:1904385]; cellular response to hypoxia [GO:0071456]; cellular response to tumor necrosis factor [GO:0071356]; cytoplasmic pattern recognition receptor signaling pathway [GO:0002753]; defense response to bacterium [GO:0042742]; Fc-epsilon receptor signaling pathway [GO:0038095]; I-kappaB phosphorylation [GO:0007252]; immune response [GO:0006955]; inflammatory response [GO:0006954]; interleukin-1-mediated signaling pathway [GO:0070498]; interleukin-17A-mediated signaling pathway [GO:0038173]; interleukin-33-mediated signaling pathway [GO:0038172]; JNK cascade [GO:0007254]; MAPK cascade [GO:0000165]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; negative regulation of gene expression [GO:0010629]; nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway [GO:0035872]; p38MAPK cascade [GO:0038066]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cell cycle [GO:0045787]; positive regulation of cell size [GO:0045793]; positive regulation of cGAS/STING signaling pathway [GO:0141111]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of macroautophagy [GO:0016239]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of T cell cytokine production [GO:0002726]; positive regulation of vascular associated smooth muscle cell migration [GO:1904754]; positive regulation of vascular associated smooth muscle cell proliferation [GO:1904707]; signal transduction in response to DNA damage [GO:0042770]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; stress-activated MAPK cascade [GO:0051403]; T cell receptor signaling pathway [GO:0050852]; toll-like receptor 3 signaling pathway [GO:0034138]; toll-like receptor 4 signaling pathway [GO:0034142]; transforming growth factor beta receptor signaling pathway [GO:0007179]; TRIF-dependent toll-like receptor signaling pathway [GO:0035666]
Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (MAP kinase isoform p42) (p42-MAPK) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2)	MAPK1 ERK2 PRKM1 PRKM2	apoptotic process [GO:0006915]; B cell receptor signaling pathway [GO:0050853]; Bergmann glial cell differentiation [GO:0060020]; cardiac neural crest cell development involved in heart development [GO:0061308]; caveolin-mediated endocytosis [GO:0072584]; cell surface receptor signaling pathway [GO:0007166]; cellular response to amino acid starvation [GO:0034198]; cellular response to tumor necrosis factor [GO:0071356]; chemical synaptic transmission [GO:0007268]; chemokine-mediated signaling pathway [GO:0070098]; chemotaxis [GO:0006935]; cytosine metabolic process [GO:0019858]; DNA damage response [GO:0006974]; epidermal growth factor receptor signaling pathway [GO:0007173]; ERBB signaling pathway [GO:0038127]; ERBB2-ERBB3 signaling pathway [GO:0038133]; ERK1 and ERK2 cascade [GO:0070371]; face development [GO:0060324]; insulin receptor signaling pathway [GO:0008286]; insulin-like growth factor receptor signaling pathway [GO:0048009]; interleukin-34-mediated signaling pathway [GO:0061514]; intracellular signal transduction [GO:0035556]; labyrinthine layer blood vessel development [GO:0060716]; learning or memory [GO:0007611]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; long-term synaptic potentiation [GO:0060291]; lung morphogenesis [GO:0060425]; mammary gland epithelial cell proliferation [GO:0033598]; MAPK cascade [GO:0000165]; myelination [GO:0042552]; negative regulation of cell differentiation [GO:0045596]; outer ear morphogenesis [GO:0042473]; positive regulation of cholesterol biosynthetic process [GO:0045542]; positive regulation of macrophage chemotaxis [GO:0010759]; positive regulation of macrophage proliferation [GO:0120041]; positive regulation of neuroinflammatory response [GO:0150078]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; positive regulation of telomere maintenance [GO:0032206]; protein phosphorylation [GO:0006468]; regulation of cellular pH [GO:0030641]; regulation of cytoskeleton organization [GO:0051493]; regulation of early endosome to late endosome transport [GO:2000641]; regulation of Golgi inheritance [GO:0090170]; regulation of ossification [GO:0030278]; regulation of stress-activated MAPK cascade [GO:0032872]; response to epidermal growth factor [GO:0070849]; response to exogenous dsRNA [GO:0043330]; response to nicotine [GO:0035094]; Schwann cell development [GO:0014044]; signal transduction [GO:0007165]; stress-activated MAPK cascade [GO:0051403]; T cell receptor signaling pathway [GO:0050852]; thymus development [GO:0048538]; thyroid gland development [GO:0030878]; trachea formation [GO:0060440]
Mitogen-activated protein kinase 12 (MAP kinase 12) (MAPK 12) (EC 2.7.11.24) (Extracellular signal-regulated kinase 6) (ERK-6) (Mitogen-activated protein kinase p38 gamma) (MAP kinase p38 gamma) (Stress-activated protein kinase 3)	MAPK12 ERK6 SAPK3	intracellular signal transduction [GO:0035556]; MAPK cascade [GO:0000165]; muscle organ development [GO:0007517]; myoblast differentiation [GO:0045445]; negative regulation of cell cycle [GO:0045786]; positive regulation of muscle cell differentiation [GO:0051149]; regulation of cell cycle [GO:0051726]; signal transduction [GO:0007165]; signal transduction in response to DNA damage [GO:0042770]
Mitogen-activated protein kinase 14 (MAP kinase 14) (MAPK 14) (EC 2.7.11.24) (Cytokine suppressive anti-inflammatory drug-binding protein) (CSAID-binding protein) (CSBP) (MAP kinase MXI2) (MAX-interacting protein 2) (Mitogen-activated protein kinase p38 alpha) (MAP kinase p38 alpha) (Stress-activated protein kinase 2a) (SAPK2a)	MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A	3'-UTR-mediated mRNA stabilization [GO:0070935]; angiogenesis [GO:0001525]; apoptotic process [GO:0006915]; bone development [GO:0060348]; cartilage condensation [GO:0001502]; cell morphogenesis [GO:0000902]; cell surface receptor protein serine/threonine kinase signaling pathway [GO:0007178]; cell surface receptor signaling pathway [GO:0007166]; cellular response to ionizing radiation [GO:0071479]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to lipoteichoic acid [GO:0071223]; cellular response to UV-B [GO:0071493]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; cellular response to virus [GO:0098586]; cellular senescence [GO:0090398]; chemotaxis [GO:0006935]; chondrocyte differentiation [GO:0002062]; D-glucose import [GO:0046323]; DNA damage checkpoint signaling [GO:0000077]; fatty acid oxidation [GO:0019395]; glucose metabolic process [GO:0006006]; intracellular signal transduction [GO:0035556]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; MAPK cascade [GO:0000165]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of hippo signaling [GO:0035331]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; osteoblast differentiation [GO:0001649]; osteoclast differentiation [GO:0030316]; p38MAPK cascade [GO:0038066]; placenta development [GO:0001890]; platelet activation [GO:0030168]; positive regulation of brown fat cell differentiation [GO:0090336]; positive regulation of cardiac muscle cell proliferation [GO:0060045]; positive regulation of cyclase activity [GO:0031281]; positive regulation of D-glucose import [GO:0046326]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of muscle cell differentiation [GO:0051149]; positive regulation of myoblast differentiation [GO:0045663]; positive regulation of myoblast fusion [GO:1901741]; positive regulation of myotube differentiation [GO:0010831]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cytokine production involved in inflammatory response [GO:1900015]; regulation of ossification [GO:0030278]; regulation of synaptic membrane adhesion [GO:0099179]; regulation of transcription by RNA polymerase II [GO:0006357]; response to dietary excess [GO:0002021]; response to insulin [GO:0032868]; response to muramyl dipeptide [GO:0032495]; response to muscle stretch [GO:0035994]; signal transduction [GO:0007165]; signal transduction in response to DNA damage [GO:0042770]; skeletal muscle tissue development [GO:0007519]; stem cell differentiation [GO:0048863]; stress-activated MAPK cascade [GO:0051403]; stress-activated protein kinase signaling cascade [GO:0031098]; stress-induced premature senescence [GO:0090400]; striated muscle cell differentiation [GO:0051146]; transcription by RNA polymerase II [GO:0006366]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]
Mitogen-activated protein kinase 15 (MAP kinase 15) (MAPK 15) (EC 2.7.11.24) (Extracellular signal-regulated kinase 7) (ERK-7) (Extracellular signal-regulated kinase 8) (ERK-8)	MAPK15 ERK7 ERK8	DNA damage response [GO:0006974]; dopamine uptake [GO:0090494]; endoplasmic reticulum organization [GO:0007029]; intracellular signal transduction [GO:0035556]; negative regulation of cell migration [GO:0030336]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of metaphase/anaphase transition of meiosis I [GO:1905188]; positive regulation of spindle assembly [GO:1905832]; positive regulation of telomere maintenance [GO:0032206]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein autophosphorylation [GO:0046777]; protein localization to ciliary transition zone [GO:1904491]; regulation of autophagy [GO:0010506]; regulation of cilium assembly [GO:1902017]; regulation of COPII vesicle coating [GO:0003400]
Mitogen-activated protein kinase 3 (MAP kinase 3) (MAPK 3) (EC 2.7.11.24) (ERT2) (Extracellular signal-regulated kinase 1) (ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44) (p44-MAPK) (Microtubule-associated protein 2 kinase) (p44-ERK1)	MAPK3 ERK1 PRKM3	apoptotic process [GO:0006915]; Bergmann glial cell differentiation [GO:0060020]; BMP signaling pathway [GO:0030509]; cardiac neural crest cell development involved in heart development [GO:0061308]; cartilage development [GO:0051216]; caveolin-mediated endocytosis [GO:0072584]; cell surface receptor signaling pathway [GO:0007166]; cellular response to amino acid starvation [GO:0034198]; cellular response to mechanical stimulus [GO:0071260]; cellular response to tumor necrosis factor [GO:0071356]; DNA-templated transcription [GO:0006351]; epidermal growth factor receptor signaling pathway [GO:0007173]; ERBB2-ERBB3 signaling pathway [GO:0038133]; ERK1 and ERK2 cascade [GO:0070371]; face development [GO:0060324]; insulin receptor signaling pathway [GO:0008286]; insulin-like growth factor receptor signaling pathway [GO:0048009]; interleukin-1-mediated signaling pathway [GO:0070498]; interleukin-34-mediated signaling pathway [GO:0061514]; intracellular signal transduction [GO:0035556]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; lung morphogenesis [GO:0060425]; MAPK cascade [GO:0000165]; modulation of chemical synaptic transmission [GO:0050804]; myelination [GO:0042552]; negative regulation of cholesterol efflux [GO:0090370]; negative regulation of T cell mediated immune response to tumor cell [GO:0002841]; negative regulation of TORC1 signaling [GO:1904262]; outer ear morphogenesis [GO:0042473]; peptidyl-tyrosine autophosphorylation [GO:0038083]; phosphorylation [GO:0016310]; positive regulation of cyclase activity [GO:0031281]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of macrophage chemotaxis [GO:0010759]; positive regulation of macrophage proliferation [GO:0120041]; positive regulation of neuroinflammatory response [GO:0150078]; positive regulation of telomere maintenance [GO:0032206]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of xenophagy [GO:1904417]; protein phosphorylation [GO:0006468]; regulation of cellular pH [GO:0030641]; regulation of cytoskeleton organization [GO:0051493]; regulation of early endosome to late endosome transport [GO:2000641]; regulation of Golgi inheritance [GO:0090170]; regulation of ossification [GO:0030278]; regulation of stress-activated MAPK cascade [GO:0032872]; response to epidermal growth factor [GO:0070849]; response to exogenous dsRNA [GO:0043330]; Schwann cell development [GO:0014044]; sensory perception of pain [GO:0019233]; signal transduction in response to DNA damage [GO:0042770]; stress-activated MAPK cascade [GO:0051403]; thymus development [GO:0048538]; thyroid gland development [GO:0030878]; trachea formation [GO:0060440]; xenophagy [GO:0098792]
MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2) (EC 2.7.11.1)	MAPKAPK2	3'-UTR-mediated mRNA stabilization [GO:0070935]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; DNA damage response [GO:0006974]; inflammatory response [GO:0006954]; inner ear development [GO:0048839]; intracellular signal transduction [GO:0035556]; leukotriene metabolic process [GO:0006691]; macropinocytosis [GO:0044351]; MAPK cascade [GO:0000165]; p38MAPK cascade [GO:0038066]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of tumor necrosis factor production [GO:0032760]; regulation of cellular response to heat [GO:1900034]; regulation of interleukin-6 production [GO:0032675]; regulation of mRNA stability [GO:0043488]; regulation of tumor necrosis factor production [GO:0032680]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]; response to cytokine [GO:0034097]; response to lipopolysaccharide [GO:0032496]; toll-like receptor signaling pathway [GO:0002224]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]
Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau)	MAPT MAPTL MTBT1 TAU	amyloid fibril formation [GO:1990000]; astrocyte activation [GO:0048143]; axon development [GO:0061564]; axonal transport [GO:0098930]; axonal transport of mitochondrion [GO:0019896]; cell-cell signaling [GO:0007267]; cellular response to brain-derived neurotrophic factor stimulus [GO:1990416]; cellular response to heat [GO:0034605]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to reactive oxygen species [GO:0034614]; central nervous system neuron development [GO:0021954]; cytoplasmic microtubule organization [GO:0031122]; DNA damage response [GO:0006974]; generation of neurons [GO:0048699]; intracellular distribution of mitochondria [GO:0048312]; learning or memory [GO:0007611]; memory [GO:0007613]; microglial cell activation [GO:0001774]; microtubule cytoskeleton organization [GO:0000226]; microtubule polymerization [GO:0046785]; negative regulation of establishment of protein localization to mitochondrion [GO:1903748]; negative regulation of gene expression [GO:0010629]; negative regulation of mitochondrial fission [GO:0090258]; negative regulation of mitochondrial membrane potential [GO:0010917]; neurofibrillary tangle assembly [GO:1902988]; neuron projection development [GO:0031175]; plus-end-directed organelle transport along microtubule [GO:0072386]; positive regulation of axon extension [GO:0045773]; positive regulation of microtubule polymerization [GO:0031116]; positive regulation of protein localization [GO:1903829]; positive regulation of protein localization to synapse [GO:1902474]; positive regulation of superoxide anion generation [GO:0032930]; protein homooligomerization [GO:0051260]; protein polymerization [GO:0051258]; regulation of autophagy [GO:0010506]; regulation of calcium-mediated signaling [GO:0050848]; regulation of cellular response to heat [GO:1900034]; regulation of chromosome organization [GO:0033044]; regulation of long-term synaptic depression [GO:1900452]; regulation of microtubule cytoskeleton organization [GO:0070507]; regulation of microtubule polymerization [GO:0031113]; regulation of microtubule polymerization or depolymerization [GO:0031110]; regulation of microtubule-based movement [GO:0060632]; regulation of mitochondrial fission [GO:0090140]; regulation of synaptic plasticity [GO:0048167]; response to lead ion [GO:0010288]; rRNA metabolic process [GO:0016072]; stress granule assembly [GO:0034063]; supramolecular fiber organization [GO:0097435]; synapse assembly [GO:0007416]; synapse organization [GO:0050808]
E3 ubiquitin-protein ligase MARCHF7 (EC 2.3.2.27) (Axotrophin) (Membrane-associated RING finger protein 7) (Membrane-associated RING-CH protein VII) (MARCH-VII) (RING finger protein 177) (RING-type E3 ubiquitin transferase MARCHF7)	MARCHF7 AXOT MARCH7 RNF177	negative regulation of cilium assembly [GO:1902018]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902166]; negative regulation of proteasomal protein catabolic process [GO:1901799]; negative regulation of protein autoubiquitination [GO:1905524]; negative regulation of T cell proliferation [GO:0042130]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of protein polyubiquitination [GO:1902916]; protein autoubiquitination [GO:0051865]; protein monoubiquitination [GO:0006513]; protein stabilization [GO:0050821]; regulation of tolerance induction [GO:0002643]
Serine/threonine-protein kinase greatwall (GW) (GWL) (hGWL) (EC 2.7.11.1) (Microtubule-associated serine/threonine-protein kinase-like) (MAST-L)	MASTL GW GWL THC2	cell division [GO:0051301]; DNA damage response [GO:0006974]; female meiosis II [GO:0007147]; G2/M transition of mitotic cell cycle [GO:0000086]; intracellular signal transduction [GO:0035556]; regulation of cell cycle [GO:0051726]; regulation of mitotic cell cycle [GO:0007346]
Methyl-CpG-binding domain protein 4 (EC 3.2.2.-) (Methyl-CpG-binding endonuclease 1) (Methyl-CpG-binding protein MBD4) (Mismatch-specific DNA N-glycosylase)	MBD4 MED1	depyrimidination [GO:0045008]; DNA repair [GO:0006281]; response to estradiol [GO:0032355]
Induced myeloid leukemia cell differentiation protein Mcl-1 (Bcl-2-like protein 3) (Bcl2-L-3) (Bcl-2-related protein EAT/mcl1) (mcl1/EAT)	MCL1 BCL2L3	cell fate determination [GO:0001709]; cellular homeostasis [GO:0019725]; DNA damage response [GO:0006974]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; mitochondrial fusion [GO:0008053]; negative regulation of anoikis [GO:2000811]; negative regulation of apoptotic process [GO:0043066]; negative regulation of autophagy [GO:0010507]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; positive regulation of apoptotic process [GO:0043065]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway [GO:1903378]; regulation of apoptotic process [GO:0042981]; release of cytochrome c from mitochondria [GO:0001836]; response to cytokine [GO:0034097]
