Protein names	Gene Names	Gene Ontology (biological process)	Supporting_PMID	Paper_Count
Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein phosphatase 1 regulatory subunit 71) (PPP1R71) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK)	PTK2 FAK FAK1	angiogenesis [GO:0001525]; axon guidance [GO:0007411]; cell migration [GO:0016477]; cell motility [GO:0048870]; detection of muscle stretch [GO:0035995]; ephrin receptor signaling pathway [GO:0048013]; epidermal growth factor receptor signaling pathway [GO:0007173]; establishment of cell polarity [GO:0030010]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; growth hormone receptor signaling pathway [GO:0060396]; heart morphogenesis [GO:0003007]; integrin-mediated signaling pathway [GO:0007229]; negative regulation of anoikis [GO:2000811]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell adhesion mediated by integrin [GO:0033629]; negative regulation of cell-cell adhesion [GO:0022408]; netrin-activated signaling pathway [GO:0038007]; placenta development [GO:0001890]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cell-cell adhesion mediated by integrin [GO:0033634]; positive regulation of epithelial cell migration [GO:0010634]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of fibroblast migration [GO:0010763]; positive regulation of macrophage chemotaxis [GO:0010759]; positive regulation of macrophage proliferation [GO:0120041]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of ubiquitin-dependent protein catabolic process [GO:2000060]; positive regulation of wound healing [GO:0090303]; regulation of cell adhesion [GO:0030155]; regulation of cell population proliferation [GO:0042127]; regulation of cell shape [GO:0008360]; regulation of cytoskeleton organization [GO:0051493]; regulation of endothelial cell migration [GO:0010594]; regulation of epithelial cell migration [GO:0010632]; regulation of focal adhesion assembly [GO:0051893]; regulation of osteoblast differentiation [GO:0045667]; regulation of substrate adhesion-dependent cell spreading [GO:1900024]; signal complex assembly [GO:0007172]; transforming growth factor beta receptor signaling pathway [GO:0007179]; vascular endothelial cell response to oscillatory fluid shear stress [GO:0097706]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]	40784723	12
Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Inositol polyphosphate 3-phosphatase) (EC 3.1.3.-) (Mutated in multiple advanced cancers 1) (Phosphatase and tensin homolog)	PTEN MMAC1 TEP1	adult behavior [GO:0030534]; apoptotic process [GO:0006915]; cell migration [GO:0016477]; cell motility [GO:0048870]; cellular response to electrical stimulus [GO:0071257]; central nervous system development [GO:0007417]; central nervous system myelin maintenance [GO:0032286]; central nervous system neuron axonogenesis [GO:0021955]; dendritic spine morphogenesis [GO:0060997]; dentate gyrus development [GO:0021542]; forebrain morphogenesis [GO:0048853]; heart development [GO:0007507]; learning or memory [GO:0007611]; locomotor rhythm [GO:0045475]; locomotory behavior [GO:0007626]; maternal behavior [GO:0042711]; multicellular organismal response to stress [GO:0033555]; negative regulation of axonogenesis [GO:0050771]; negative regulation of cell cycle G1/S phase transition [GO:1902807]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of cell size [GO:0045792]; negative regulation of cellular senescence [GO:2000773]; negative regulation of epithelial to mesenchymal transition [GO:0010719]; negative regulation of excitatory postsynaptic potential [GO:0090394]; negative regulation of focal adhesion assembly [GO:0051895]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; negative regulation of keratinocyte migration [GO:0051548]; negative regulation of neuron projection development [GO:0010977]; negative regulation of organ growth [GO:0046621]; negative regulation of osteoblast differentiation [GO:0045668]; negative regulation of peptidyl-serine phosphorylation [GO:0033137]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of synaptic vesicle clustering [GO:2000808]; negative regulation of vascular associated smooth muscle cell proliferation [GO:1904706]; negative regulation of wound healing, spreading of epidermal cells [GO:1903690]; neuron-neuron synaptic transmission [GO:0007270]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol dephosphorylation [GO:0046856]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of excitatory postsynaptic potential [GO:2000463]; positive regulation of intracellular signal transduction [GO:1902533]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of ubiquitin-dependent protein catabolic process [GO:2000060]; postsynaptic density assembly [GO:0097107]; prepulse inhibition [GO:0060134]; presynaptic membrane assembly [GO:0097105]; protein dephosphorylation [GO:0006470]; protein stabilization [GO:0050821]; regulation of neuron projection development [GO:0010975]; regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051896]; regulation of protein stability [GO:0031647]; rhythmic synaptic transmission [GO:0060024]; social behavior [GO:0035176]; spindle assembly involved in female meiosis [GO:0007056]; synapse assembly [GO:0007416]; synapse maturation [GO:0060074]	42227768	1049
26S proteasome non-ATPase regulatory subunit 7 (26S proteasome regulatory subunit RPN8) (26S proteasome regulatory subunit S12) (Mov34 protein homolog) (Proteasome subunit p40)	PSMD7 MOV34L	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	38040402	19
26S proteasome regulatory subunit 7 (26S proteasome AAA-ATPase subunit RPT1) (Proteasome 26S subunit ATPase 2)	PSMC2 MSS1	osteoblast differentiation [GO:0001649]; positive regulation of proteasomal protein catabolic process [GO:1901800]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; ubiquitin-dependent protein catabolic process [GO:0006511]	39824465	31
DNA-directed RNA polymerase II subunit RPB1 (RNA polymerase II subunit B1) (EC 2.7.7.6) (3'-5' exoribonuclease) (EC 3.1.13.-) (DNA-directed RNA polymerase II subunit A) (DNA-directed RNA polymerase III largest subunit) (RNA-directed RNA polymerase II subunit RPB1) (EC 2.7.7.48)	POLR2A POLR2	DNA-templated transcription termination [GO:0006353]; mRNA transcription by RNA polymerase II [GO:0042789]; positive regulation of RNA splicing [GO:0033120]; regulation of DNA-templated transcription [GO:0006355]; transcription by RNA polymerase II [GO:0006366]; transcription elongation by RNA polymerase II [GO:0006368]	41896199	7
RING-type E3 ubiquitin-protein ligase PPIL2 (EC 2.3.2.27) (CYC4) (Cyclophilin-60) (Cyclophilin-like protein Cyp-60) (Cyp60) (hCyP-60) (Probable inactive peptidyl-prolyl cis-trans isomerase-like 2) (PPIase) (Rotamase PPIL2)	PPIL2	mRNA processing [GO:0006397]; protein folding [GO:0006457]; protein localization to plasma membrane [GO:0072659]; protein polyubiquitination [GO:0000209]; RNA splicing [GO:0008380]	40338661	4
Protein kinase C alpha type (PKC-A) (PKC-alpha) (EC 2.7.11.13)	PRKCA PKCA PRKACA	angiogenesis [GO:0001525]; apoptotic signaling pathway [GO:0097190]; cell adhesion [GO:0007155]; central nervous system neuron axonogenesis [GO:0021955]; desmosome assembly [GO:0002159]; intracellular signal transduction [GO:0035556]; learning or memory [GO:0007611]; mitotic nuclear membrane disassembly [GO:0007077]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of glial cell apoptotic process [GO:0034351]; negative regulation of translation [GO:0017148]; positive regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0106071]; positive regulation of angiogenesis [GO:0045766]; positive regulation of angiotensin-activated signaling pathway [GO:0110063]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of bone resorption [GO:0045780]; positive regulation of cardiac muscle hypertrophy [GO:0010613]; positive regulation of cell adhesion [GO:0045785]; positive regulation of cell migration [GO:0030335]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of dense core granule biogenesis [GO:2000707]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of exocytosis [GO:0045921]; positive regulation of insulin secretion [GO:0032024]; positive regulation of lipopolysaccharide-mediated signaling pathway [GO:0031666]; positive regulation of macrophage differentiation [GO:0045651]; positive regulation of mitotic cell cycle [GO:0045931]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of synapse assembly [GO:0051965]; protein kinase C signaling [GO:0070528]; protein phosphorylation [GO:0006468]; regulation of mRNA stability [GO:0043488]; regulation of platelet aggregation [GO:0090330]; response to corticosterone [GO:0051412]; response to estradiol [GO:0032355]; response to ethanol [GO:0045471]; response to interleukin-1 [GO:0070555]; response to mechanical stimulus [GO:0009612]; response to peptide hormone [GO:0043434]; response to phorbol 13-acetate 12-myristate [GO:1904627]; response to reactive oxygen species [GO:0000302]; response to toxic substance [GO:0009636]	31173190	4
Protein arginine N-methyltransferase 6 (EC 2.1.1.319) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 6) (Histone-arginine N-methyltransferase PRMT6)	PRMT6 HRMT1L6	base-excision repair [GO:0006284]; cellular senescence [GO:0090398]; chromatin remodeling [GO:0006338]; methylation [GO:0032259]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]; positive regulation of cell cycle process [GO:0090068]; regulation of DNA-templated transcription [GO:0006355]; regulation of megakaryocyte differentiation [GO:0045652]; regulation of mitochondrion organization [GO:0010821]; regulation of signal transduction by p53 class mediator [GO:1901796]	32828318	6
Proteasome subunit alpha type-1 (30 kDa prosomal protein) (PROS-30) (Macropain subunit C2) (Multicatalytic endopeptidase complex subunit C2) (Proteasome component C2) (Proteasome nu chain) (Proteasome subunit alpha-6) (alpha-6)	PSMA1 HC2 NU PROS30 PSC2	immune system process [GO:0002376]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	39382973	37
Proteasome subunit alpha type-5 (Macropain zeta chain) (Multicatalytic endopeptidase complex zeta chain) (Proteasome subunit alpha-5) (alpha-5) (Proteasome zeta chain)	PSMA5	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	35605971	28
Proteasome subunit beta type-1 (Macropain subunit C5) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5) (Proteasome gamma chain) (Proteasome subunit beta-6) (beta-6)	PSMB1 PSC5	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; proteolysis involved in protein catabolic process [GO:0051603]	38159835	26
Proteasome subunit beta type-2 (Macropain subunit C7-I) (Multicatalytic endopeptidase complex subunit C7-I) (Proteasome component C7-I) (Proteasome subunit beta-4) (beta-4)	PSMB2	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	38467767	19
26S proteasome regulatory subunit 6A (26S proteasome AAA-ATPase subunit RPT5) (Proteasome 26S subunit ATPase 3) (Proteasome subunit P50) (Tat-binding protein 1) (TBP-1)	PSMC3 TBP1	blastocyst development [GO:0001824]; host-mediated perturbation of viral transcription [GO:0043921]; positive regulation of proteasomal protein catabolic process [GO:1901800]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	39293861	14
26S proteasome non-ATPase regulatory subunit 3 (26S proteasome regulatory subunit RPN3) (26S proteasome regulatory subunit S3) (Proteasome subunit p58)	PSMD3	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]; ubiquitin-dependent protein catabolic process [GO:0006511]	41633985	19
26S proteasome regulatory subunit 8 (26S proteasome AAA-ATPase subunit RPT6) (Proteasome 26S subunit ATPase 5) (Proteasome subunit p45) (Thyroid hormone receptor-interacting protein 1) (TRIP1) (p45/SUG)	PSMC5 SUG1	negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of programmed cell death [GO:0043069]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of inclusion body assembly [GO:0090261]; positive regulation of proteasomal protein catabolic process [GO:1901800]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of transcription by RNA polymerase II [GO:0006357]	42212325	20
26S proteasome regulatory subunit 10B (26S proteasome AAA-ATPase subunit RPT4) (Proteasome 26S subunit ATPase 6) (Proteasome subunit p42)	PSMC6 SUG2	ERAD pathway [GO:0036503]; positive regulation of inclusion body assembly [GO:0090261]; positive regulation of proteasomal protein catabolic process [GO:1901800]; positive regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0045899]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	40083690	13
26S proteasome non-ATPase regulatory subunit 1 (26S proteasome regulatory subunit RPN2) (26S proteasome regulatory subunit S1) (26S proteasome subunit p112)	PSMD1	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]	42178458	36
26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5)	PSMD11	proteasome assembly [GO:0043248]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; stem cell differentiation [GO:0048863]; ubiquitin-dependent protein catabolic process [GO:0006511]	41942430	26
26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55)	PSMD12	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	41811043	22
26S proteasome non-ATPase regulatory subunit 13 (26S proteasome regulatory subunit RPN9) (26S proteasome regulatory subunit S11) (26S proteasome regulatory subunit p40.5)	PSMD13	meiosis I [GO:0007127]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; ubiquitin-dependent protein catabolic process [GO:0006511]	41734180	8
Ubiquitin C-terminal hydrolase PSMD14 (EC 3.4.19.12) (26S proteasome non-ATPase regulatory subunit 14) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)	PSMD14 POH1	double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via nonhomologous end joining [GO:0006303]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; protein K63-linked deubiquitination [GO:0070536]; regulation of proteasomal protein catabolic process [GO:0061136]; response to ethanol [GO:0045471]; ubiquitin-dependent protein catabolic process [GO:0006511]	41981629	58
26S proteasome non-ATPase regulatory subunit 2 (26S proteasome regulatory subunit RPN1) (26S proteasome regulatory subunit S2) (26S proteasome subunit p97) (Protein 55.11) (Tumor necrosis factor type 1 receptor-associated protein 2)	PSMD2 TRAP2	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]	41804662	41
E3 ubiquitin-protein ligase TRIM23 (EC 2.3.2.27) (ADP-ribosylation factor domain-containing protein 1) (GTP-binding protein ARD-1) (RING finger protein 46) (RING-type E3 ubiquitin transferase TRIM23) (Tripartite motif-containing protein 23)	TRIM23 ARD1 ARFD1 RNF46	innate immune response [GO:0045087]; intracellular protein transport [GO:0006886]; positive regulation of autophagy [GO:0010508]; protein ubiquitination [GO:0016567]; vesicle-mediated transport [GO:0016192]	40360474	8
Transcription intermediary factor 1-alpha (TIF1-alpha) (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM24) (RING finger protein 82) (RING-type E3 ubiquitin transferase TIF1-alpha) (Tripartite motif-containing protein 24)	TRIM24 RNF82 TIF1 TIF1A	calcium ion homeostasis [GO:0055074]; cellular response to estrogen stimulus [GO:0071391]; epithelial cell proliferation [GO:0050673]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of epithelial cell proliferation [GO:0050680]; positive regulation of gene expression [GO:0010628]; protein catabolic process [GO:0030163]; protein ubiquitination [GO:0016567]; regulation of apoptotic process [GO:0042981]; regulation of protein stability [GO:0031647]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of vitamin D receptor signaling pathway [GO:0070562]; response to peptide hormone [GO:0043434]; transcription by RNA polymerase II [GO:0006366]	40975747	40
E3 ubiquitin/ISG15 ligase TRIM25 (EC 6.3.2.n3) (Estrogen-responsive finger protein) (RING finger protein 147) (RING-type E3 ubiquitin transferase) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM25) (Tripartite motif-containing protein 25) (Ubiquitin/ISG15-conjugating enzyme TRIM25) (Zinc finger protein 147)	TRIM25 EFP RNF147 ZNF147	antiviral innate immune response [GO:0140374]; cellular response to leukemia inhibitory factor [GO:1990830]; cytoplasmic pattern recognition receptor signaling pathway [GO:0002753]; ERAD pathway [GO:0036503]; host-mediated suppression of symbiont invasion [GO:0046597]; innate immune response [GO:0045087]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; protein K48-linked ubiquitination [GO:0070936]; protein monoubiquitination [GO:0006513]; regulation of protein localization [GO:0032880]; regulation of viral entry into host cell [GO:0046596]; response to estrogen [GO:0043627]; response to oxidative stress [GO:0006979]; response to vitamin D [GO:0033280]; suppression of viral release by host [GO:0044790]; ubiquitin-dependent protein catabolic process [GO:0006511]; viral release from host cell [GO:0019076]	42105075	178
SMAD family member 4 (SMAD 4) (hSMAD4) (Deletion target in pancreatic carcinoma 4) (Mothers against decapentaplegic homolog 4) (MAD homolog 4) (Mothers against DPP homolog 4)	SMAD4 DPC4 MADH4	activin receptor signaling pathway [GO:0032924]; adrenal gland development [GO:0030325]; anatomical structure morphogenesis [GO:0009653]; atrioventricular canal development [GO:0036302]; atrioventricular valve formation [GO:0003190]; axon guidance [GO:0007411]; BMP signaling pathway [GO:0030509]; brainstem development [GO:0003360]; branching involved in ureteric bud morphogenesis [GO:0001658]; cardiac conduction system development [GO:0003161]; cardiac muscle hypertrophy in response to stress [GO:0014898]; cell differentiation [GO:0030154]; cell population proliferation [GO:0008283]; cellular response to BMP stimulus [GO:0071773]; cellular response to glucose stimulus [GO:0071333]; cellular response to transforming growth factor beta stimulus [GO:0071560]; developmental growth [GO:0048589]; DNA-templated transcription [GO:0006351]; embryonic digit morphogenesis [GO:0042733]; endocardial cell differentiation [GO:0060956]; endothelial cell activation [GO:0042118]; epithelial cell migration [GO:0010631]; epithelial to mesenchymal transition [GO:0001837]; epithelial to mesenchymal transition involved in endocardial cushion formation [GO:0003198]; ERK1 and ERK2 cascade [GO:0070371]; extrinsic apoptotic signaling pathway [GO:0097191]; female gonad morphogenesis [GO:0061040]; formation of anatomical boundary [GO:0048859]; gastrulation with mouth forming second [GO:0001702]; in utero embryonic development [GO:0001701]; interleukin-6-mediated signaling pathway [GO:0070102]; intracellular iron ion homeostasis [GO:0006879]; intracellular signal transduction [GO:0035556]; left ventricular cardiac muscle tissue morphogenesis [GO:0003220]; mesendoderm development [GO:0048382]; metanephric mesenchyme morphogenesis [GO:0072133]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cardiac muscle hypertrophy [GO:0010614]; negative regulation of cardiac myofibril assembly [GO:1905305]; negative regulation of cell growth [GO:0030308]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nephrogenic mesenchyme morphogenesis [GO:0072134]; neural crest cell differentiation [GO:0014033]; neuron fate specification [GO:0048665]; osteoblast differentiation [GO:0001649]; outflow tract septum morphogenesis [GO:0003148]; ovarian follicle development [GO:0001541]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of cell proliferation involved in heart valve morphogenesis [GO:0003251]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of extracellular matrix assembly [GO:1901203]; positive regulation of follicle-stimulating hormone secretion [GO:0046881]; positive regulation of gene expression [GO:0010628]; positive regulation of luteinizing hormone secretion [GO:0033686]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of SMAD protein signal transduction [GO:0060391]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; regulation of DNA-templated transcription [GO:0006355]; regulation of hair follicle development [GO:0051797]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transforming growth factor beta2 production [GO:0032909]; response to hypoxia [GO:0001666]; response to transforming growth factor beta [GO:0071559]; sebaceous gland development [GO:0048733]; secondary palate development [GO:0062009]; seminiferous tubule development [GO:0072520]; single fertilization [GO:0007338]; SMAD protein signal transduction [GO:0060395]; somite rostral/caudal axis specification [GO:0032525]; spermatogenesis [GO:0007283]; transcription by RNA polymerase II [GO:0006366]; transforming growth factor beta receptor signaling pathway [GO:0007179]; uterus development [GO:0060065]; ventricular septum morphogenesis [GO:0060412]	41963301	151
Proteasome subunit beta type-1 (Macropain subunit C5) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5) (Proteasome gamma chain) (Proteasome subunit beta-6) (beta-6)	PSMB1 PSC5	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; proteolysis involved in protein catabolic process [GO:0051603]	38159835	26
Proteasome subunit beta type-2 (Macropain subunit C7-I) (Multicatalytic endopeptidase complex subunit C7-I) (Proteasome component C7-I) (Proteasome subunit beta-4) (beta-4)	PSMB2	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	38467767	19
Proteasome subunit beta type-9 (EC 3.4.25.1) (Low molecular mass protein 2) (Macropain chain 7) (Multicatalytic endopeptidase complex chain 7) (Proteasome chain 7) (Proteasome subunit beta-1i) (Really interesting new gene 12 protein)	PSMB9 LMP2 PSMB6i RING12	immune system process [GO:0002376]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	41020834	42
26S proteasome regulatory subunit 6A (26S proteasome AAA-ATPase subunit RPT5) (Proteasome 26S subunit ATPase 3) (Proteasome subunit P50) (Tat-binding protein 1) (TBP-1)	PSMC3 TBP1	blastocyst development [GO:0001824]; host-mediated perturbation of viral transcription [GO:0043921]; positive regulation of proteasomal protein catabolic process [GO:1901800]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	39293861	14
26S proteasome regulatory subunit 8 (26S proteasome AAA-ATPase subunit RPT6) (Proteasome 26S subunit ATPase 5) (Proteasome subunit p45) (Thyroid hormone receptor-interacting protein 1) (TRIP1) (p45/SUG)	PSMC5 SUG1	negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of programmed cell death [GO:0043069]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of inclusion body assembly [GO:0090261]; positive regulation of proteasomal protein catabolic process [GO:1901800]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of transcription by RNA polymerase II [GO:0006357]	42212325	20
26S proteasome regulatory subunit 10B (26S proteasome AAA-ATPase subunit RPT4) (Proteasome 26S subunit ATPase 6) (Proteasome subunit p42)	PSMC6 SUG2	ERAD pathway [GO:0036503]; positive regulation of inclusion body assembly [GO:0090261]; positive regulation of proteasomal protein catabolic process [GO:1901800]; positive regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0045899]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	40083690	13
26S proteasome non-ATPase regulatory subunit 1 (26S proteasome regulatory subunit RPN2) (26S proteasome regulatory subunit S1) (26S proteasome subunit p112)	PSMD1	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]	42178458	36
26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5)	PSMD11	proteasome assembly [GO:0043248]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; stem cell differentiation [GO:0048863]; ubiquitin-dependent protein catabolic process [GO:0006511]	41942430	26
26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55)	PSMD12	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	41811043	22
26S proteasome non-ATPase regulatory subunit 13 (26S proteasome regulatory subunit RPN9) (26S proteasome regulatory subunit S11) (26S proteasome regulatory subunit p40.5)	PSMD13	meiosis I [GO:0007127]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; ubiquitin-dependent protein catabolic process [GO:0006511]	41734180	8
Ubiquitin C-terminal hydrolase PSMD14 (EC 3.4.19.12) (26S proteasome non-ATPase regulatory subunit 14) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)	PSMD14 POH1	double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via nonhomologous end joining [GO:0006303]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; protein K63-linked deubiquitination [GO:0070536]; regulation of proteasomal protein catabolic process [GO:0061136]; response to ethanol [GO:0045471]; ubiquitin-dependent protein catabolic process [GO:0006511]	41981629	58
26S proteasome non-ATPase regulatory subunit 2 (26S proteasome regulatory subunit RPN1) (26S proteasome regulatory subunit S2) (26S proteasome subunit p97) (Protein 55.11) (Tumor necrosis factor type 1 receptor-associated protein 2)	PSMD2 TRAP2	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]	41804662	41
26S proteasome non-ATPase regulatory subunit 3 (26S proteasome regulatory subunit RPN3) (26S proteasome regulatory subunit S3) (Proteasome subunit p58)	PSMD3	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]; ubiquitin-dependent protein catabolic process [GO:0006511]	41633985	19
26S proteasome non-ATPase regulatory subunit 5 (26S protease subunit S5 basic) (26S proteasome subunit S5B)	PSMD5 KIAA0072	proteasome regulatory particle assembly [GO:0070682]	40953274	7
26S proteasome non-ATPase regulatory subunit 7 (26S proteasome regulatory subunit RPN8) (26S proteasome regulatory subunit S12) (Mov34 protein homolog) (Proteasome subunit p40)	PSMD7 MOV34L	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	38040402	19
26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27)	PSMD9	negative regulation of insulin secretion [GO:0046676]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of insulin secretion [GO:0032024]; proteasome regulatory particle assembly [GO:0070682]; ubiquitin-dependent protein catabolic process [GO:0006511]	41738541	35
Lysine-specific demethylase RAD23A (EC 1.14.11.-) (UV excision repair protein RAD23 homolog A) (HR23A) (hHR23A)	RAD23A	nucleotide-excision repair [GO:0006289]; positive regulation of cell cycle [GO:0045787]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of viral genome replication [GO:0045070]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein destabilization [GO:0031648]; regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032434]; UV-damage excision repair [GO:0070914]	42092462	13
E3 ubiquitin-protein ligase RNF181 (EC 2.3.2.27) (RING finger protein 181)	RNF181 HSPC238	protein autoubiquitination [GO:0051865]; protein ubiquitination [GO:0016567]	32973333	5
