Protein names	Gene Names	Gene Ontology (biological process)	Supporting_PMID	Paper_Count
Ubiquitin carboxyl-terminal hydrolase 20 (EC 3.4.19.12) (Deubiquitinating enzyme 20) (Ubiquitin thioesterase 20) (Ubiquitin-specific-processing protease 20) (VHL-interacting deubiquitinating enzyme 2) (hVDU2)	USP20 KIAA1003 LSFR3A VDU2	antiviral innate immune response [GO:0140374]; endocytosis [GO:0006897]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; nervous system development [GO:0007399]; positive regulation of autophagy [GO:0010508]; protein deubiquitination [GO:0016579]; protein K48-linked deubiquitination [GO:0071108]; protein K63-linked deubiquitination [GO:0070536]; proteolysis [GO:0006508]; regulation of G protein-coupled receptor signaling pathway [GO:0008277]	41637663	4
Ubiquitin/ISG15-conjugating enzyme E2 L6 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme L6) (Retinoic acid-induced gene B protein) (RIG-B) (UbcH8) (Ubiquitin carrier protein L6) (Ubiquitin-protein ligase L6)	UBE2L6 UBCH8	innate immune response [GO:0045087]; ISG15-protein conjugation [GO:0032020]; protein modification process [GO:0036211]; protein polyubiquitination [GO:0000209]; ubiquitin-dependent protein catabolic process [GO:0006511]	40986423	2
Ubiquitin carboxyl-terminal hydrolase 14 (EC 3.4.19.12) (Deubiquitinating enzyme 14) (Ubiquitin thioesterase 14) (Ubiquitin-specific-processing protease 14)	USP14 TGT	chemical synaptic transmission [GO:0007268]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; negative regulation of ERAD pathway [GO:1904293]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked deubiquitination [GO:0071108]; regulation of chemotaxis [GO:0050920]; regulation of proteasomal protein catabolic process [GO:0061136]	39762890	5
Ubiquitin carboxyl-terminal hydrolase 13 (EC 3.4.19.12) (Deubiquitinating enzyme 13) (Isopeptidase T-3) (ISOT-3) (Ubiquitin thioesterase 13) (Ubiquitin-specific-processing protease 13)	USP13 ISOT3	autophagy [GO:0006914]; cell population proliferation [GO:0008283]; maintenance of unfolded protein [GO:0036506]; melanocyte differentiation [GO:0030318]; positive regulation of ERAD pathway [GO:1904294]; protein deubiquitination [GO:0016579]; protein K29-linked deubiquitination [GO:0035523]; protein K6-linked deubiquitination [GO:0044313]; protein K63-linked deubiquitination [GO:0070536]; protein stabilization [GO:0050821]; proteolysis [GO:0006508]; regulation of autophagy [GO:0010506]; regulation of DNA-templated transcription [GO:0006355]; regulation of protein stability [GO:0031647]	41206387	4
Ubiquitin carboxyl-terminal hydrolase 10 (EC 3.4.19.12) (Deubiquitinating enzyme 10) (Ubiquitin thioesterase 10) (Ubiquitin-specific-processing protease 10)	USP10 KIAA0190	autophagy [GO:0006914]; cellular response to interleukin-1 [GO:0071347]; DNA damage response [GO:0006974]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; DNA repair [GO:0006281]; innate immune response [GO:0045087]; monoubiquitinated protein deubiquitination [GO:0035520]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of stress granule assembly [GO:0062030]; protein deubiquitination [GO:0016579]; proteolysis [GO:0006508]; regulation of autophagy [GO:0010506]; regulation of protein stability [GO:0031647]; rescue of stalled ribosome [GO:0072344]; translesion synthesis [GO:0019985]	41990092	6
Three-prime repair exonuclease 1 (EC 3.1.11.2) (3'-5' exonuclease TREX1) (Deoxyribonuclease III) (DNase III)	TREX1	activation of immune response [GO:0002253]; apoptotic cell clearance [GO:0043277]; atrial cardiac muscle tissue development [GO:0003228]; blood vessel development [GO:0001568]; cellular response to gamma radiation [GO:0071480]; cellular response to hydroxyurea [GO:0072711]; cellular response to interferon-beta [GO:0035458]; cellular response to reactive oxygen species [GO:0034614]; defense response to virus [GO:0051607]; determination of adult lifespan [GO:0008340]; DNA catabolic process [GO:0006308]; DNA metabolic process [GO:0006259]; DNA modification [GO:0006304]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; DNA synthesis involved in UV-damage excision repair [GO:1904161]; establishment of protein localization [GO:0045184]; generation of precursor metabolites and energy [GO:0006091]; glycoprotein biosynthetic process [GO:0009101]; heart morphogenesis [GO:0003007]; heart process [GO:0003015]; immune complex formation [GO:0097281]; immune response in brain or nervous system [GO:0002383]; inflammatory response to antigenic stimulus [GO:0002437]; kidney development [GO:0001822]; lymphoid progenitor cell differentiation [GO:0002320]; macrophage activation involved in immune response [GO:0002281]; mismatch repair [GO:0006298]; mitotic G1 DNA damage checkpoint signaling [GO:0031571]; negative regulation of cGAS/STING signaling pathway [GO:0160049]; negative regulation of innate immune response [GO:0045824]; negative regulation of type I interferon-mediated signaling pathway [GO:0060339]; protein stabilization [GO:0050821]; regulation of cellular respiration [GO:0043457]; regulation of fatty acid metabolic process [GO:0019217]; regulation of glycolytic process [GO:0006110]; regulation of immunoglobulin production [GO:0002637]; regulation of inflammatory response [GO:0050727]; regulation of lipid biosynthetic process [GO:0046890]; regulation of lysosome organization [GO:1905671]; regulation of protein complex stability [GO:0061635]; regulation of T cell activation [GO:0050863]; regulation of tumor necrosis factor production [GO:0032680]; regulation of type I interferon production [GO:0032479]; retrotransposition [GO:0032197]; T cell antigen processing and presentation [GO:0002457]; type I interferon-mediated signaling pathway [GO:0060337]	42222883	121
Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter)	ABCC1 MRP MRP1	amygdala development [GO:0021764]; amyloid-beta clearance [GO:0097242]; amyloid-beta metabolic process [GO:0050435]; antigen processing and presentation of lipid antigen via MHC class Ib [GO:0048003]; blood vessel diameter maintenance [GO:0097746]; carboxylic acid transmembrane transport [GO:1905039]; cell chemotaxis [GO:0060326]; cell redox homeostasis [GO:0045454]; cellular response to amyloid-beta [GO:1904646]; cellular response to oxidative stress [GO:0034599]; cellular response to type II interferon [GO:0071346]; cobalamin transport [GO:0015889]; cyclic nucleotide transport [GO:0070729]; defense response to Gram-positive bacterium [GO:0050830]; endothelial cell apoptotic process [GO:0072577]; endothelium development [GO:0003158]; establishment of localization in cell [GO:0051649]; exploration behavior [GO:0035640]; export across plasma membrane [GO:0140115]; gene expression [GO:0010467]; glucocorticoid metabolic process [GO:0008211]; glutathione metabolic process [GO:0006749]; glutathione transmembrane transport [GO:0034775]; granuloma formation [GO:0002432]; heme catabolic process [GO:0042167]; hippocampus development [GO:0021766]; hydrogen peroxide biosynthetic process [GO:0050665]; inflammatory response to antigenic stimulus [GO:0002437]; intracellular nitrogen homeostasis [GO:0141067]; leukotriene biosynthetic process [GO:0019370]; leukotriene metabolic process [GO:0006691]; leukotriene transport [GO:0071716]; lymphocyte migration [GO:0072676]; macrophage activation [GO:0042116]; memory [GO:0007613]; multicellular organism growth [GO:0035264]; neural tissue regeneration [GO:0097719]; neurogenesis [GO:0022008]; NK T cell activation [GO:0051132]; phospholipid translocation [GO:0045332]; pigment accumulation [GO:0043476]; positive regulation of inflammatory response [GO:0050729]; protein localization to cell surface [GO:0034394]; regulation of membrane potential [GO:0042391]; response to fluid shear stress [GO:0034405]; response to glucocorticoid [GO:0051384]; response to toxic substance [GO:0009636]; response to xenobiotic stimulus [GO:0009410]; sphingolipid biosynthetic process [GO:0030148]; sphingolipid translocation [GO:0099039]; superoxide anion generation [GO:0042554]; tissue homeostasis [GO:0001894]; transepithelial transport [GO:0070633]; transmembrane transport [GO:0055085]; transport across blood-brain barrier [GO:0150104]; xenobiotic metabolic process [GO:0006805]; xenobiotic transport [GO:0042908]; xenobiotic transport across blood-brain barrier [GO:1990962]	39765229	6
Interferon-inducible protein AIM2 (Absent in melanoma 2)	AIM2	activation of innate immune response [GO:0002218]; AIM2 inflammasome complex assembly [GO:0140970]; brain development [GO:0007420]; cellular response to interferon-beta [GO:0035458]; cellular response to xenobiotic stimulus [GO:0071466]; defense response to virus [GO:0051607]; DNA damage response [GO:0006974]; immune response [GO:0006955]; innate immune response [GO:0045087]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; neuron cellular homeostasis [GO:0070050]; pattern recognition receptor signaling pathway [GO:0002221]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; protein maturation [GO:0051604]; pyroptosome complex assembly [GO:1904270]; pyroptotic inflammatory response [GO:0070269]; regulation of behavior [GO:0050795]; T cell homeostasis [GO:0043029]; tumor necrosis factor-mediated signaling pathway [GO:0033209]	42235315	673
RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha)	AKT1 PKB RAC	activation-induced cell death of T cells [GO:0006924]; anoikis [GO:0043276]; apoptotic mitochondrial changes [GO:0008637]; behavioral response to pain [GO:0048266]; beta-arrestin-dependent dopamine receptor signaling pathway [GO:0160213]; cell differentiation [GO:0030154]; cell migration involved in sprouting angiogenesis [GO:0002042]; cell population proliferation [GO:0008283]; cellular response to decreased oxygen levels [GO:0036294]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to granulocyte macrophage colony-stimulating factor stimulus [GO:0097011]; cellular response to insulin stimulus [GO:0032869]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to oxidised low-density lipoprotein particle stimulus [GO:0140052]; cellular response to peptide [GO:1901653]; cellular response to prostaglandin E stimulus [GO:0071380]; cellular response to rapamycin [GO:0072752]; cellular response to stress [GO:0033554]; cellular response to tumor necrosis factor [GO:0071356]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; complement receptor mediated signaling pathway [GO:0002430]; cytokine-mediated signaling pathway [GO:0019221]; epidermal growth factor receptor signaling pathway [GO:0007173]; establishment of protein localization to mitochondrion [GO:0072655]; excitatory postsynaptic potential [GO:0060079]; execution phase of apoptosis [GO:0097194]; fibroblast migration [GO:0010761]; G protein-coupled receptor signaling pathway [GO:0007186]; gene expression [GO:0010467]; glucose homeostasis [GO:0042593]; glucose metabolic process [GO:0006006]; glycogen biosynthetic process [GO:0005978]; inflammatory response [GO:0006954]; insulin receptor signaling pathway [GO:0008286]; insulin-like growth factor receptor signaling pathway [GO:0048009]; interleukin-18-mediated signaling pathway [GO:0035655]; intracellular signal transduction [GO:0035556]; labyrinthine layer blood vessel development [GO:0060716]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; maintenance of protein location in mitochondrion [GO:0072656]; mammalian oogenesis stage [GO:0022605]; mammary gland epithelial cell differentiation [GO:0060644]; maternal placenta development [GO:0001893]; negative regulation of apoptotic process [GO:0043066]; negative regulation of autophagy [GO:0010507]; negative regulation of cGAS/STING signaling pathway [GO:0160049]; negative regulation of cilium assembly [GO:1902018]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; negative regulation of fatty acid beta-oxidation [GO:0031999]; negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway [GO:1903384]; negative regulation of leukocyte cell-cell adhesion [GO:1903038]; negative regulation of long-chain fatty acid import across plasma membrane [GO:0010748]; negative regulation of lymphocyte migration [GO:2000402]; negative regulation of macroautophagy [GO:0016242]; negative regulation of Notch signaling pathway [GO:0045746]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of PERK-mediated unfolded protein response [GO:1903898]; negative regulation of protein localization to lysosome [GO:0150033]; negative regulation of protein maturation [GO:1903318]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of proteolysis [GO:0045861]; negative regulation of release of cytochrome c from mitochondria [GO:0090201]; nitric oxide biosynthetic process [GO:0006809]; nitric oxide metabolic process [GO:0046209]; osteoblast differentiation [GO:0001649]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; peripheral nervous system myelin maintenance [GO:0032287]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; phosphorylation [GO:0016310]; positive regulation of anaphase-promoting complex-dependent catabolic process [GO:1905786]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of cell growth [GO:0030307]; positive regulation of cell migration [GO:0030335]; positive regulation of D-glucose import [GO:0046326]; positive regulation of endodeoxyribonuclease activity [GO:0032079]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of fibroblast migration [GO:0010763]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of gene expression [GO:0010628]; positive regulation of glucose metabolic process [GO:0010907]; positive regulation of glycogen biosynthetic process [GO:0045725]; positive regulation of lipid biosynthetic process [GO:0046889]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of organ growth [GO:0046622]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein localization to cell surface [GO:2000010]; positive regulation of protein localization to endoplasmic reticulum [GO:1905552]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of protein metabolic process [GO:0051247]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of sodium ion transport [GO:0010765]; positive regulation of TORC1 signaling [GO:1904263]; positive regulation of TORC2 signaling [GO:1904515]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autophosphorylation [GO:0046777]; protein import into nucleus [GO:0006606]; protein phosphorylation [GO:0006468]; protein ubiquitination [GO:0016567]; regulation of apoptotic process [GO:0042981]; regulation of cell migration [GO:0030334]; regulation of glycogen biosynthetic process [GO:0005979]; regulation of mRNA stability [GO:0043488]; regulation of myelination [GO:0031641]; regulation of neuron projection development [GO:0010975]; regulation of postsynapse organization [GO:0099175]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of translation [GO:0006417]; regulation of tRNA methylation [GO:0110002]; regulation of type B pancreatic cell development [GO:2000074]; response to fluid shear stress [GO:0034405]; response to food [GO:0032094]; response to growth factor [GO:0070848]; response to growth hormone [GO:0060416]; response to heat [GO:0009408]; response to insulin-like growth factor stimulus [GO:1990418]; response to oxidative stress [GO:0006979]; response to UV-A [GO:0070141]; signal transduction [GO:0007165]; sphingosine-1-phosphate receptor signaling pathway [GO:0003376]; striated muscle cell differentiation [GO:0051146]; T cell costimulation [GO:0031295]; TOR signaling [GO:0031929]; vascular endothelial cell response to laminar fluid shear stress [GO:0097700]	41975472	22
Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36)	ANXA2 ANX2 ANX2L4 CAL1H LPC2D	angiogenesis [GO:0001525]; cell adhesion [GO:0007155]; cell-matrix adhesion [GO:0007160]; collagen fibril organization [GO:0030199]; epithelial cell apoptotic process [GO:1904019]; fibrinolysis [GO:0042730]; lung development [GO:0030324]; membrane raft assembly [GO:0001765]; mRNA transcription by RNA polymerase II [GO:0042789]; negative regulation of low-density lipoprotein particle receptor catabolic process [GO:0032804]; negative regulation of receptor internalization [GO:0002091]; osteoclast development [GO:0036035]; positive regulation of exocytosis [GO:0045921]; positive regulation of low-density lipoprotein particle clearance [GO:1905581]; positive regulation of plasma membrane repair [GO:1905686]; positive regulation of plasminogen activation [GO:0010756]; positive regulation of receptor recycling [GO:0001921]; positive regulation of receptor-mediated endocytosis involved in cholesterol transport [GO:1905602]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of vacuole organization [GO:0044090]; positive regulation of vesicle fusion [GO:0031340]; regulation of neurogenesis [GO:0050767]; response to activity [GO:0014823]; vesicle budding from membrane [GO:0006900]	42273685	5
Tax1-binding protein 1 (TRAF6-binding protein)	TAX1BP1 T6BP PRO0105	apoptotic process [GO:0006915]; autophagy [GO:0006914]; innate immune response [GO:0045087]; negative regulation of apoptotic process [GO:0043066]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of cytoplasmic pattern recognition receptor signaling pathway [GO:0039532]; negative regulation of interleukin-1-mediated signaling pathway [GO:2000660]; negative regulation of toll-like receptor 4 signaling pathway [GO:0034144]; negative regulation of tumor necrosis factor-mediated signaling pathway [GO:0010804]; protein localization to phagocytic vesicle [GO:1905161]	41673009	5
Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31]	APP A4 AD1	adult locomotory behavior [GO:0008344]; amyloid fibril formation [GO:1990000]; astrocyte activation [GO:0048143]; astrocyte activation involved in immune response [GO:0002265]; axo-dendritic transport [GO:0008088]; axon midline choice point recognition [GO:0016199]; axonogenesis [GO:0007409]; calcium ion transport [GO:0006816]; cell adhesion [GO:0007155]; cellular response to amyloid-beta [GO:1904646]; cellular response to cAMP [GO:0071320]; cellular response to copper ion [GO:0071280]; cellular response to manganese ion [GO:0071287]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to norepinephrine stimulus [GO:0071874]; central nervous system development [GO:0007417]; cognition [GO:0050890]; collateral sprouting in absence of injury [GO:0048669]; dendrite development [GO:0016358]; endocytosis [GO:0006897]; extracellular matrix organization [GO:0030198]; hippocampal neuron apoptotic process [GO:0110088]; intracellular copper ion homeostasis [GO:0006878]; ionotropic glutamate receptor signaling pathway [GO:0035235]; learning [GO:0007612]; learning or memory [GO:0007611]; locomotory behavior [GO:0007626]; mating behavior [GO:0007617]; microglia development [GO:0014005]; microglial cell activation [GO:0001774]; modulation of excitatory postsynaptic potential [GO:0098815]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of gene expression [GO:0010629]; negative regulation of long-term synaptic potentiation [GO:1900272]; neuron projection development [GO:0031175]; neuron projection maintenance [GO:1990535]; neuron remodeling [GO:0016322]; NMDA selective glutamate receptor signaling pathway [GO:0098989]; Notch signaling pathway [GO:0007219]; positive regulation of amyloid fibril formation [GO:1905908]; positive regulation of calcium-mediated signaling [GO:0050850]; positive regulation of chemokine production [GO:0032722]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of glycolytic process [GO:0045821]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of JNK cascade [GO:0046330]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of mitotic cell cycle [GO:0045931]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of protein metabolic process [GO:0051247]; positive regulation of T cell migration [GO:2000406]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; regulation of gene expression [GO:0010468]; regulation of long-term neuronal synaptic plasticity [GO:0048169]; regulation of multicellular organism growth [GO:0040014]; regulation of neuron apoptotic process [GO:0043523]; regulation of presynapse assembly [GO:1905606]; regulation of spontaneous synaptic transmission [GO:0150003]; regulation of synapse structure or activity [GO:0050803]; regulation of translation [GO:0006417]; regulation of Wnt signaling pathway [GO:0030111]; response to ethanol [GO:0045471]; response to insulin-like growth factor stimulus [GO:1990418]; response to interleukin-1 [GO:0070555]; response to lead ion [GO:0010288]; swimming behavior [GO:0036269]; synapse organization [GO:0050808]; visual learning [GO:0008542]	42215997	118
Beta-arrestin-2 (Arrestin beta-2) (Non-visual arrestin-3)	ARRB2 ARB2 ARR2	adult walking behavior [GO:0007628]; beta-arrestin-dependent dopamine receptor signaling pathway [GO:0160213]; cell chemotaxis [GO:0060326]; desensitization of G protein-coupled receptor signaling pathway [GO:0002029]; excitatory postsynaptic potential [GO:0060079]; G protein-coupled receptor internalization [GO:0002031]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of interleukin-1 beta production [GO:0032691]; negative regulation of interleukin-12 production [GO:0032695]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of natural killer cell mediated cytotoxicity [GO:0045953]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of toll-like receptor signaling pathway [GO:0034122]; negative regulation of tumor necrosis factor production [GO:0032720]; positive regulation of cardiac muscle cell differentiation [GO:2000727]; positive regulation of cardiac muscle hypertrophy [GO:0010613]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of receptor internalization [GO:0002092]; positive regulation of synaptic transmission, dopaminergic [GO:0032226]; postsynaptic signal transduction [GO:0098926]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein transport [GO:0015031]; protein ubiquitination [GO:0016567]; receptor internalization [GO:0031623]; sensory perception of pain [GO:0019233]; transcription by RNA polymerase II [GO:0006366]; transforming growth factor beta receptor signaling pathway [GO:0007179]	39921112	3
Alpha-tubulin N-acetyltransferase 1 (Alpha-TAT) (Alpha-TAT1) (TAT) (EC 2.3.1.108) (Acetyltransferase mec-17 homolog)	ATAT1 C6orf134 MEC17 Nbla00487	alpha-tubulin acetylation [GO:0071929]; cilium assembly [GO:0060271]; dentate gyrus development [GO:0021542]; microtubule cytoskeleton organization [GO:0000226]; neuron development [GO:0048666]; NLRP3 inflammasome complex assembly [GO:0044546]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; regulation of fat cell differentiation [GO:0045598]; regulation of microtubule cytoskeleton organization [GO:0070507]; response to mechanical stimulus [GO:0009612]; response to pain [GO:0048265]; spermatogenesis [GO:0007283]	33626373	1
Cyclic AMP-dependent transcription factor ATF-4 (cAMP-dependent transcription factor ATF-4) (Activating transcription factor 4) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (Tax-responsive enhancer element-binding protein 67) (TaxREB67)	ATF4 CREB2 TXREB	bone mineralization [GO:0030282]; cellular response to amino acid starvation [GO:0034198]; cellular response to glucose starvation [GO:0042149]; cellular response to hypoxia [GO:0071456]; cellular response to leucine starvation [GO:1990253]; cellular response to oxidative stress [GO:0034599]; cellular response to UV [GO:0034644]; circadian regulation of gene expression [GO:0032922]; embryonic hemopoiesis [GO:0035162]; endoplasmic reticulum unfolded protein response [GO:0030968]; gamma-aminobutyric acid signaling pathway [GO:0007214]; gluconeogenesis [GO:0006094]; HRI-mediated signaling [GO:0140468]; integrated stress response signaling [GO:0140467]; intracellular calcium ion homeostasis [GO:0006874]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; L-asparagine metabolic process [GO:0070982]; lens fiber cell morphogenesis [GO:0070309]; mRNA transcription by RNA polymerase II [GO:0042789]; negative regulation of cold-induced thermogenesis [GO:0120163]; negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway [GO:1903377]; negative regulation of potassium ion transport [GO:0043267]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of translational initiation in response to stress [GO:0032057]; neuron differentiation [GO:0030182]; PERK-mediated unfolded protein response [GO:0036499]; positive regulation of apoptotic process [GO:0043065]; positive regulation of biomineral tissue development [GO:0070169]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of gene expression [GO:0010628]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of sodium-dependent phosphate transport [GO:2000120]; positive regulation of transcription by RNA polymerase I [GO:0045943]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of vascular associated smooth muscle cell apoptotic process [GO:1905461]; positive regulation of vascular endothelial growth factor production [GO:0010575]; regulation of DNA-templated transcription [GO:0006355]; regulation of osteoblast differentiation [GO:0045667]; regulation of synaptic plasticity [GO:0048167]; regulation of transcription by RNA polymerase II [GO:0006357]; response to endoplasmic reticulum stress [GO:0034976]; response to manganese-induced endoplasmic reticulum stress [GO:1990737]; response to nutrient levels [GO:0031667]; response to toxic substance [GO:0009636]; transcription by RNA polymerase II [GO:0006366]	39447083	24
Stimulator of interferon genes protein (hSTING) (Endoplasmic reticulum interferon stimulator) (ERIS) (Mediator of IRF3 activation) (hMITA) (Transmembrane protein 173)	STING1 ERIS MITA STING TMEM173	activation of innate immune response [GO:0002218]; antiviral innate immune response [GO:0140374]; autophagosome assembly [GO:0000045]; cellular response to exogenous dsRNA [GO:0071360]; cellular response to interferon-beta [GO:0035458]; cGAS/STING signaling pathway [GO:0140896]; cytoplasmic pattern recognition receptor signaling pathway [GO:0002753]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]; pattern recognition receptor signaling pathway [GO:0002221]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of macroautophagy [GO:0016239]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of type I interferon production [GO:0032481]; positive regulation of type I interferon-mediated signaling pathway [GO:0060340]; protein complex oligomerization [GO:0051259]; protein localization to endoplasmic reticulum [GO:0070972]; regulation of inflammatory response [GO:0050727]; reticulophagy [GO:0061709]	42128155	101
STING ER exit protein (STEEP)	STEEP1 CXorf56	endoplasmic reticulum membrane organization [GO:0090158]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; protein exit from endoplasmic reticulum [GO:0032527]	41890102	2
Signal transducer and activator of transcription 6 (IL-4 Stat)	STAT6	cell surface receptor signaling pathway via JAK-STAT [GO:0007259]; cytokine-mediated signaling pathway [GO:0019221]; defense response [GO:0006952]; growth hormone receptor signaling pathway via JAK-STAT [GO:0060397]; interleukin-4-mediated signaling pathway [GO:0035771]; isotype switching to IgE isotypes [GO:0048289]; mammary gland epithelial cell proliferation [GO:0033598]; mammary gland morphogenesis [GO:0060443]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of type 2 immune response [GO:0002829]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of isotype switching to IgE isotypes [GO:0048295]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell population proliferation [GO:0042127]; regulation of mast cell proliferation [GO:0070666]; regulation of transcription by RNA polymerase II [GO:0006357]; response to peptide hormone [GO:0043434]; T-helper 1 cell lineage commitment [GO:0002296]	41712610	21
