Protein Names	Gene Names	Gene Ontology	Supporting_PMID	Stress_Type	Paper_Count
N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 (DDAH-1) (Dimethylarginine dimethylaminohydrolase 1) (EC 3.5.3.18) (DDAHI) (Dimethylargininase-1)	DDAH1 DDAH	arginine metabolic process [GO:0006525]; citrulline metabolic process [GO:0000052]; L-arginine catabolic process [GO:0006527]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of cellular response to hypoxia [GO:1900038]; negative regulation of vascular permeability [GO:0043116]; nitric oxide mediated signal transduction [GO:0007263]; nitric oxide metabolic process [GO:0046209]; positive regulation of angiogenesis [GO:0045766]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; regulation of systemic arterial blood pressure [GO:0003073]	35644470.0	Nutrient Stress	13
Cold-inducible RNA-binding protein (A18 hnRNP) (Glycine-rich RNA-binding protein CIRP)	CIRBP A18HNRNP CIRP	mRNA stabilization [GO:0048255]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; positive regulation of translation [GO:0045727]; response to cold [GO:0009409]; response to UV [GO:0009411]; stress granule assembly [GO:0034063]	40441335.0	Nutrient Stress	13
Neutral amino acid transporter 9 (Solute carrier family 38 member 9) (Up-regulated in lung cancer 11)	SLC38A9 URLC11	amino acid transmembrane transport [GO:0003333]; asparagine transport [GO:0006867]; cellular response to amino acid stimulus [GO:0071230]; glutamine transport [GO:0006868]; L-arginine transmembrane transport [GO:1903826]; positive regulation of TOR signaling [GO:0032008]; positive regulation of TORC1 signaling [GO:1904263]	41811103.0	Nutrient Stress	12
Alpha-crystallin B chain (Alpha(B)-crystallin) (Heat shock protein beta-5) (HspB5) (Heat shock protein family B member 5) (Renal carcinoma antigen NY-REN-27) (Rosenthal fiber component)	CRYAB CRYA2 HSPB5	apoptotic process involved in morphogenesis [GO:0060561]; cellular response to gamma radiation [GO:0071480]; glutathione metabolic process [GO:0006749]; lens development in camera-type eye [GO:0002088]; microtubule polymerization or depolymerization [GO:0031109]; muscle contraction [GO:0006936]; muscle organ development [GO:0007517]; negative regulation of amyloid fibril formation [GO:1905907]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell growth [GO:0030308]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]; negative regulation of intracellular transport [GO:0032387]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; protein folding [GO:0006457]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]; regulation of programmed cell death [GO:0043067]; response to estradiol [GO:0032355]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to hypoxia [GO:0001666]; stress-activated MAPK cascade [GO:0051403]; tubulin complex assembly [GO:0007021]	35686034.0	Nutrient Stress	12
Ubiquitin carboxyl-terminal hydrolase 28 (EC 3.4.19.12) (Deubiquitinating enzyme 28) (Ubiquitin thioesterase 28) (Ubiquitin-specific-processing protease 28)	USP28 KIAA1515	cell population proliferation [GO:0008283]; cellular response to UV [GO:0034644]; DNA damage checkpoint signaling [GO:0000077]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; protein deubiquitination [GO:0016579]; protein deubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0071947]; regulation of protein stability [GO:0031647]; response to ionizing radiation [GO:0010212]	39419941.0	Nutrient Stress	12
RuvB-like 1 (EC 3.6.4.12) (49 kDa TATA box-binding protein-interacting protein) (49 kDa TBP-interacting protein) (54 kDa erythrocyte cytosolic protein) (ECP-54) (INO80 complex subunit H) (Nuclear matrix protein 238) (NMP 238) (Pontin 52) (TIP49a) (TIP60-associated protein 54-alpha) (TAP54-alpha)	RUVBL1 INO80H NMP238 TIP49 TIP49A	box C/D snoRNP assembly [GO:0000492]; cell division [GO:0051301]; chromatin remodeling [GO:0006338]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of DNA repair [GO:0045739]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of telomere maintenance in response to DNA damage [GO:1904507]; protein stabilization [GO:0050821]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of chromosome organization [GO:0033044]; regulation of DNA repair [GO:0006282]; regulation of DNA replication [GO:0006275]; regulation of DNA strand elongation [GO:0060382]; regulation of DNA-templated transcription [GO:0006355]; regulation of double-strand break repair [GO:2000779]; regulation of embryonic development [GO:0045995]; regulation of transcription by RNA polymerase II [GO:0006357]; spermatogenesis [GO:0007283]; telomerase RNA localization to Cajal body [GO:0090671]; telomere maintenance [GO:0000723]	42002035.0	Nutrient Stress	12
TBC domain-containing protein kinase-like protein (FERRY endosomal RAB5 effector complex subunit 1) (Fy-1)	TBCK FERRY1 TBCKL HSPC302	actin cytoskeleton organization [GO:0030036]; cell population proliferation [GO:0008283]; regulation of TOR signaling [GO:0032006]	41603389.0	Nutrient Stress	12
Telomere length regulation protein TEL2 homolog (Protein clk-2 homolog) (hCLK2)	TELO2 KIAA0683	de novo' cotranslational protein folding [GO:0051083]; positive regulation of DNA damage checkpoint [GO:2000003]; protein stabilization [GO:0050821]	40653822.0	Nutrient Stress	12
Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55)	P4HB ERBA2L PDI PDIA1 PO4DB	cellular response to hypoxia [GO:0071456]; cellular response to interleukin-7 [GO:0098761]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; insulin processing [GO:0030070]; interleukin-12-mediated signaling pathway [GO:0035722]; interleukin-23-mediated signaling pathway [GO:0038155]; peptidyl-proline hydroxylation to 4-hydroxy-L-proline [GO:0018401]; positive regulation of cell adhesion [GO:0045785]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; positive regulation of T cell migration [GO:2000406]; positive regulation of viral entry into host cell [GO:0046598]; protein folding [GO:0006457]; protein folding in endoplasmic reticulum [GO:0034975]; regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902175]; response to endoplasmic reticulum stress [GO:0034976]	41588986.0	Nutrient Stress	12
Alpha-crystallin B chain (Alpha(B)-crystallin) (Heat shock protein beta-5) (HspB5) (Heat shock protein family B member 5) (Renal carcinoma antigen NY-REN-27) (Rosenthal fiber component)	CRYAB CRYA2 HSPB5	apoptotic process involved in morphogenesis [GO:0060561]; cellular response to gamma radiation [GO:0071480]; glutathione metabolic process [GO:0006749]; lens development in camera-type eye [GO:0002088]; microtubule polymerization or depolymerization [GO:0031109]; muscle contraction [GO:0006936]; muscle organ development [GO:0007517]; negative regulation of amyloid fibril formation [GO:1905907]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell growth [GO:0030308]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]; negative regulation of intracellular transport [GO:0032387]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; protein folding [GO:0006457]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]; regulation of programmed cell death [GO:0043067]; response to estradiol [GO:0032355]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to hypoxia [GO:0001666]; stress-activated MAPK cascade [GO:0051403]; tubulin complex assembly [GO:0007021]	35686034.0	Nutrient Stress	12
COMM domain-containing protein 1 (Protein Murr1)	COMMD1 C2orf5 MURR1	cholesterol homeostasis [GO:0042632]; copper ion homeostasis [GO:0055070]; Golgi to plasma membrane transport [GO:0006893]; low-density lipoprotein particle clearance [GO:0034383]; negative regulation of hypoxia-inducible factor-1alpha signaling pathway [GO:1902072]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of protein localization to cell surface [GO:2000009]; negative regulation of sodium ion transmembrane transport [GO:1902306]; nucleotide-excision repair [GO:0006289]; plasma membrane to endosome transport [GO:0048227]; positive regulation of cholesterol import [GO:1904109]; positive regulation of endosome to plasma membrane protein transport [GO:1905751]; positive regulation of protein localization to cell surface [GO:2000010]; positive regulation of protein ubiquitination [GO:0031398]; protein destabilization [GO:0031648]; protein localization to cell surface [GO:0034394]; protein transport [GO:0015031]; regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032434]	42156174.0	Nutrient Stress	12
E3 ubiquitin-protein ligase CHIP (EC 2.3.2.27) (Antigen NY-CO-7) (CLL-associated antigen KW-8) (Carboxy terminus of Hsp70-interacting protein) (RING-type E3 ubiquitin transferase CHIP) (STIP1 homology and U box-containing protein 1)	STUB1 CHIP PP1131	cellular response to heat [GO:0034605]; cellular response to hypoxia [GO:0071456]; cellular response to misfolded protein [GO:0071218]; chaperone-mediated autophagy [GO:0061684]; DNA repair [GO:0006281]; endoplasmic reticulum unfolded protein response [GO:0030968]; ERAD pathway [GO:0036503]; ERBB2 signaling pathway [GO:0038128]; MAPK cascade [GO:0000165]; negative regulation of cardiac muscle hypertrophy [GO:0010614]; negative regulation of peroxisome proliferator activated receptor signaling pathway [GO:0035359]; negative regulation of smooth muscle cell apoptotic process [GO:0034392]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; negative regulation of vascular associated smooth muscle contraction [GO:1904694]; positive regulation of chaperone-mediated protein complex assembly [GO:0090035]; positive regulation of ERAD pathway [GO:1904294]; positive regulation of mitophagy [GO:1901526]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of proteolysis [GO:0045862]; positive regulation of smooth muscle cell apoptotic process [GO:0034393]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein K63-linked ubiquitination [GO:0070534]; protein monoubiquitination [GO:0006513]; protein polyubiquitination [GO:0000209]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]; protein stabilization [GO:0050821]; protein ubiquitination [GO:0016567]; regulation of glucocorticoid metabolic process [GO:0031943]; regulation of protein stability [GO:0031647]; response to ischemia [GO:0002931]; ubiquitin-dependent protein catabolic process [GO:0006511]	41265811.0	Nutrient Stress	11
Tyrosine-protein phosphatase non-receptor type 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1B) (PTP-1B)	PTPN1 PTP1B	actin cytoskeleton organization [GO:0030036]; cellular response to angiotensin [GO:1904385]; cellular response to fibroblast growth factor stimulus [GO:0044344]; cellular response to hypoxia [GO:0071456]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to nitric oxide [GO:0071732]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; cellular response to unfolded protein [GO:0034620]; endoplasmic reticulum unfolded protein response [GO:0030968]; growth hormone receptor signaling pathway via JAK-STAT [GO:0060397]; insulin receptor recycling [GO:0038020]; insulin receptor signaling pathway [GO:0008286]; IRE1-mediated unfolded protein response [GO:0036498]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of cell-substrate adhesion [GO:0010812]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of neuron projection development [GO:0010977]; negative regulation of PERK-mediated unfolded protein response [GO:1903898]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of signal transduction [GO:0009968]; negative regulation of vascular associated smooth muscle cell migration [GO:1904753]; negative regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030948]; peptidyl-tyrosine dephosphorylation [GO:0035335]; platelet-derived growth factor receptor-beta signaling pathway [GO:0035791]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of endothelial cell apoptotic process [GO:2000353]; positive regulation of heart rate [GO:0010460]; positive regulation of IRE1-mediated unfolded protein response [GO:1903896]; positive regulation of JNK cascade [GO:0046330]; positive regulation of receptor catabolic process [GO:2000646]; positive regulation of systemic arterial blood pressure [GO:0003084]; regulation of endocytosis [GO:0030100]; regulation of hepatocyte growth factor receptor signaling pathway [GO:1902202]; regulation of intracellular protein transport [GO:0033157]; regulation of postsynapse assembly [GO:0150052]; regulation of proteolysis [GO:0030162]; regulation of signal transduction [GO:0009966]; regulation of type I interferon-mediated signaling pathway [GO:0060338]; response to nutrient levels [GO:0031667]; vascular endothelial cell response to oscillatory fluid shear stress [GO:0097706]	39819723.0	Nutrient Stress	11
E3 ubiquitin-protein ligase CHIP (EC 2.3.2.27) (Antigen NY-CO-7) (CLL-associated antigen KW-8) (Carboxy terminus of Hsp70-interacting protein) (RING-type E3 ubiquitin transferase CHIP) (STIP1 homology and U box-containing protein 1)	STUB1 CHIP PP1131	cellular response to heat [GO:0034605]; cellular response to hypoxia [GO:0071456]; cellular response to misfolded protein [GO:0071218]; chaperone-mediated autophagy [GO:0061684]; DNA repair [GO:0006281]; endoplasmic reticulum unfolded protein response [GO:0030968]; ERAD pathway [GO:0036503]; ERBB2 signaling pathway [GO:0038128]; MAPK cascade [GO:0000165]; negative regulation of cardiac muscle hypertrophy [GO:0010614]; negative regulation of peroxisome proliferator activated receptor signaling pathway [GO:0035359]; negative regulation of smooth muscle cell apoptotic process [GO:0034392]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; negative regulation of vascular associated smooth muscle contraction [GO:1904694]; positive regulation of chaperone-mediated protein complex assembly [GO:0090035]; positive regulation of ERAD pathway [GO:1904294]; positive regulation of mitophagy [GO:1901526]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of proteolysis [GO:0045862]; positive regulation of smooth muscle cell apoptotic process [GO:0034393]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein K63-linked ubiquitination [GO:0070534]; protein monoubiquitination [GO:0006513]; protein polyubiquitination [GO:0000209]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]; protein stabilization [GO:0050821]; protein ubiquitination [GO:0016567]; regulation of glucocorticoid metabolic process [GO:0031943]; regulation of protein stability [GO:0031647]; response to ischemia [GO:0002931]; ubiquitin-dependent protein catabolic process [GO:0006511]	41265811.0	Nutrient Stress	11
Ras-related GTP-binding protein C (Rag C) (RagC) (EC 3.6.5.-) (GTPase-interacting protein 2) (TIB929)	RRAGC	apoptotic process [GO:0006915]; cellular response to amino acid starvation [GO:0034198]; cellular response to amino acid stimulus [GO:0071230]; cellular response to nutrient levels [GO:0031669]; cellular response to starvation [GO:0009267]; DNA-templated transcription [GO:0006351]; intracellular protein localization [GO:0008104]; negative regulation of autophagy [GO:0010507]; positive regulation of TORC1 signaling [GO:1904263]; protein localization to lysosome [GO:0061462]; protein localization to membrane [GO:0072657]; regulation of TOR signaling [GO:0032006]; regulation of TORC1 signaling [GO:1903432]; response to amino acid [GO:0043200]; RNA splicing [GO:0008380]; small GTPase-mediated signal transduction [GO:0007264]	37749558.0	Nutrient Stress	11
STE20-related kinase adapter protein alpha (STRAD alpha) (STE20-related adapter protein) (Serologically defined breast cancer antigen NY-BR-96)	STRADA LYK5 STRAD	activation of protein kinase activity [GO:0032147]; G1 to G0 transition [GO:0070314]; protein export from nucleus [GO:0006611]	41791387.0	Nutrient Stress	11
Endoplasmin (EC 3.6.4.-) (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1) (Heat shock protein family C member 4) (Tumor rejection antigen 1) (gp96 homolog)	HSP90B1 GRP94 HSPC4 TRA1	actin rod assembly [GO:0031247]; cellular response to ATP [GO:0071318]; cellular response to manganese ion [GO:0071287]; ERAD pathway [GO:0036503]; negative regulation of apoptotic process [GO:0043066]; positive regulation of toll-like receptor signaling pathway [GO:0034123]; positive regulation of Wnt signaling pathway [GO:0030177]; protein folding [GO:0006457]; protein folding in endoplasmic reticulum [GO:0034975]; protein localization to plasma membrane [GO:0072659]; protein transport [GO:0015031]; response to endoplasmic reticulum stress [GO:0034976]; response to hypoxia [GO:0001666]; retrograde protein transport, ER to cytosol [GO:0030970]; sequestering of calcium ion [GO:0051208]	38590708.0	Nutrient Stress	11
Fos-related antigen 2 (FRA-2)	FOSL2 FRA2	alveolar secondary septum development [GO:0061144]; B cell differentiation [GO:0030183]; B cell proliferation [GO:0042100]; bone mineralization [GO:0030282]; cell death [GO:0008219]; cell morphogenesis [GO:0000902]; chondrocyte differentiation [GO:0002062]; chondrocyte proliferation [GO:0035988]; collagen biosynthetic process [GO:0032964]; fat cell apoptotic process [GO:1904606]; fat cell differentiation [GO:0045444]; fat pad development [GO:0060613]; gene expression [GO:0010467]; glucose homeostasis [GO:0042593]; growth plate cartilage development [GO:0003417]; homeostasis of number of cells within a tissue [GO:0048873]; inflammatory response to antigenic stimulus [GO:0002437]; innate immune response [GO:0045087]; insulin metabolic process [GO:1901142]; keratinocyte development [GO:0003334]; lung connective tissue development [GO:0060427]; macrophage differentiation [GO:0030225]; mucus secretion [GO:0070254]; multicellular organism growth [GO:0035264]; myofibroblast differentiation [GO:0036446]; neutrophil differentiation [GO:0030223]; NK T cell differentiation [GO:0001865]; osteoblast differentiation [GO:0001649]; osteoclast differentiation [GO:0030316]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of multicellular organism growth [GO:0040014]; regulation of myofibroblast differentiation [GO:1904760]; regulation of transcription by RNA polymerase II [GO:0006357]; response to bleomycin [GO:1904975]; response to glucocorticoid [GO:0051384]; response to Gram-positive bacterium [GO:0140459]; response to hypoxia [GO:0001666]; response to interleukin-13 [GO:0035962]; response to interleukin-7 [GO:0098760]; response to leukemia inhibitory factor [GO:1990823]; response to lipopolysaccharide [GO:0032496]; response to xenobiotic stimulus [GO:0009410]; smooth muscle tissue development [GO:0048745]; T cell receptor signaling pathway [GO:0050852]; tissue remodeling [GO:0048771]	42018656.0	Nutrient Stress	11
Tyrosine-protein phosphatase non-receptor type 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1B) (PTP-1B)	PTPN1 PTP1B	actin cytoskeleton organization [GO:0030036]; cellular response to angiotensin [GO:1904385]; cellular response to fibroblast growth factor stimulus [GO:0044344]; cellular response to hypoxia [GO:0071456]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to nitric oxide [GO:0071732]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; cellular response to unfolded protein [GO:0034620]; endoplasmic reticulum unfolded protein response [GO:0030968]; growth hormone receptor signaling pathway via JAK-STAT [GO:0060397]; insulin receptor recycling [GO:0038020]; insulin receptor signaling pathway [GO:0008286]; IRE1-mediated unfolded protein response [GO:0036498]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of cell-substrate adhesion [GO:0010812]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of neuron projection development [GO:0010977]; negative regulation of PERK-mediated unfolded protein response [GO:1903898]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of signal transduction [GO:0009968]; negative regulation of vascular associated smooth muscle cell migration [GO:1904753]; negative regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030948]; peptidyl-tyrosine dephosphorylation [GO:0035335]; platelet-derived growth factor receptor-beta signaling pathway [GO:0035791]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of endothelial cell apoptotic process [GO:2000353]; positive regulation of heart rate [GO:0010460]; positive regulation of IRE1-mediated unfolded protein response [GO:1903896]; positive regulation of JNK cascade [GO:0046330]; positive regulation of receptor catabolic process [GO:2000646]; positive regulation of systemic arterial blood pressure [GO:0003084]; regulation of endocytosis [GO:0030100]; regulation of hepatocyte growth factor receptor signaling pathway [GO:1902202]; regulation of intracellular protein transport [GO:0033157]; regulation of postsynapse assembly [GO:0150052]; regulation of proteolysis [GO:0030162]; regulation of signal transduction [GO:0009966]; regulation of type I interferon-mediated signaling pathway [GO:0060338]; response to nutrient levels [GO:0031667]; vascular endothelial cell response to oscillatory fluid shear stress [GO:0097706]	39819723.0	Nutrient Stress	11
Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic initiation factor 4A-like NUK-34) (Eukaryotic translation initiation factor 4A isoform 3) (Nuclear matrix protein 265) (NMP 265) (hNMP 265) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]	EIF4A3 DDX48 KIAA0111	associative learning [GO:0008306]; cellular response to brain-derived neurotrophic factor stimulus [GO:1990416]; cellular response to selenite ion [GO:0072715]; embryonic cranial skeleton morphogenesis [GO:0048701]; exploration behavior [GO:0035640]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of excitatory postsynaptic potential [GO:0090394]; negative regulation of selenocysteine incorporation [GO:1904570]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of translation [GO:0045727]; regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:2000622]; regulation of translation at postsynapse, modulating synaptic transmission [GO:0099578]; rRNA processing [GO:0006364]	42090954.0	Nutrient Stress	10
Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta) (eIF3 p167) (eIF3 p180) (eIF3 p185)	EIF3A EIF3S10 KIAA0139	formation of cytoplasmic translation initiation complex [GO:0001732]; IRES-dependent viral translational initiation [GO:0075522]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; translation reinitiation [GO:0002188]; translational initiation [GO:0006413]; viral translational termination-reinitiation [GO:0075525]	40346622.0	Nutrient Stress	10
Sodium-coupled neutral amino acid transporter 5 (Solute carrier family 38 member 5) (System N transporter 2)	SLC38A5 JM24 SN2 SNAT5 PP7194	amino acid export across plasma membrane [GO:0032973]; amino acid import across plasma membrane [GO:0089718]; amino acid transport [GO:0006865]; asparagine transmembrane transport [GO:1903713]; glutamine transport [GO:0006868]; glycine transport [GO:0015816]; L-alanine transmembrane transport [GO:1904557]; L-glutamine import across plasma membrane [GO:1903803]; L-histidine transmembrane transport [GO:0089709]; L-serine import across plasma membrane [GO:1903812]; L-serine transport [GO:0015825]; neutral amino acid transport [GO:0015804]; serine transport [GO:0032329]; transport across blood-brain barrier [GO:0150104]	39511570.0	Nutrient Stress	10
Mesencephalic astrocyte-derived neurotrophic factor (Arginine-rich protein) (Protein ARMET)	MANF ARMET ARP	ATF6-mediated unfolded protein response [GO:0036500]; dopaminergic neuron differentiation [GO:0071542]; neuron projection development [GO:0031175]; regulation of response to endoplasmic reticulum stress [GO:1905897]; vasoconstriction of artery involved in ischemic response to lowering of systemic arterial blood pressure [GO:0002014]	39437337.0	Nutrient Stress	10
Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (EC 1.14.11.51) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1) (EC 1.14.11.33) (mRNA N(3)-methylcytidine demethylase) (EC 1.14.11.-)	ALKBH1 ABH ABH1 ALKBH	developmental growth [GO:0048589]; DNA repair [GO:0006281]; in utero embryonic development [GO:0001701]; negative regulation of neuron apoptotic process [GO:0043524]; neuron migration [GO:0001764]; neuron projection development [GO:0031175]; oxidative RNA demethylation [GO:0035513]; placenta development [GO:0001890]; positive regulation of gene expression, epigenetic [GO:0141137]; regulation of mitochondrial translation [GO:0070129]; regulation of translational elongation [GO:0006448]; regulation of translational initiation [GO:0006446]; regulation of translational initiation by tRNA modification [GO:1990983]; RNA repair [GO:0042245]; tRNA wobble cytosine modification [GO:0002101]	34922943.0	Nutrient Stress	9
RuvB-like 2 (EC 3.6.4.12) (48 kDa TATA box-binding protein-interacting protein) (48 kDa TBP-interacting protein) (51 kDa erythrocyte cytosolic protein) (ECP-51) (INO80 complex subunit J) (Repressing pontin 52) (Reptin 52) (TIP49b) (TIP60-associated protein 54-beta) (TAP54-beta)	RUVBL2 INO80J TIP48 TIP49B CGI-46	box C/D snoRNP assembly [GO:0000492]; cellular response to estradiol stimulus [GO:0071392]; cellular response to UV [GO:0034644]; chromatin remodeling [GO:0006338]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; establishment of protein localization to chromatin [GO:0071169]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; positive regulation of DNA repair [GO:0045739]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of telomere maintenance in response to DNA damage [GO:1904507]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of chromosome organization [GO:0033044]; regulation of DNA repair [GO:0006282]; regulation of DNA replication [GO:0006275]; regulation of DNA strand elongation [GO:0060382]; regulation of DNA-templated transcription [GO:0006355]; regulation of double-strand break repair [GO:2000779]; regulation of embryonic development [GO:0045995]; regulation of transcription by RNA polymerase II [GO:0006357]; telomerase RNA localization to Cajal body [GO:0090671]; telomere maintenance [GO:0000723]	33129013.0	Nutrient Stress	9
Ras-related GTP-binding protein D (Rag D) (RagD) (EC 3.6.5.-)	RRAGD	cellular response to amino acid stimulus [GO:0071230]; cellular response to L-leucine [GO:0071233]; cellular response to leucine starvation [GO:1990253]; cellular response to starvation [GO:0009267]; intracellular protein localization [GO:0008104]; negative regulation of autophagy [GO:0010507]; positive regulation of TOR signaling [GO:0032008]; positive regulation of TORC1 signaling [GO:1904263]	40817797.0	Nutrient Stress	9
Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (PP2Aa) (Medium tumor antigen-associated 61 kDa protein) (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha)	PPP2R1A	chromosome segregation [GO:0007059]; female meiotic nuclear division [GO:0007143]; intracellular signal transduction [GO:0035556]; meiotic sister chromatid cohesion, centromeric [GO:0051754]; meiotic spindle elongation [GO:0051232]; mitotic sister chromatid separation [GO:0051306]; negative regulation of hippo signaling [GO:0035331]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; positive regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001241]; protein-containing complex assembly [GO:0065003]; regulation of cell differentiation [GO:0045595]; regulation of growth [GO:0040008]; regulation of meiotic cell cycle process involved in oocyte maturation [GO:1903538]; RNA polymerase II transcription initiation surveillance [GO:0160240]; spindle assembly [GO:0051225]; T cell homeostasis [GO:0043029]	41153026.0	Nutrient Stress	9
