Protein names	Gene Names	Gene Ontology (biological process)	Supporting_PMID	Paper_Count
Protein arginine N-methyltransferase 1 (EC 2.1.1.319) (Histone-arginine N-methyltransferase PRMT1) (Interferon receptor 1-bound protein 4)	PRMT1 HMT2 HRMT1L2 IR1B4	cardiac muscle tissue development [GO:0048738]; cell surface receptor signaling pathway [GO:0007166]; cellular response to methionine [GO:0061431]; chromatin remodeling [GO:0006338]; DNA damage response [GO:0006974]; in utero embryonic development [GO:0001701]; negative regulation of apoptotic process [GO:0043066]; negative regulation of JNK cascade [GO:0046329]; negative regulation of megakaryocyte differentiation [GO:0045653]; neuron projection development [GO:0031175]; peptidyl-arginine methylation [GO:0018216]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of hemoglobin biosynthetic process [GO:0046985]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of TORC1 signaling [GO:1904263]; positive regulation of translation [GO:0045727]; protein homooligomerization [GO:0051260]; protein methylation [GO:0006479]; regulation of BMP signaling pathway [GO:0030510]; regulation of DNA-templated transcription [GO:0006355]; regulation of megakaryocyte differentiation [GO:0045652]; RNA splicing [GO:0008380]; viral protein processing [GO:0019082]	34320342	11
Mitogen-activated protein kinase kinase kinase 2 (EC 2.7.11.25) (MAPK/ERK kinase kinase 2) (MEK kinase 2) (MEKK 2)	MAP3K2 MAPKKK2 MEKK2	cellular response to mechanical stimulus [GO:0071260]; intracellular signal transduction [GO:0035556]	34931755	11
Protein-tyrosine kinase 2-beta (EC 2.7.10.2) (Calcium-dependent tyrosine kinase) (CADTK) (Calcium-regulated non-receptor proline-rich tyrosine kinase) (Cell adhesion kinase beta) (CAK-beta) (CAKB) (Focal adhesion kinase 2) (FADK 2) (Proline-rich tyrosine kinase 2) (Related adhesion focal tyrosine kinase) (RAFTK)	PTK2B FAK2 PYK2 RAFTK	activation of Janus kinase activity [GO:0042976]; adaptive immune response [GO:0002250]; apoptotic process [GO:0006915]; bone resorption [GO:0045453]; cell surface receptor signaling pathway [GO:0007166]; cellular defense response [GO:0006968]; cellular response to fluid shear stress [GO:0071498]; cellular response to retinoic acid [GO:0071300]; chemokine-mediated signaling pathway [GO:0070098]; cortical cytoskeleton organization [GO:0030865]; endothelin receptor signaling pathway [GO:0086100]; epidermal growth factor receptor signaling pathway [GO:0007173]; Golgi organization [GO:0007030]; integrin-mediated signaling pathway [GO:0007229]; ionotropic glutamate receptor signaling pathway [GO:0035235]; long-term synaptic potentiation [GO:0060291]; marginal zone B cell differentiation [GO:0002315]; negative regulation of apoptotic process [GO:0043066]; negative regulation of bone mineralization [GO:0030502]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of myeloid cell differentiation [GO:0045638]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of potassium ion transport [GO:0043267]; neuron migration [GO:0001764]; peptidyl-tyrosine autophosphorylation [GO:0038083]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of angiogenesis [GO:0045766]; positive regulation of B cell chemotaxis [GO:2000538]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cell-matrix adhesion [GO:0001954]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of excitatory postsynaptic potential [GO:2000463]; positive regulation of JNK cascade [GO:0046330]; positive regulation of neuron projection development [GO:0010976]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of protein kinase activity [GO:0045860]; positive regulation of synaptic transmission, glutamatergic [GO:0051968]; positive regulation of ubiquitin-dependent protein catabolic process [GO:2000060]; protein autophosphorylation [GO:0046777]; protein-containing complex assembly [GO:0065003]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of cell adhesion [GO:0030155]; regulation of cell shape [GO:0008360]; regulation of macrophage chemotaxis [GO:0010758]; regulation of postsynaptic density assembly [GO:0099151]; regulation of release of sequestered calcium ion into cytosol [GO:0051279]; regulation of synaptic plasticity [GO:0048167]; regulation of ubiquitin-dependent protein catabolic process [GO:2000058]; signal complex assembly [GO:0007172]; signal transduction [GO:0007165]; sprouting angiogenesis [GO:0002040]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]	42229377	6
Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1)	GSTP1 FAEES3 GST3	animal organ regeneration [GO:0031100]; cellular response to cell-matrix adhesion [GO:0071460]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to insulin stimulus [GO:0032869]; cellular response to lipopolysaccharide [GO:0071222]; central nervous system development [GO:0007417]; common myeloid progenitor cell proliferation [GO:0035726]; glutathione derivative biosynthetic process [GO:1901687]; glutathione metabolic process [GO:0006749]; hepoxilin biosynthetic process [GO:0051122]; linoleic acid metabolic process [GO:0043651]; negative regulation of acute inflammatory response [GO:0002674]; negative regulation of apoptotic process [GO:0043066]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of ferroptosis [GO:0110076]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of interleukin-1 beta production [GO:0032691]; negative regulation of JNK cascade [GO:0046329]; negative regulation of leukocyte proliferation [GO:0070664]; negative regulation of MAPK cascade [GO:0043409]; negative regulation of monocyte chemotactic protein-1 production [GO:0071638]; negative regulation of smooth muscle cell chemotaxis [GO:0071672]; negative regulation of stress-activated MAPK cascade [GO:0032873]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of tumor necrosis factor production [GO:0032720]; negative regulation of tumor necrosis factor-mediated signaling pathway [GO:0010804]; negative regulation of vascular associated smooth muscle cell proliferation [GO:1904706]; nitric oxide storage [GO:0035732]; oligodendrocyte development [GO:0014003]; positive regulation of superoxide anion generation [GO:0032930]; prostaglandin metabolic process [GO:0006693]; regulation of ERK1 and ERK2 cascade [GO:0070372]; regulation of stress-activated MAPK cascade [GO:0032872]; response to amino acid [GO:0043200]; response to estradiol [GO:0032355]; response to ethanol [GO:0045471]; response to L-ascorbic acid [GO:0033591]; response to reactive oxygen species [GO:0000302]; xenobiotic metabolic process [GO:0006805]	40987408	48
Heat shock factor protein 1 (HSF 1) (Heat shock transcription factor 1) (HSTF 1)	HSF1 HSTF1	cellular response to angiotensin [GO:1904385]; cellular response to cadmium ion [GO:0071276]; cellular response to copper ion [GO:0071280]; cellular response to diamide [GO:0072738]; cellular response to estradiol stimulus [GO:0071392]; cellular response to gamma radiation [GO:0071480]; cellular response to heat [GO:0034605]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to L-glutamine [GO:1904845]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to nitroglycerin [GO:1904843]; cellular response to potassium ion [GO:0035865]; cellular response to sodium arsenite [GO:1903936]; cellular response to unfolded protein [GO:0034620]; cellular response to xenobiotic stimulus [GO:0071466]; defense response [GO:0006952]; DNA repair [GO:0006281]; embryonic placenta development [GO:0001892]; embryonic process involved in female pregnancy [GO:0060136]; epithelial cell proliferation [GO:0050673]; female meiotic nuclear division [GO:0007143]; MAPK cascade [GO:0000165]; mRNA processing [GO:0006397]; mRNA transport [GO:0051028]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of double-strand break repair via nonhomologous end joining [GO:2001033]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of inclusion body assembly [GO:0090084]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of tumor necrosis factor production [GO:0032720]; positive regulation of apoptotic DNA fragmentation [GO:1902512]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of gene expression [GO:0010628]; positive regulation of inclusion body assembly [GO:0090261]; positive regulation of macrophage differentiation [GO:0045651]; positive regulation of mitotic cell cycle [GO:0045931]; positive regulation of multicellular organism growth [GO:0040018]; positive regulation of stress granule assembly [GO:0062029]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein-containing complex assembly [GO:0065003]; regulation of cellular response to heat [GO:1900034]; regulation of transcription by RNA polymerase II [GO:0006357]; response to activity [GO:0014823]; response to hypobaric hypoxia [GO:1990910]; response to nutrient [GO:0007584]; response to peptide [GO:1901652]; response to psychosocial stress [GO:1990911]; response to testosterone [GO:0033574]; spermatogenesis [GO:0007283]	40782537	48
Tyrosine-protein phosphatase non-receptor type 7 (EC 3.1.3.48) (Hematopoietic protein-tyrosine phosphatase) (HEPTP) (Protein-tyrosine phosphatase LC-PTP)	PTPN7	MAPK cascade [GO:0000165]; protein dephosphorylation [GO:0006470]; signal transduction [GO:0007165]	37739277	5
Histone deacetylase 3 (HD3) (EC 3.5.1.98) (Protein deacetylase HDAC3) (EC 3.5.1.-) (Protein deacylase HDAC3) (EC 3.5.1.-) (RPD3-2) (SMAP45)	HDAC3	cellular response to fluid shear stress [GO:0071498]; cellular response to mechanical stimulus [GO:0071260]; cellular response to parathyroid hormone stimulus [GO:0071374]; chromatin organization [GO:0006325]; circadian regulation of gene expression [GO:0032922]; cornified envelope assembly [GO:1903575]; DNA repair-dependent chromatin remodeling [GO:0140861]; epigenetic regulation of gene expression [GO:0040029]; establishment of mitotic spindle orientation [GO:0000132]; establishment of skin barrier [GO:0061436]; in utero embryonic development [GO:0001701]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cardiac muscle cell differentiation [GO:2000726]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of interleukin-1 production [GO:0032692]; negative regulation of JNK cascade [GO:0046329]; negative regulation of protein export from nucleus [GO:0046826]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of tumor necrosis factor production [GO:0032720]; neural precursor cell proliferation [GO:0061351]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of ferroptosis [GO:0160020]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of TOR signaling [GO:0032008]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of type B pancreatic cell apoptotic process [GO:2000676]; protein deacetylation [GO:0006476]; random inactivation of X chromosome [GO:0060816]; regulation of circadian rhythm [GO:0042752]; regulation of mitotic cell cycle [GO:0007346]; regulation of multicellular organism growth [GO:0040014]; regulation of protein stability [GO:0031647]; response to dexamethasone [GO:0071548]; response to nutrient levels [GO:0031667]; response to xenobiotic stimulus [GO:0009410]; spindle assembly [GO:0051225]; transcription by RNA polymerase II [GO:0006366]	32024543	18
Homeodomain-interacting protein kinase 1 (EC 2.7.11.1) (Nuclear body-associated kinase 2)	HIPK1 KIAA0630 MYAK NBAK2	adherens junction assembly [GO:0034333]; anterior/posterior pattern specification [GO:0009952]; cell population proliferation [GO:0008283]; definitive hemopoiesis [GO:0060216]; embryonic camera-type eye morphogenesis [GO:0048596]; embryonic retina morphogenesis in camera-type eye [GO:0060059]; endothelial cell apoptotic process [GO:0072577]; extrinsic apoptotic signaling pathway [GO:0097191]; eye development [GO:0001654]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; iris morphogenesis [GO:0061072]; lens induction in camera-type eye [GO:0060235]; neuron differentiation [GO:0030182]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell population proliferation [GO:0008284]; protein phosphorylation [GO:0006468]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]; retina layer formation [GO:0010842]; smoothened signaling pathway [GO:0007224]	18219322	5
Homeodomain-interacting protein kinase 3 (EC 2.7.11.1) (Androgen receptor-interacting nuclear protein kinase) (ANPK) (Fas-interacting serine/threonine-protein kinase) (FIST) (Homolog of protein kinase YAK1)	HIPK3 DYRK6 FIST3 PKY	apoptotic process [GO:0006915]; mRNA transcription [GO:0009299]; negative regulation of apoptotic process [GO:0043066]; negative regulation of JUN kinase activity [GO:0043508]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; protein phosphorylation [GO:0006468]	22199361	5
High mobility group protein B1 (High mobility group protein 1) (HMG-1)	HMGB1 HMG1	activation of innate immune response [GO:0002218]; apoptotic cell clearance [GO:0043277]; autophagy [GO:0006914]; base-excision repair [GO:0006284]; cellular response to interleukin-7 [GO:0098761]; cellular response to lipopolysaccharide [GO:0071222]; chromatin remodeling [GO:0006338]; dendritic cell chemotaxis [GO:0002407]; DNA geometric change [GO:0032392]; DNA recombination [GO:0006310]; DNA topological change [GO:0006265]; double-strand break repair [GO:0006302]; double-strand break repair via nonhomologous end joining [GO:0006303]; endothelial cell chemotaxis [GO:0035767]; endothelial cell proliferation [GO:0001935]; eye development [GO:0001654]; glycogen catabolic process [GO:0005980]; heterochromatin formation [GO:0031507]; inflammatory response [GO:0006954]; inflammatory response to antigenic stimulus [GO:0002437]; innate immune response [GO:0045087]; lung development [GO:0030324]; macrophage activation involved in immune response [GO:0002281]; myeloid cell differentiation [GO:0030099]; myeloid dendritic cell activation [GO:0001773]; myeloid progenitor cell differentiation [GO:0002318]; negative regulation of apoptotic cell clearance [GO:2000426]; negative regulation of blood vessel endothelial cell migration [GO:0043537]; negative regulation of CD4-positive, alpha-beta T cell differentiation [GO:0043371]; negative regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0017055]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of type II interferon production [GO:0032689]; neuron projection development [GO:0031175]; neutrophil clearance [GO:0097350]; plasmacytoid dendritic cell activation [GO:0002270]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of apoptotic process [GO:0043065]; positive regulation of autophagy [GO:0010508]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of chemokine (C-X-C motif) ligand 2 production [GO:2000343]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of dendritic cell differentiation [GO:2001200]; positive regulation of DNA binding [GO:0043388]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of glycogen catabolic process [GO:0045819]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-1 production [GO:0032732]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of JNK cascade [GO:0046330]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mismatch repair [GO:0032425]; positive regulation of monocyte chemotactic protein-1 production [GO:0071639]; positive regulation of monocyte chemotaxis [GO:0090026]; positive regulation of myeloid cell differentiation [GO:0045639]; positive regulation of myeloid progenitor cell differentiation [GO:1905455]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of sprouting angiogenesis [GO:1903672]; positive regulation of toll-like receptor 2 signaling pathway [GO:0034137]; positive regulation of toll-like receptor 4 signaling pathway [GO:0034145]; positive regulation of toll-like receptor 9 signaling pathway [GO:0034165]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of vascular endothelial cell proliferation [GO:1905564]; positive regulation of viral entry into host cell [GO:0046598]; positive regulation of wound healing [GO:0090303]; regulation of nucleotide-excision repair [GO:2000819]; regulation of restriction endodeoxyribonuclease activity [GO:0032072]; regulation of T cell mediated immune response to tumor cell [GO:0002840]; regulation of tolerance induction [GO:0002643]; response to glucocorticoid [GO:0051384]; T-helper 1 cell activation [GO:0035711]; T-helper 1 cell differentiation [GO:0045063]; transcription by RNA polymerase II [GO:0006366]; V(D)J recombination [GO:0033151]	41795141	215
Mitogen-activated protein kinase kinase kinase 1 (EC 2.7.11.25) (MAPK/ERK kinase kinase 1) (MEK kinase 1) (MEKK 1) (EC 2.3.2.27)	MAP3K1 MAPKKK1 MEKK MEKK1	cellular response to mechanical stimulus [GO:0071260]; Fc-epsilon receptor signaling pathway [GO:0038095]; protein phosphorylation [GO:0006468]	41972694	42
Serine/threonine-protein kinase TAO2 (EC 2.7.11.1) (Kinase from chicken homolog C) (hKFC-C) (Prostate-derived sterile 20-like kinase 1) (PSK-1) (PSK1) (Prostate-derived STE20-like kinase 1) (Thousand and one amino acid protein kinase 2)	TAOK2 KIAA0881 MAP3K17 PSK PSK1 UNQ2971/PRO7431	actin cytoskeleton organization [GO:0030036]; apoptotic process [GO:0006915]; axonogenesis [GO:0007409]; basal dendrite arborization [GO:0150020]; basal dendrite morphogenesis [GO:0150019]; cell migration [GO:0016477]; DNA damage response [GO:0006974]; focal adhesion assembly [GO:0048041]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; positive regulation of JNK cascade [GO:0046330]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of stress-activated MAPK cascade [GO:0032874]; protein targeting to membrane [GO:0006612]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of cell growth [GO:0001558]; regulation of cell shape [GO:0008360]; stress-activated MAPK cascade [GO:0051403]	33067994	4
Retinoblastoma-associated protein (p105-Rb) (p110-RB1) (pRb) (Rb) (pp110)	RB1	aortic valve morphogenesis [GO:0003180]; cell differentiation [GO:0030154]; cell division [GO:0051301]; cell morphogenesis involved in neuron differentiation [GO:0048667]; cellular response to insulin stimulus [GO:0032869]; cellular response to xenobiotic stimulus [GO:0071466]; chondrocyte differentiation [GO:0002062]; chromatin remodeling [GO:0006338]; chromosome organization [GO:0051276]; digestive tract development [GO:0048565]; enucleate erythrocyte differentiation [GO:0043353]; epithelial cell proliferation [GO:0050673]; G1/S transition of mitotic cell cycle [GO:0000082]; glial cell apoptotic process [GO:0034349]; glial cell proliferation [GO:0014009]; hepatocyte apoptotic process [GO:0097284]; heterochromatin formation [GO:0031507]; maintenance of mitotic sister chromatid cohesion [GO:0034088]; myoblast differentiation [GO:0045445]; negative regulation of apoptotic signaling pathway [GO:2001234]; negative regulation of cell cycle [GO:0045786]; negative regulation of cell growth [GO:0030308]; negative regulation of cold-induced thermogenesis [GO:0120163]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; negative regulation of gene expression [GO:0010629]; negative regulation of glial cell proliferation [GO:0060253]; negative regulation of hepatocyte apoptotic process [GO:1903944]; negative regulation of inflammatory response [GO:0050728]; negative regulation of myofibroblast differentiation [GO:1904761]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of smoothened signaling pathway [GO:0045879]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuron apoptotic process [GO:0051402]; neuron maturation [GO:0042551]; neuron projection development [GO:0031175]; positive regulation of collagen fibril organization [GO:1904028]; positive regulation of extracellular matrix organization [GO:1903055]; positive regulation of macrophage differentiation [GO:0045651]; positive regulation of mitotic metaphase/anaphase transition [GO:0045842]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription regulatory region DNA binding [GO:2000679]; protein localization to chromosome, centromeric region [GO:0071459]; Ras protein signal transduction [GO:0007265]; regulation of cell cycle [GO:0051726]; regulation of DNA-templated transcription [GO:0006355]; regulation of lipid kinase activity [GO:0043550]; regulation of mitotic cell cycle [GO:0007346]; sister chromatid biorientation [GO:0031134]; skeletal muscle cell differentiation [GO:0035914]; smoothened signaling pathway [GO:0007224]; spermatogenesis [GO:0007283]; striated muscle cell differentiation [GO:0051146]; tissue homeostasis [GO:0001894]; transcription by RNA polymerase II [GO:0006366]	41594579	47
C-type lectin domain family 7 member A (Beta-glucan receptor) (C-type lectin superfamily member 12) (Dendritic cell-associated C-type lectin 1) (DC-associated C-type lectin 1) (Dectin-1) (CD antigen CD369)	CLEC7A BGR CLECSF12 DECTIN1 UNQ539/PRO1082	antifungal innate immune response [GO:0061760]; apoptotic signaling pathway [GO:0097190]; carbohydrate mediated signaling [GO:0009756]; cell activation [GO:0001775]; cell recognition [GO:0008037]; cell surface pattern recognition receptor signaling pathway [GO:0002752]; cellular response to molecule of fungal origin [GO:0071226]; defense response to protozoan [GO:0042832]; detection of fungus [GO:0016046]; detection of molecule of fungal origin [GO:0032491]; detection of yeast [GO:0001879]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; phagocytosis, recognition [GO:0006910]; positive regulation of calcineurin-NFAT signaling cascade [GO:0070886]; positive regulation of calcium-mediated signaling [GO:0050850]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cell maturation [GO:1903431]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cytokine production involved in immune response [GO:0002720]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of dendritic cell cytokine production [GO:0002732]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of interleukin-23 production [GO:0032747]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of lymphocyte activation [GO:0051251]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of monocyte chemotactic protein-1 production [GO:0071639]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of phagocytosis [GO:0050766]; positive regulation of protein-containing complex assembly [GO:0031334]; positive regulation of respiratory burst [GO:0060267]; positive regulation of superoxide anion generation [GO:0032930]; positive regulation of T-helper 17 type immune response [GO:2000318]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of type II interferon production [GO:0032729]; positive regulation of wound healing [GO:0090303]; regulation of calcineurin-NFAT signaling cascade [GO:0070884]; regulation of canonical NF-kappaB signal transduction [GO:0043122]; response to yeast [GO:0001878]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; T cell activation [GO:0042110]	41580752	2
Period circadian protein homolog 1 (hPER1) (Circadian clock protein PERIOD 1) (Circadian pacemaker protein Rigui)	PER1 KIAA0482 PER RIGUI	chromatin remodeling [GO:0006338]; circadian regulation of gene expression [GO:0032922]; circadian rhythm [GO:0007623]; entrainment of circadian clock [GO:0009649]; entrainment of circadian clock by photoperiod [GO:0043153]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of JNK cascade [GO:0046329]; negative regulation of nuclear receptor-mediated glucocorticoid signaling pathway [GO:2000323]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; post-transcriptional regulation of gene expression [GO:0010608]; regulation of circadian rhythm [GO:0042752]; regulation of cytokine production involved in inflammatory response [GO:1900015]; regulation of hair cycle [GO:0042634]; regulation of p38MAPK cascade [GO:1900744]; regulation of sodium ion transport [GO:0002028]; response to cAMP [GO:0051591]	19625730	2
Zinc finger protein RFP (EC 2.3.2.27) (RING finger protein 76) (Ret finger protein) (Tripartite motif-containing protein 27)	TRIM27 RFP RNF76	Arp2/3 complex-mediated actin nucleation [GO:0034314]; innate immune response [GO:0045087]; negative regulation of autophagy [GO:0010507]; negative regulation of gene expression, epigenetic [GO:0045814]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of type I interferon production [GO:0032480]; negative regulation of viral transcription [GO:0032897]; positive regulation of actin nucleation [GO:0051127]; protein K63-linked ubiquitination [GO:0070534]; protein sumoylation [GO:0016925]; retrograde transport, endosome to Golgi [GO:0042147]; spermatogenesis [GO:0007283]; suppression of viral release by host [GO:0044790]	32343849	2
Triple functional domain protein (EC 2.7.11.1) (PTPRF-interacting protein)	TRIO	axon guidance [GO:0007411]; cell surface receptor protein tyrosine phosphatase signaling pathway [GO:0007185]; negative regulation of fat cell differentiation [GO:0045599]; neuron projection morphogenesis [GO:0048812]; postsynaptic modulation of chemical synaptic transmission [GO:0099170]; regulation of small GTPase mediated signal transduction [GO:0051056]	30268758	8
14-3-3 protein gamma (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein gamma, N-terminally processed]	YWHAG	cellular response to glucose starvation [GO:0042149]; cellular response to insulin stimulus [GO:0032869]; intracellular protein localization [GO:0008104]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of TORC1 signaling [GO:1904262]; positive regulation of cell-cell adhesion [GO:0022409]; positive regulation of T cell activation [GO:0050870]; positive regulation of T cell mediated immune response to tumor cell [GO:0002842]; protein targeting [GO:0006605]; regulation of neuron differentiation [GO:0045664]; regulation of protein localization [GO:0032880]; regulation of signal transduction [GO:0009966]; regulation of synaptic plasticity [GO:0048167]; signal transduction [GO:0007165]	39741303	1
Alpha/beta-tubulin-N-acetyltransferase 9 (EC 2.3.1.308) (Embryo brain-specific protein)	NAT9 EBS		37507384	2
Mitogen-activated protein kinase 12 (MAP kinase 12) (MAPK 12) (EC 2.7.11.24) (Extracellular signal-regulated kinase 6) (ERK-6) (Mitogen-activated protein kinase p38 gamma) (MAP kinase p38 gamma) (Stress-activated protein kinase 3)	MAPK12 ERK6 SAPK3	intracellular signal transduction [GO:0035556]; MAPK cascade [GO:0000165]; muscle organ development [GO:0007517]; myoblast differentiation [GO:0045445]; negative regulation of cell cycle [GO:0045786]; positive regulation of muscle cell differentiation [GO:0051149]; regulation of cell cycle [GO:0051726]; signal transduction [GO:0007165]; signal transduction in response to DNA damage [GO:0042770]	39917918	11
