Protein names	Gene Names	Gene Ontology (biological process)	Supporting_PMID	Paper_Count
Endothelial PAS domain-containing protein 1 (EPAS-1) (Basic-helix-loop-helix-PAS protein MOP2) (Class E basic helix-loop-helix protein 73) (bHLHe73) (HIF-1-alpha-like factor) (HLF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha) (Member of PAS protein 2) (PAS domain-containing protein 2)	EPAS1 BHLHE73 HIF2A MOP2 PASD2	angiogenesis [GO:0001525]; blood vessel remodeling [GO:0001974]; cellular response to hypoxia [GO:0071456]; embryonic placenta development [GO:0001892]; epithelial cell maturation [GO:0002070]; erythrocyte differentiation [GO:0030218]; intracellular oxygen homeostasis [GO:0032364]; lung development [GO:0030324]; mitochondrion organization [GO:0007005]; mRNA transcription by RNA polymerase II [GO:0042789]; multicellular organismal-level iron ion homeostasis [GO:0060586]; myoblast fate commitment [GO:0048625]; norepinephrine metabolic process [GO:0042415]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of heart rate [GO:0002027]; regulation of protein neddylation [GO:2000434]; regulation of transcription by RNA polymerase II [GO:0006357]; response to hypoxia [GO:0001666]; response to oxidative stress [GO:0006979]; signal transduction [GO:0007165]; surfactant homeostasis [GO:0043129]; visual perception [GO:0007601]	41945626	265
Histone acetyltransferase p300 (p300 HAT) (EC 2.3.1.48) (E1A-associated protein p300) (Histone butyryltransferase p300) (EC 2.3.1.-) (Histone crotonyltransferase p300) (EC 2.3.1.-) (Protein 2-hydroxyisobutyryltransferase p300) (EC 2.3.1.-) (Protein isonicotinyltransferase p300) (EC 2.3.1.-) (Protein lactyltransferas p300) (EC 2.3.1.-) (Protein propionyltransferase p300) (EC 2.3.1.-)	EP300 P300	animal organ morphogenesis [GO:0009887]; apoptotic process [GO:0006915]; B cell differentiation [GO:0030183]; behavioral defense response [GO:0002209]; canonical NF-kappaB signal transduction [GO:0007249]; canonical Wnt signaling pathway [GO:0060070]; cellular response to L-leucine [GO:0071233]; cellular response to nutrient levels [GO:0031669]; cellular response to UV [GO:0034644]; circadian rhythm [GO:0007623]; DNA repair-dependent chromatin remodeling [GO:0140861]; face morphogenesis [GO:0060325]; fat cell differentiation [GO:0045444]; heart development [GO:0007507]; host-mediated activation of viral transcription [GO:0043923]; internal peptidyl-lysine acetylation [GO:0018393]; internal protein amino acid acetylation [GO:0006475]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; learning or memory [GO:0007611]; lung development [GO:0030324]; megakaryocyte development [GO:0035855]; multicellular organism growth [GO:0035264]; N-terminal peptidyl-lysine acetylation [GO:0018076]; negative regulation of autophagy [GO:0010507]; negative regulation of brown fat cell differentiation [GO:1903444]; negative regulation of chromosome condensation [GO:1902340]; negative regulation of gluconeogenesis [GO:0045721]; negative regulation of protein oligomerization [GO:0032460]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nervous system development [GO:0007399]; peptidyl-lysine butyrylation [GO:0140067]; peptidyl-lysine crotonylation [GO:0140066]; peptidyl-lysine propionylation [GO:0061921]; platelet formation [GO:0030220]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of neuron projection development [GO:0010976]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of receptor signaling pathway via JAK-STAT [GO:0046427]; positive regulation of T-helper 17 cell lineage commitment [GO:2000330]; positive regulation of TORC1 signaling [GO:1904263]; positive regulation of TORC2 signaling [GO:1904515]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; protein acetylation [GO:0006473]; protein destabilization [GO:0031648]; protein stabilization [GO:0050821]; regulation of androgen receptor signaling pathway [GO:0060765]; regulation of autophagy [GO:0010506]; regulation of cellular response to heat [GO:1900034]; regulation of glycolytic process [GO:0006110]; regulation of mitochondrion organization [GO:0010821]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of tubulin deacetylation [GO:0090043]; response to estrogen [GO:0043627]; response to hypoxia [GO:0001666]; skeletal muscle tissue development [GO:0007519]; somitogenesis [GO:0001756]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; swimming [GO:0036268]; thigmotaxis [GO:0001966]; transcription initiation-coupled chromatin remodeling [GO:0045815]	41565034	62
Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	ENO1 ENO1L1 MBPB1 MPB1	canonical glycolysis [GO:0061621]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]; negative regulation of cell growth [GO:0030308]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway [GO:1903298]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of ATP biosynthetic process [GO:2001171]; positive regulation of muscle contraction [GO:0045933]; positive regulation of plasminogen activation [GO:0010756]; response to virus [GO:0009615]	41771848	79
Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6) (Viral integration site protein INT-6 homolog) (eIF-3 p48)	EIF3E EIF3S6 INT6	formation of cytoplasmic translation initiation complex [GO:0001732]; negative regulation of translational initiation [GO:0045947]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of translation [GO:0045727]; regulation of translational initiation [GO:0006446]; translational initiation [GO:0006413]	42268574	13
Early growth response protein 1 (EGR-1) (AT225) (Nerve growth factor-induced protein A) (NGFI-A) (Transcription factor ETR103) (Transcription factor Zif268) (Zinc finger protein 225) (Zinc finger protein Krox-24)	EGR1 KROX24 ZNF225	BMP signaling pathway [GO:0030509]; cellular response to gamma radiation [GO:0071480]; cellular response to heparin [GO:0071504]; cellular response to hypoxia [GO:0071456]; cellular response to interleukin-8 [GO:0098759]; cellular response to mycophenolic acid [GO:0071506]; circadian regulation of gene expression [GO:0032922]; circadian temperature homeostasis [GO:0060086]; estrous cycle [GO:0044849]; glomerular mesangial cell proliferation [GO:0072110]; interleukin-1-mediated signaling pathway [GO:0070498]; locomotor rhythm [GO:0045475]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of chemokine production [GO:0032722]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of gene expression [GO:0010628]; positive regulation of gene expression via chromosomal CpG island demethylation [GO:0044029]; positive regulation of glomerular metanephric mesangial cell proliferation [GO:0072303]; positive regulation of hormone biosynthetic process [GO:0046886]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of post-translational protein modification [GO:1901875]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of neuron apoptotic process [GO:0043523]; regulation of progesterone biosynthetic process [GO:2000182]; regulation of protein sumoylation [GO:0033233]; regulation of transcription by RNA polymerase II [GO:0006357]; response to glucose [GO:0009749]; response to hypoxia [GO:0001666]; response to insulin [GO:0032868]; response to ischemia [GO:0002931]; skeletal muscle cell differentiation [GO:0035914]; T cell differentiation [GO:0030217]	41254013	160
Prolyl hydroxylase EGLN3 (EC 1.14.11.-) (Egl nine homolog 3) (EC 1.14.11.29) (HPH-1) (Hypoxia-inducible factor prolyl hydroxylase 3) (HIF-PH3) (HIF-prolyl hydroxylase 3) (HPH-3) (Prolyl hydroxylase domain-containing protein 3) (PHD3)	EGLN3	apoptotic process [GO:0006915]; cellular response to hypoxia [GO:0071456]; DNA damage response [GO:0006974]; negative regulation of ferroptosis [GO:0110076]; protein hydroxylation [GO:0018126]; protein stabilization [GO:0050821]; regulation of neuron apoptotic process [GO:0043523]	41285222	80
Endothelin-1 receptor (Endothelin receptor type A) (ET-A) (ETA-R) (hET-AR)	EDNRA ETA ETRA	activation of adenylate cyclase activity [GO:0007190]; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; aorta development [GO:0035904]; artery smooth muscle contraction [GO:0014824]; atrial cardiac muscle tissue development [GO:0003228]; axon extension [GO:0048675]; axonogenesis involved in innervation [GO:0060385]; blood vessel remodeling [GO:0001974]; branching involved in blood vessel morphogenesis [GO:0001569]; calcium ion transmembrane transport [GO:0070588]; cAMP/PKA signal transduction [GO:0141156]; canonical Wnt signaling pathway [GO:0060070]; cardiac chamber formation [GO:0003207]; cardiac neural crest cell migration involved in outflow tract morphogenesis [GO:0003253]; cell population proliferation [GO:0008283]; cellular response to follicle-stimulating hormone stimulus [GO:0071372]; cellular response to human chorionic gonadotropin stimulus [GO:0044751]; cellular response to luteinizing hormone stimulus [GO:0071373]; cellular response to oxidative stress [GO:0034599]; cellular response to toxic substance [GO:0097237]; cranial skeletal system development [GO:1904888]; developmental pigmentation [GO:0048066]; embryonic heart tube development [GO:0035050]; embryonic skeletal system development [GO:0048706]; endothelin receptor signaling pathway [GO:0086100]; endothelin receptor signaling pathway involved in heart process [GO:0086101]; enteric nervous system development [GO:0048484]; establishment of endothelial barrier [GO:0061028]; face development [GO:0060324]; G protein-coupled receptor signaling pathway [GO:0007186]; gene expression [GO:0010467]; glomerular endothelium development [GO:0072011]; glomerular filtration [GO:0003094]; heparin proteoglycan metabolic process [GO:0030202]; in utero embryonic development [GO:0001701]; intracellular calcium ion homeostasis [GO:0006874]; left ventricular cardiac muscle tissue morphogenesis [GO:0003220]; meiotic cell cycle process involved in oocyte maturation [GO:1903537]; mesenchymal cell apoptotic process [GO:0097152]; middle ear morphogenesis [GO:0042474]; mitochondrion organization [GO:0007005]; mitotic cell cycle [GO:0000278]; neural crest cell fate commitment [GO:0014034]; neuromuscular process [GO:0050905]; neuron remodeling [GO:0016322]; noradrenergic neuron differentiation [GO:0003357]; norepinephrine metabolic process [GO:0042415]; pharyngeal arch artery morphogenesis [GO:0061626]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; podocyte apoptotic process [GO:1903210]; podocyte differentiation [GO:0072112]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cation channel activity [GO:2001259]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; protein transmembrane transport [GO:0071806]; regulation of blood pressure [GO:0008217]; regulation of D-glucose transmembrane transport [GO:0010827]; regulation of heart rate [GO:0002027]; regulation of protein localization to cell leading edge [GO:1905871]; renal albumin absorption [GO:0097018]; renal sodium ion absorption [GO:0070294]; respiratory gaseous exchange by respiratory system [GO:0007585]; response to acetylcholine [GO:1905144]; response to amphetamine [GO:0001975]; response to hypoxia [GO:0001666]; response to wounding [GO:0009611]; semaphorin-plexin signaling pathway involved in axon guidance [GO:1902287]; signal transduction [GO:0007165]; smooth muscle contraction [GO:0006939]; sodium ion homeostasis [GO:0055078]; sympathetic nervous system development [GO:0048485]; sympathetic neuron axon guidance [GO:0097492]; thyroid gland development [GO:0030878]; vascular associated smooth muscle cell development [GO:0097084]; vasoconstriction [GO:0042310]	41047038	7
Centrosomal protein of 192 kDa (Cep192) (Cep192/SPD-2)	CEP192 KIAA1569 PP8407	centriole replication [GO:0007099]; centrosome cycle [GO:0007098]; centrosome-templated microtubule nucleation [GO:0090222]; mitotic spindle assembly [GO:0090307]; protein localization to centrosome [GO:0071539]; response to bacterium [GO:0009617]	26644182	3
DNA damage-inducible transcript 4-like protein (HIF-1 responsive protein RTP801-like) (Protein regulated in development and DNA damage response 2) (REDD-2)	DDIT4L REDD2 RTP801L	negative regulation of signal transduction [GO:0009968]	38319716	6
N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 (DDAH-1) (Dimethylarginine dimethylaminohydrolase 1) (EC 3.5.3.18) (DDAHI) (Dimethylargininase-1)	DDAH1 DDAH	arginine metabolic process [GO:0006525]; citrulline metabolic process [GO:0000052]; L-arginine catabolic process [GO:0006527]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of cellular response to hypoxia [GO:1900038]; negative regulation of vascular permeability [GO:0043116]; nitric oxide mediated signal transduction [GO:0007263]; nitric oxide metabolic process [GO:0046209]; positive regulation of angiogenesis [GO:0045766]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; regulation of systemic arterial blood pressure [GO:0003073]	35644470	13
Cytoglobin (Histoglobin) (HGb) (Nitric oxygen dioxygenase CYGB) (NOD) (EC 1.14.12.-) (Nitrite reductase CYGB) (EC 1.7.-.-) (Pseudoperoxidase CYGB) (EC 1.11.1.-) (Stellate cell activation-associated protein) (Superoxide dismutase CYGB) (EC 1.15.1.1)	CYGB STAP	fatty acid oxidation [GO:0019395]; negative regulation of collagen biosynthetic process [GO:0032966]; negative regulation of fibroblast migration [GO:0010764]; negative regulation of hepatic stellate cell activation [GO:2000490]; nitric oxide catabolic process [GO:0046210]; nitric oxide metabolic process [GO:0046209]; oxygen transport [GO:0015671]; removal of superoxide radicals [GO:0019430]; response to hypoxia [GO:0001666]; response to oxidative stress [GO:0006979]	39107431	28
Cytochrome b5 (Microsomal cytochrome b5 type A) (MCB5)	CYB5A CYB5		40246926	2
CXXC-type zinc finger protein 5 (CF5) (Putative MAPK-activating protein PM08) (Putative NF-kappa-B-activating protein 102) (Retinoid-inducible nuclear factor) (RINF)	CXXC5 HSPC195 TCCCIA00297	negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; regulation of generation of precursor metabolites and energy [GO:0043467]	38642782	4
Alpha-crystallin B chain (Alpha(B)-crystallin) (Heat shock protein beta-5) (HspB5) (Heat shock protein family B member 5) (Renal carcinoma antigen NY-REN-27) (Rosenthal fiber component)	CRYAB CRYA2 HSPB5	apoptotic process involved in morphogenesis [GO:0060561]; cellular response to gamma radiation [GO:0071480]; glutathione metabolic process [GO:0006749]; lens development in camera-type eye [GO:0002088]; microtubule polymerization or depolymerization [GO:0031109]; muscle contraction [GO:0006936]; muscle organ development [GO:0007517]; negative regulation of amyloid fibril formation [GO:1905907]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell growth [GO:0030308]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]; negative regulation of intracellular transport [GO:0032387]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; protein folding [GO:0006457]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]; regulation of programmed cell death [GO:0043067]; response to estradiol [GO:0032355]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to hypoxia [GO:0001666]; stress-activated MAPK cascade [GO:0051403]; tubulin complex assembly [GO:0007021]	35686034	12
COMM domain-containing protein 1 (Protein Murr1)	COMMD1 C2orf5 MURR1	cholesterol homeostasis [GO:0042632]; copper ion homeostasis [GO:0055070]; Golgi to plasma membrane transport [GO:0006893]; low-density lipoprotein particle clearance [GO:0034383]; negative regulation of hypoxia-inducible factor-1alpha signaling pathway [GO:1902072]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of protein localization to cell surface [GO:2000009]; negative regulation of sodium ion transmembrane transport [GO:1902306]; nucleotide-excision repair [GO:0006289]; plasma membrane to endosome transport [GO:0048227]; positive regulation of cholesterol import [GO:1904109]; positive regulation of endosome to plasma membrane protein transport [GO:1905751]; positive regulation of protein localization to cell surface [GO:2000010]; positive regulation of protein ubiquitination [GO:0031398]; protein destabilization [GO:0031648]; protein localization to cell surface [GO:0034394]; protein transport [GO:0015031]; regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032434]	42156174	12
Cbp/p300-interacting transactivator 4 (MSG1-related protein 2) (MRG-2)	CITED4 MRG2	response to estrogen [GO:0043627]	41165859	6
Cbp/p300-interacting transactivator 2 (MSG-related protein 1) (MRG-1) (P35srj)	CITED2 MRG1	adrenal cortex formation [GO:0035802]; bone morphogenesis [GO:0060349]; cardiac neural crest cell development involved in heart development [GO:0061308]; cell population proliferation [GO:0008283]; cellular response to hypoxia [GO:0071456]; cellular senescence [GO:0090398]; central nervous system development [GO:0007417]; cranial nerve morphogenesis [GO:0021602]; decidualization [GO:0046697]; determination of left/right asymmetry in lateral mesoderm [GO:0003140]; determination of left/right symmetry [GO:0007368]; embryonic camera-type eye morphogenesis [GO:0048596]; embryonic heart tube left/right pattern formation [GO:0060971]; embryonic placenta development [GO:0001892]; embryonic process involved in female pregnancy [GO:0060136]; endocardial cushion development [GO:0003197]; erythrocyte development [GO:0048821]; granulocyte differentiation [GO:0030851]; heart development [GO:0007507]; heart looping [GO:0001947]; hematopoietic progenitor cell differentiation [GO:0002244]; left/right axis specification [GO:0070986]; left/right pattern formation [GO:0060972]; lens morphogenesis in camera-type eye [GO:0002089]; liver development [GO:0001889]; male gonad development [GO:0008584]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell migration [GO:0030336]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neural tube closure [GO:0001843]; nodal signaling pathway [GO:0038092]; outflow tract morphogenesis [GO:0003151]; peripheral nervous system development [GO:0007422]; positive regulation of cell cycle [GO:0045787]; positive regulation of cell-cell adhesion [GO:0022409]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of gene expression [GO:0010628]; positive regulation of male gonad development [GO:2000020]; positive regulation of peroxisome proliferator activated receptor signaling pathway [GO:0035360]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; pulmonary artery morphogenesis [GO:0061156]; regulation of animal organ formation [GO:0003156]; response to estrogen [GO:0043627]; response to fluid shear stress [GO:0034405]; response to hypoxia [GO:0001666]; response to mechanical stimulus [GO:0009612]; sex determination [GO:0007530]; skeletal muscle cell differentiation [GO:0035914]; spleen development [GO:0048536]; thymus development [GO:0048538]; transforming growth factor beta receptor signaling pathway [GO:0007179]; trophectodermal cell differentiation [GO:0001829]; uterus development [GO:0060065]; vasculogenesis [GO:0001570]; ventricular septum morphogenesis [GO:0060412]	42142783	52
Cold-inducible RNA-binding protein (A18 hnRNP) (Glycine-rich RNA-binding protein CIRP)	CIRBP A18HNRNP CIRP	mRNA stabilization [GO:0048255]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; positive regulation of translation [GO:0045727]; response to cold [GO:0009409]; response to UV [GO:0009411]; stress granule assembly [GO:0034063]	40441335	13
Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 (EC 1.14.11.4) (Lysyl hydroxylase 1) (LH1)	PLOD1 LLH PLOD	collagen biosynthetic process [GO:0032964]; collagen fibril organization [GO:0030199]; epidermis development [GO:0008544]; hydroxylysine biosynthetic process [GO:0046947]; response to hypoxia [GO:0001666]	40088025	9
E3 ubiquitin-protein ligase ZNRF2 (EC 2.3.2.27) (Protein Ells2) (RING finger protein 202) (RING-type E3 ubiquitin transferase ZNRF2) (Zinc/RING finger protein 2)	ZNRF2 RNF202	positive regulation of autophagosome-lysosome fusion [GO:0160177]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936]	40402410	6
Recombining binding protein suppressor of hairless (CBF-1) (J kappa-recombination signal-binding protein) (RBP-J kappa) (RBP-J) (RBP-JK) (Renal carcinoma antigen NY-REN-30)	RBPJ IGKJRB IGKJRB1 RBPJK RBPSUH	angiogenesis [GO:0001525]; aortic valve development [GO:0003176]; arterial endothelial cell fate commitment [GO:0060844]; atrioventricular canal development [GO:0036302]; auditory receptor cell fate commitment [GO:0009912]; B cell differentiation [GO:0030183]; blood vessel endothelial cell fate specification [GO:0097101]; blood vessel lumenization [GO:0072554]; blood vessel remodeling [GO:0001974]; cardiac left ventricle morphogenesis [GO:0003214]; cardiac muscle cell fate commitment [GO:0060923]; cardiac muscle cell myoblast differentiation [GO:0060379]; club cell differentiation [GO:0060486]; defense response to bacterium [GO:0042742]; dorsal aorta morphogenesis [GO:0035912]; endocardium morphogenesis [GO:0003160]; epidermal cell fate specification [GO:0009957]; epithelial cell proliferation [GO:0050673]; epithelial to mesenchymal transition [GO:0001837]; epithelial to mesenchymal transition involved in endocardial cushion formation [GO:0003198]; hair follicle maturation [GO:0048820]; heart development [GO:0007507]; humoral immune response [GO:0006959]; inflammatory response to antigenic stimulus [GO:0002437]; keratinocyte differentiation [GO:0030216]; labyrinthine layer blood vessel development [GO:0060716]; myeloid dendritic cell differentiation [GO:0043011]; negative regulation of cell differentiation [GO:0045596]; negative regulation of cold-induced thermogenesis [GO:0120163]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of ossification [GO:0030279]; negative regulation of stem cell proliferation [GO:2000647]; negative regulation of transcription by RNA polymerase II [GO:0000122]; Notch signaling pathway [GO:0007219]; outflow tract morphogenesis [GO:0003151]; pituitary gland development [GO:0021983]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cardiac muscle cell proliferation [GO:0060045]; positive regulation of cell proliferation involved in heart morphogenesis [GO:2000138]; positive regulation of ephrin receptor signaling pathway [GO:1901189]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of ERBB signaling pathway [GO:1901186]; positive regulation of gene expression [GO:0010628]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription of Notch receptor target [GO:0007221]; pulmonary valve development [GO:0003177]; regulation of cell adhesion involved in heart morphogenesis [GO:0061344]; regulation of generation of precursor metabolites and energy [GO:0043467]; regulation of timing of cell differentiation [GO:0048505]; regulation of transcription by RNA polymerase II [GO:0006357]; sebaceous gland development [GO:0048733]; secondary heart field specification [GO:0003139]; somatic stem cell population maintenance [GO:0035019]; somitogenesis [GO:0001756]; stem cell proliferation [GO:0072089]; ventricular septum morphogenesis [GO:0060412]; ventricular trabecula myocardium morphogenesis [GO:0003222]	39222906	18
26S proteasome regulatory subunit 7 (26S proteasome AAA-ATPase subunit RPT1) (Proteasome 26S subunit ATPase 2)	PSMC2 MSS1	osteoblast differentiation [GO:0001649]; positive regulation of proteasomal protein catabolic process [GO:1901800]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; ubiquitin-dependent protein catabolic process [GO:0006511]	38569452	2
Ubiquitin C-terminal hydrolase PSMD14 (EC 3.4.19.12) (26S proteasome non-ATPase regulatory subunit 14) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)	PSMD14 POH1	double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via nonhomologous end joining [GO:0006303]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; protein K63-linked deubiquitination [GO:0070536]; regulation of proteasomal protein catabolic process [GO:0061136]; response to ethanol [GO:0045471]; ubiquitin-dependent protein catabolic process [GO:0006511]	41488674	6
Ubiquitin-ribosomal protein eS31 fusion protein (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; Small ribosomal subunit protein eS31 (40S ribosomal protein S27a)]	RPS27A UBA80 UBCEP1	cytoplasmic translation [GO:0002181]; modification-dependent protein catabolic process [GO:0019941]; protein ubiquitination [GO:0016567]; translation [GO:0006412]	37537976	2
Proteasome subunit beta type-2 (Macropain subunit C7-I) (Multicatalytic endopeptidase complex subunit C7-I) (Proteasome component C7-I) (Proteasome subunit beta-4) (beta-4)	PSMB2	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	40143635	2
26S proteasome regulatory subunit 6B (26S proteasome AAA-ATPase subunit RPT3) (MB67-interacting protein) (MIP224) (Proteasome 26S subunit ATPase 4) (Tat-binding protein 7) (TBP-7)	PSMC4 MIP224 TBP7	blastocyst development [GO:0001824]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; proteolysis [GO:0006508]	37436074	2
Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1) (Protein phosphatase myosin-binding subunit)	PPP1R12A MBS MYPT1	cellular response to xenobiotic stimulus [GO:0071466]; centrosome cycle [GO:0007098]; mitotic cell cycle [GO:0000278]; negative regulation of catalytic activity [GO:0043086]; neuron projection morphogenesis [GO:0048812]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein dephosphorylation [GO:0006470]; regulation of cell adhesion [GO:0030155]; regulation of nucleocytoplasmic transport [GO:0046822]; signal transduction [GO:0007165]	24972320	2
Prostacyclin synthase (EC 5.3.99.4) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152) (Prostaglandin I2 synthase)	PTGIS CYP8 CYP8A1	apoptotic signaling pathway [GO:0097190]; cellular response to hypoxia [GO:0071456]; cellular response to interleukin-1 [GO:0071347]; cellular response to interleukin-6 [GO:0071354]; cyclooxygenase pathway [GO:0019371]; decidualization [GO:0046697]; embryo implantation [GO:0007566]; icosanoid metabolic process [GO:0006690]; negative regulation of inflammatory response [GO:0050728]; negative regulation of nitric oxide biosynthetic process [GO:0045019]; positive regulation of angiogenesis [GO:0045766]; positive regulation of execution phase of apoptosis [GO:1900119]; positive regulation of peroxisome proliferator activated receptor signaling pathway [GO:0035360]; prostaglandin biosynthetic process [GO:0001516]; prostanoid biosynthetic process [GO:0046457]	30315244	9
E3 ubiquitin-protein ligase RNF4 (EC 2.3.2.27) (RING finger protein 4) (Small nuclear ring finger protein) (Protein SNURF)	RNF4 SNURF RES4-26	negative regulation of protein localization to chromatin [GO:0120186]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein K11-linked ubiquitination [GO:0070979]; protein K48-linked ubiquitination [GO:0070936]; protein K6-linked ubiquitination [GO:0085020]; protein K63-linked ubiquitination [GO:0070534]; regulation of kinetochore assembly [GO:0090234]; regulation of spindle assembly [GO:0090169]; response to arsenic-containing substance [GO:0046685]	40739771	4
Proteasome subunit alpha type-4 (Macropain subunit C9) (Multicatalytic endopeptidase complex subunit C9) (Proteasome component C9) (Proteasome subunit L) (Proteasome subunit alpha-3) (alpha-3)	PSMA4 HC9 PSC9	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	39755751	1
Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)	PPP1CA PPP1A	branching morphogenesis of an epithelial tube [GO:0048754]; cell division [GO:0051301]; circadian regulation of gene expression [GO:0032922]; entrainment of circadian clock by photoperiod [GO:0043153]; glycogen metabolic process [GO:0005977]; lung development [GO:0030324]; negative regulation of transcription elongation by RNA polymerase II [GO:0034244]; positive regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001241]; positive regulation of glycogen biosynthetic process [GO:0045725]; positive regulation of termination of RNA polymerase II transcription, poly(A)-coupled [GO:2000806]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; protein dephosphorylation [GO:0006470]; protein stabilization [GO:0050821]; regulation of canonical Wnt signaling pathway [GO:0060828]; regulation of circadian rhythm [GO:0042752]; regulation of glycogen catabolic process [GO:0005981]; regulation of translational initiation in response to stress [GO:0043558]; response to lead ion [GO:0010288]; RNA polymerase II promoter clearance [GO:0001111]; telomere maintenance in response to DNA damage [GO:0043247]	38360682	5
Semaphorin-4B (Semaphorin-C)	SEMA4B KIAA1745 SEMAC UNQ749/PRO1480	axon guidance [GO:0007411]; negative chemotaxis [GO:0050919]; neural crest cell migration [GO:0001755]; positive regulation of cell migration [GO:0030335]; semaphorin-plexin signaling pathway [GO:0071526]	24474252	1
