Molecule-Related Stress		
This table was generated by retriving a list of proteins related to Caspases, Ferroptosis, Pore-formers, Cuproptosis, Pathanatos, and Anoikis found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
Transcriptional repressor protein YY1 (Delta transcription factor) (INO80 complex subunit S) (NF-E1) (Yin and yang 1) (YY-1)	YY1 INO80S	anterior/posterior pattern specification [GO:0009952]; B cell differentiation [GO:0030183]; camera-type eye morphogenesis [GO:0048593]; cellular response to interleukin-1 [GO:0071347]; cellular response to UV [GO:0034644]; chromatin remodeling [GO:0006338]; DNA damage response [GO:0006974]; double-strand break repair via homologous recombination [GO:0000724]; immunoglobulin heavy chain V-D-J recombination [GO:0071707]; negative regulation of cell growth involved in cardiac muscle cell development [GO:0061052]; negative regulation of gene expression [GO:0010629]; negative regulation of interferon-beta production [GO:0032688]; negative regulation of miRNA transcription [GO:1902894]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of DNA repair [GO:0045739]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of gene expression [GO:0010628]; positive regulation of telomere maintenance in response to DNA damage [GO:1904507]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell cycle [GO:0051726]; regulation of chromosome organization [GO:0033044]; regulation of DNA repair [GO:0006282]; regulation of DNA replication [GO:0006275]; regulation of DNA strand elongation [GO:0060382]; regulation of embryonic development [GO:0045995]; regulation of transcription by RNA polymerase II [GO:0006357]; response to prostaglandin F [GO:0034696]; response to UV-C [GO:0010225]; RNA localization [GO:0006403]; spermatogenesis [GO:0007283]; telomere maintenance [GO:0000723]
Palmitoyltransferase ZDHHC17 (EC 2.3.1.225) (Acyltransferase ZDHHC17) (EC 2.3.1.-) (DHHC domain-containing cysteine-rich protein 17) (DHHC17) (Huntingtin yeast partner H) (Huntingtin-interacting protein 14) (HIP-14) (Huntingtin-interacting protein 3) (HIP-3) (Huntingtin-interacting protein H) (Putative MAPK-activating protein PM11) (Putative NF-kappa-B-activating protein 205) (Zinc finger DHHC domain-containing protein 17)	ZDHHC17 HIP14 HIP3 HYPH KIAA0946 HSPC294	axonogenesis [GO:0007409]; lipoprotein transport [GO:0042953]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; protein palmitoylation [GO:0018345]; regulation of ERK1 and ERK2 cascade [GO:0070372]; regulation of modification of synapse structure, modulating synaptic transmission [GO:0098987]; regulation of neurotrophin TRK receptor signaling pathway [GO:0051386]; regulation of programmed cell death [GO:0043067]
Protein zer-1 homolog (Hzyg) (Zyg-11 homolog B-like protein) (Zyg11b-like protein)	ZER1 C9orf60 ZYG ZYG11BL	positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]
ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (ACL) (Citrate cleavage enzyme)	ACLY	acetyl-CoA biosynthetic process [GO:0006085]; cholesterol biosynthetic process [GO:0006695]; citrate metabolic process [GO:0006101]; coenzyme A metabolic process [GO:0015936]; fatty acid biosynthetic process [GO:0006633]; lipid biosynthetic process [GO:0008610]; negative regulation of ferroptosis [GO:0110076]; oxaloacetate metabolic process [GO:0006107]
Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 4) (LACS 4)	ACSL4 ACS4 FACL4 LACS4	alpha-linolenic acid metabolic process [GO:0036109]; embryonic process involved in female pregnancy [GO:0060136]; fatty acid metabolic process [GO:0006631]; lipid biosynthetic process [GO:0008610]; lipid metabolic process [GO:0006629]; long-chain fatty acid biosynthetic process [GO:0042759]; long-chain fatty acid metabolic process [GO:0001676]; long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]; long-chain fatty-acyl-CoA metabolic process [GO:0035336]; negative regulation of prostaglandin secretion [GO:0032307]; neuron differentiation [GO:0030182]; positive regulation of cell growth [GO:0030307]; positive regulation of ferroptosis [GO:0160020]; positive regulation of insulin secretion [GO:0032024]; unsaturated fatty acid biosynthetic process [GO:0006636]
Ferroptosis suppressor protein 1 (FSP1) (EC 1.6.5.-) (Apoptosis-inducing factor homologous mitochondrion-associated inducer of death) (AMID) (p53-responsive gene 3 protein)	AIFM2 AMID PRG3	apoptotic mitochondrial changes [GO:0008637]; cellular detoxification [GO:1990748]; negative regulation of ferroptosis [GO:0110076]; positive regulation of apoptotic process [GO:0043065]; regulation of cellular response to oxidative stress [GO:1900407]; ubiquinone metabolic process [GO:0006743]; vitamin K metabolic process [GO:0042373]
Alpha-aminoadipic semialdehyde dehydrogenase (Alpha-AASA dehydrogenase) (EC 1.2.1.31) (Aldehyde dehydrogenase family 7 member A1) (EC 1.2.1.3) (Antiquitin-1) (Betaine aldehyde dehydrogenase) (EC 1.2.1.8) (Delta1-piperideine-6-carboxylate dehydrogenase) (P6c dehydrogenase)	ALDH7A1 ATQ1	aldehyde metabolic process [GO:0006081]; choline catabolic process [GO:0042426]; endosome to lysosome transport [GO:0008333]; energy homeostasis [GO:0097009]; glycine betaine biosynthetic process from choline [GO:0019285]; Golgi to endosome transport [GO:0006895]; L-lysine catabolic process [GO:0019477]; lysine catabolic process [GO:0006554]; negative regulation of endosome to plasma membrane protein transport [GO:1905750]; negative regulation of ferroptosis [GO:0110076]; negative regulation of Golgi to plasma membrane protein transport [GO:0042997]; plasma membrane to endosome transport [GO:0048227]; sensory perception of sound [GO:0007605]
Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha) (EC 2.7.11.17)	CAMK2A CAMKA KIAA0968	angiotensin-activated signaling pathway [GO:0038166]; calcium ion transport [GO:0006816]; cellular response to interferon-beta [GO:0035458]; cellular response to type II interferon [GO:0071346]; dendritic spine development [GO:0060996]; G1/S transition of mitotic cell cycle [GO:0000082]; long-term synaptic potentiation [GO:0060291]; negative regulation of ferroptosis [GO:0110076]; negative regulation of hydrolase activity [GO:0051346]; peptidyl-threonine autophosphorylation [GO:1990443]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of receptor signaling pathway via JAK-STAT [GO:0046427]; protein phosphorylation [GO:0006468]; regulation of endocannabinoid signaling pathway [GO:2000124]; regulation of mitochondrial membrane permeability involved in apoptotic process [GO:1902108]; regulation of neuron migration [GO:2001222]; regulation of neuronal synaptic plasticity [GO:0048168]; regulation of neurotransmitter secretion [GO:0046928]; regulation of protein localization to plasma membrane [GO:1903076]; response to ischemia [GO:0002931]
CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)	CD44 LHR MDU2 MDU3 MIC4	cartilage development [GO:0051216]; cell adhesion [GO:0007155]; cell migration [GO:0016477]; cell-cell adhesion [GO:0098609]; cell-matrix adhesion [GO:0007160]; cellular response to fibroblast growth factor stimulus [GO:0044344]; cytokine-mediated signaling pathway [GO:0019221]; endocytosis [GO:0006897]; hyaluronan catabolic process [GO:0030214]; inflammatory response [GO:0006954]; monocyte aggregation [GO:0070487]; negative regulation of apoptotic process [GO:0043066]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902166]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of heterotypic cell-cell adhesion [GO:0034116]; positive regulation of monocyte aggregation [GO:1900625]; regulation of lamellipodium morphogenesis [GO:2000392]; T cell activation [GO:0042110]; wound healing, spreading of cells [GO:0044319]
7-dehydrocholesterol reductase (7-DHC reductase) (EC 1.3.1.21) (Cholesterol-5,6-epoxide hydrolase subunit DHCR7) (EC 3.3.2.11) (Delta7-sterol reductase) (Sterol Delta(7)-reductase) (Sterol reductase SR-2)	DHCR7 D7SR	cholesterol biosynthetic process [GO:0006695]; cholesterol biosynthetic process via desmosterol [GO:0033489]; cholesterol biosynthetic process via lathosterol [GO:0033490]; positive regulation of ferroptosis [GO:0160020]
Prolyl hydroxylase EGLN3 (EC 1.14.11.-) (Egl nine homolog 3) (EC 1.14.11.29) (HPH-1) (Hypoxia-inducible factor prolyl hydroxylase 3) (HIF-PH3) (HIF-prolyl hydroxylase 3) (HPH-3) (Prolyl hydroxylase domain-containing protein 3) (PHD3)	EGLN3	apoptotic process [GO:0006915]; cellular response to hypoxia [GO:0071456]; DNA damage response [GO:0006974]; negative regulation of ferroptosis [GO:0110076]; protein hydroxylation [GO:0018126]; protein stabilization [GO:0050821]; regulation of neuron apoptotic process [GO:0043523]
Ferritin heavy chain (Ferritin H subunit) (EC 1.16.3.1) (Cell proliferation-inducing gene 15 protein) [Cleaved into: Ferritin heavy chain, N-terminally processed]	FTH1 FTH FTHL6 OK/SW-cl.84 PIG15	immune response [GO:0006955]; intracellular iron ion homeostasis [GO:0006879]; iron ion transport [GO:0006826]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of ferroptosis [GO:0110076]; negative regulation of fibroblast proliferation [GO:0048147]
Phospholipid hydroperoxide glutathione peroxidase GPX4 (PHGPx) (EC 1.11.1.12) (Glutathione peroxidase 4) (GPx-4) (GSHPx-4) (EC 1.11.1.9)	GPX4	apoptotic process [GO:0006915]; arachidonate metabolic process [GO:0019369]; cerebellum development [GO:0021549]; chromatin organization [GO:0006325]; dendrite development [GO:0016358]; lipoxygenase pathway [GO:0019372]; long-chain fatty acid biosynthetic process [GO:0042759]; multicellular organism growth [GO:0035264]; negative regulation of ferroptosis [GO:0110076]; phospholipid metabolic process [GO:0006644]; protein polymerization [GO:0051258]; response to estradiol [GO:0032355]; response to lipopolysaccharide [GO:0032496]; response to oxidative stress [GO:0006979]; spermatogenesis [GO:0007283]
Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1)	GSTP1 FAEES3 GST3	animal organ regeneration [GO:0031100]; cellular response to cell-matrix adhesion [GO:0071460]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to insulin stimulus [GO:0032869]; cellular response to lipopolysaccharide [GO:0071222]; central nervous system development [GO:0007417]; common myeloid progenitor cell proliferation [GO:0035726]; glutathione derivative biosynthetic process [GO:1901687]; glutathione metabolic process [GO:0006749]; hepoxilin biosynthetic process [GO:0051122]; linoleic acid metabolic process [GO:0043651]; negative regulation of acute inflammatory response [GO:0002674]; negative regulation of apoptotic process [GO:0043066]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of ferroptosis [GO:0110076]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of interleukin-1 beta production [GO:0032691]; negative regulation of JNK cascade [GO:0046329]; negative regulation of leukocyte proliferation [GO:0070664]; negative regulation of MAPK cascade [GO:0043409]; negative regulation of monocyte chemotactic protein-1 production [GO:0071638]; negative regulation of smooth muscle cell chemotaxis [GO:0071672]; negative regulation of stress-activated MAPK cascade [GO:0032873]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of tumor necrosis factor production [GO:0032720]; negative regulation of tumor necrosis factor-mediated signaling pathway [GO:0010804]; negative regulation of vascular associated smooth muscle cell proliferation [GO:1904706]; nitric oxide storage [GO:0035732]; oligodendrocyte development [GO:0014003]; positive regulation of superoxide anion generation [GO:0032930]; prostaglandin metabolic process [GO:0006693]; regulation of ERK1 and ERK2 cascade [GO:0070372]; regulation of stress-activated MAPK cascade [GO:0032872]; response to amino acid [GO:0043200]; response to estradiol [GO:0032355]; response to ethanol [GO:0045471]; response to L-ascorbic acid [GO:0033591]; response to reactive oxygen species [GO:0000302]; xenobiotic metabolic process [GO:0006805]
Histone deacetylase 3 (HD3) (EC 3.5.1.98) (Protein deacetylase HDAC3) (EC 3.5.1.-) (Protein deacylase HDAC3) (EC 3.5.1.-) (RPD3-2) (SMAP45)	HDAC3	cellular response to fluid shear stress [GO:0071498]; cellular response to mechanical stimulus [GO:0071260]; cellular response to parathyroid hormone stimulus [GO:0071374]; chromatin organization [GO:0006325]; circadian regulation of gene expression [GO:0032922]; cornified envelope assembly [GO:1903575]; DNA repair-dependent chromatin remodeling [GO:0140861]; epigenetic regulation of gene expression [GO:0040029]; establishment of mitotic spindle orientation [GO:0000132]; establishment of skin barrier [GO:0061436]; in utero embryonic development [GO:0001701]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cardiac muscle cell differentiation [GO:2000726]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of interleukin-1 production [GO:0032692]; negative regulation of JNK cascade [GO:0046329]; negative regulation of protein export from nucleus [GO:0046826]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of tumor necrosis factor production [GO:0032720]; neural precursor cell proliferation [GO:0061351]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of ferroptosis [GO:0160020]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of TOR signaling [GO:0032008]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of type B pancreatic cell apoptotic process [GO:2000676]; protein deacetylation [GO:0006476]; random inactivation of X chromosome [GO:0060816]; regulation of circadian rhythm [GO:0042752]; regulation of mitotic cell cycle [GO:0007346]; regulation of multicellular organism growth [GO:0040014]; regulation of protein stability [GO:0031647]; response to dexamethasone [GO:0071548]; response to nutrient levels [GO:0031667]; response to xenobiotic stimulus [GO:0009410]; spindle assembly [GO:0051225]; transcription by RNA polymerase II [GO:0006366]
Heme oxygenase 1 (HO-1) (EC 1.14.14.18) [Cleaved into: Heme oxygenase 1 soluble form]	HMOX1 HO HO1	angiogenesis [GO:0001525]; cellular response to arsenic-containing substance [GO:0071243]; cellular response to cadmium ion [GO:0071276]; cellular response to cisplatin [GO:0072719]; cellular response to heat [GO:0034605]; endothelial cell proliferation [GO:0001935]; epithelial cell apoptotic process [GO:1904019]; erythrocyte differentiation [GO:0030218]; erythrocyte homeostasis [GO:0034101]; heme catabolic process [GO:0042167]; heme oxidation [GO:0006788]; intracellular iron ion homeostasis [GO:0006879]; intracellular signal transduction [GO:0035556]; low-density lipoprotein particle clearance [GO:0034383]; macroautophagy [GO:0016236]; multicellular organismal-level iron ion homeostasis [GO:0060586]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; negative regulation of ferroptosis [GO:0110076]; negative regulation of leukocyte migration [GO:0002686]; negative regulation of macroautophagy [GO:0016242]; negative regulation of smooth muscle cell proliferation [GO:0048662]; positive regulation of angiogenesis [GO:0045766]; positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis [GO:1903589]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]; positive regulation of chemokine production [GO:0032722]; positive regulation of epithelial cell apoptotic process [GO:1904037]; positive regulation of macroautophagy [GO:0016239]; positive regulation of smooth muscle cell proliferation [GO:0048661]; regulation of angiogenesis [GO:0045765]; regulation of transcription by RNA polymerase II [GO:0006357]; response to hydrogen peroxide [GO:0042542]; response to nicotine [GO:0035094]; response to oxidative stress [GO:0006979]; smooth muscle hyperplasia [GO:0014806]; wound healing involved in inflammatory response [GO:0002246]
Histone acetyltransferase KAT2B (EC 2.3.1.48) (Histone acetyltransferase PCAF) (Histone acetylase PCAF) (Lysine acetyltransferase 2B) (P300/CBP-associated factor) (P/CAF) (Spermidine acetyltransferase KAT2B) (EC 2.3.1.57)	KAT2B PCAF	cellular response to insulin stimulus [GO:0032869]; cellular response to oxidative stress [GO:0034599]; cellular response to parathyroid hormone stimulus [GO:0071374]; chromatin remodeling [GO:0006338]; gluconeogenesis [GO:0006094]; heart development [GO:0007507]; internal peptidyl-lysine acetylation [GO:0018393]; limb development [GO:0060173]; memory [GO:0007613]; N-terminal peptidyl-lysine acetylation [GO:0018076]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of centriole replication [GO:0046600]; negative regulation of ferroptosis [GO:0110076]; negative regulation of rRNA processing [GO:2000233]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of attachment of mitotic spindle microtubules to kinetochore [GO:1902425]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of fatty acid biosynthetic process [GO:0045723]; positive regulation of gluconeogenesis [GO:0045722]; positive regulation of glycolytic process [GO:0045821]; positive regulation of neuron projection development [GO:0010976]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter by glucose [GO:0000432]; protein acetylation [GO:0006473]; regulation of cell cycle [GO:0051726]; regulation of cell division [GO:0051302]; regulation of DNA repair [GO:0006282]; regulation of DNA-templated transcription [GO:0006355]; regulation of embryonic development [GO:0045995]; regulation of RNA splicing [GO:0043484]; regulation of transcription by RNA polymerase II [GO:0006357]; rhythmic process [GO:0048511]; transcription initiation-coupled chromatin remodeling [GO:0045815]; vasodilation [GO:0042311]
Lysosome-associated membrane glycoprotein 2 (LAMP-2) (Lysosome-associated membrane protein 2) (CD107 antigen-like family member B) (LGP-96) (CD antigen CD107b)	LAMP2	autophagosome maturation [GO:0097352]; cellular response to starvation [GO:0009267]; chaperone-mediated autophagy [GO:0061684]; lysosomal lumen acidification [GO:0007042]; lysosomal protein catabolic process [GO:1905146]; muscle cell cellular homeostasis [GO:0046716]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of protein-containing complex assembly [GO:0031333]; positive regulation of ferroptosis [GO:0160020]; protein catabolic process [GO:0030163]; protein import [GO:0017038]; protein stabilization [GO:0050821]; protein targeting [GO:0006605]; protein targeting to lysosome involved in chaperone-mediated autophagy [GO:0061740]; regulation of protein stability [GO:0031647]
Galactoside-binding soluble lectin 13 (Galectin-13) (Gal-13) (Placental tissue protein 13) (PP13) (Placental protein 13)	LGALS13 PLAC8	apoptotic process [GO:0006915]; negative regulation of protein localization to plasma membrane [GO:1903077]; phospholipid metabolic process [GO:0006644]; positive regulation of ferroptosis [GO:0160020]
E3 ubiquitin-protein ligase MARCHF6 (EC 2.3.2.27) (Doa10 homolog) (Membrane-associated RING finger protein 6) (Membrane-associated RING-CH protein VI) (MARCH-VI) (Protein TEB-4) (RING finger protein 176) (RING-type E3 ubiquitin transferase MARCHF6)	MARCHF6 KIAA0597 MARCH6 RNF176 TEB4	endoplasmic reticulum mannose trimming [GO:1904380]; ERAD pathway [GO:0036503]; negative regulation of cholesterol biosynthetic process [GO:0045541]; proteasomal protein catabolic process [GO:0010498]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936]; protein ubiquitination [GO:0016567]
Nuclear factor erythroid 2-related factor 2 (NF-E2-related factor 2) (NFE2-related factor 2) (Nrf-2) (Nuclear factor, erythroid derived 2, like 2)	NFE2L2 NRF2	aflatoxin catabolic process [GO:0046223]; cell redox homeostasis [GO:0045454]; cellular response to angiotensin [GO:1904385]; cellular response to copper ion [GO:0071280]; cellular response to fluid shear stress [GO:0071498]; cellular response to glucose starvation [GO:0042149]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to hypoxia [GO:0071456]; cellular response to laminar fluid shear stress [GO:0071499]; cellular response to methionine [GO:0061431]; cellular response to oxidative stress [GO:0034599]; cellular response to tumor necrosis factor [GO:0071356]; cellular response to xenobiotic stimulus [GO:0071466]; digestive tract development [GO:0048565]; endoplasmic reticulum unfolded protein response [GO:0030968]; gene expression [GO:0010467]; inflammatory response [GO:0006954]; integrated stress response signaling [GO:0140467]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of cellular response to hypoxia [GO:1900038]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of ferroptosis [GO:0110076]; negative regulation of hematopoietic stem cell differentiation [GO:1902037]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of vascular associated smooth muscle cell migration [GO:1904753]; PERK-mediated unfolded protein response [GO:0036499]; positive regulation of angiogenesis [GO:0045766]; positive regulation of blood coagulation [GO:0030194]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of D-glucose import [GO:0046326]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of ERAD pathway [GO:1904294]; positive regulation of gene expression [GO:0010628]; positive regulation of glutathione biosynthetic process [GO:1903788]; positive regulation of neuron projection development [GO:0010976]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of ubiquitin-dependent protein catabolic process [GO:2000060]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; reactive oxygen species metabolic process [GO:0072593]; regulation of cellular response to oxidative stress [GO:1900407]; regulation of embryonic development [GO:0045995]; regulation of innate immune response [GO:0045088]; regulation of removal of superoxide radicals [GO:2000121]; regulation of transcription by RNA polymerase II [GO:0006357]; response to caloric restriction [GO:0061771]; response to ischemia [GO:0002931]; response to oxidative stress [GO:0006979]; response to sodium arsenite [GO:1903935]; T cell differentiation [GO:0030217]
NAD(P)H dehydrogenase [quinone] 1 (EC 1.6.5.2) (Azoreductase) (DT-diaphorase) (DTD) (Menadione reductase) (NAD(P)H:quinone oxidoreductase 1) (Phylloquinone reductase) (Quinone reductase 1) (QR1)	NQO1 DIA4 NMOR1	cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; innate immune response [GO:0045087]; negative regulation of ferroptosis [GO:0110076]; negative regulation of protein catabolic process [GO:0042177]; nitric oxide biosynthetic process [GO:0006809]; protein catabolic process [GO:0030163]; protein polyubiquitination [GO:0000209]; removal of superoxide radicals [GO:0019430]; response to caloric restriction [GO:0061771]; response to lipopolysaccharide [GO:0032496]; response to oxidative stress [GO:0006979]; response to toxic substance [GO:0009636]; synaptic transmission, cholinergic [GO:0007271]; ubiquinone metabolic process [GO:0006743]; vitamin E metabolic process [GO:0042360]; vitamin K metabolic process [GO:0042373]; xenobiotic metabolic process [GO:0006805]
Phosphoenolpyruvate carboxykinase [GTP], mitochondrial (PEPCK-M) (EC 4.1.1.32) (Phosphoenolpyruvate carboxykinase 2, mitochondrial) (mtPCK2) (Serine/threonine-protein kinase PCK2) (EC 2.7.11.-)	PCK2 PEPCK2	cellular response to dexamethasone stimulus [GO:0071549]; cellular response to glucose stimulus [GO:0071333]; cellular response to insulin stimulus [GO:0032869]; cellular response to tumor necrosis factor [GO:0071356]; gluconeogenesis [GO:0006094]; glycerol biosynthetic process from pyruvate [GO:0046327]; hepatocyte differentiation [GO:0070365]; oxaloacetate metabolic process [GO:0006107]; positive regulation of ferroptosis [GO:0160020]; positive regulation of insulin secretion [GO:0032024]; propionate catabolic process [GO:0019543]; pyruvate biosynthetic process [GO:0042866]; response to lipopolysaccharide [GO:0032496]; response to starvation [GO:0042594]
5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26)	PRKAA1 AMPK1	autophagy [GO:0006914]; CAMKK-AMPK signaling cascade [GO:0061762]; cellular response to calcium ion [GO:0071277]; cellular response to ethanol [GO:0071361]; cellular response to glucose starvation [GO:0042149]; cellular response to glucose stimulus [GO:0071333]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to hypoxia [GO:0071456]; cellular response to nutrient levels [GO:0031669]; cellular response to oxidative stress [GO:0034599]; cellular response to prostaglandin E stimulus [GO:0071380]; cellular response to starvation [GO:0009267]; cellular response to stress [GO:0033554]; cellular response to xenobiotic stimulus [GO:0071466]; cholesterol biosynthetic process [GO:0006695]; cold acclimation [GO:0009631]; energy homeostasis [GO:0097009]; fatty acid biosynthetic process [GO:0006633]; fatty acid homeostasis [GO:0055089]; fatty acid oxidation [GO:0019395]; glucose homeostasis [GO:0042593]; glucose metabolic process [GO:0006006]; lipid biosynthetic process [GO:0008610]; lipid droplet disassembly [GO:1905691]; motor behavior [GO:0061744]; negative regulation of apoptotic process [GO:0043066]; negative regulation of ferroptosis [GO:0110076]; negative regulation of gene expression [GO:0010629]; negative regulation of glucosylceramide biosynthetic process [GO:0046318]; negative regulation of hepatocyte apoptotic process [GO:1903944]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of lipid catabolic process [GO:0050995]; negative regulation of TOR signaling [GO:0032007]; negative regulation of TORC1 signaling [GO:1904262]; negative regulation of tubulin deacetylation [GO:1904428]; neuron cellular homeostasis [GO:0070050]; positive regulation of adipose tissue development [GO:1904179]; positive regulation of autophagy [GO:0010508]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cholesterol biosynthetic process [GO:0045542]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of gene expression [GO:0010628]; positive regulation of glycolytic process [GO:0045821]; positive regulation of mitochondrial transcription [GO:1903109]; positive regulation of protein localization [GO:1903829]; positive regulation of protein targeting to mitochondrion [GO:1903955]; positive regulation of skeletal muscle tissue development [GO:0048643]; positive regulation of T cell activation [GO:0050870]; positive regulation of T cell mediated immune response to tumor cell [GO:0002842]; protein localization to lipid droplet [GO:1990044]; protein localization to membrane [GO:0072657]; protein localization to plasma membrane [GO:0072659]; regulation of circadian rhythm [GO:0042752]; regulation of microtubule cytoskeleton organization [GO:0070507]; regulation of stress granule assembly [GO:0062028]; regulation of vascular permeability [GO:0043114]; regulation of vesicle-mediated transport [GO:0060627]; response to activity [GO:0014823]; response to caffeine [GO:0031000]; response to estrogen [GO:0043627]; response to gamma radiation [GO:0010332]; response to hypoxia [GO:0001666]; response to UV [GO:0009411]; rhythmic process [GO:0048511]; signal transduction [GO:0007165]; Wnt signaling pathway [GO:0016055]
Protein kinase C beta type (PKC-B) (PKC-beta) (EC 2.7.11.13)	PRKCB PKCB PRKCB1	adaptive immune response [GO:0002250]; apoptotic process [GO:0006915]; B cell activation [GO:0042113]; B cell receptor signaling pathway [GO:0050853]; calcium ion transport [GO:0006816]; cellular response to carbohydrate stimulus [GO:0071322]; intracellular calcium ion homeostasis [GO:0006874]; intracellular signal transduction [GO:0035556]; lipoprotein transport [GO:0042953]; mitotic nuclear membrane disassembly [GO:0007077]; negative regulation of D-glucose transmembrane transport [GO:0010829]; negative regulation of insulin receptor signaling pathway [GO:0046627]; phospholipase C-activating G protein-coupled acetylcholine receptor signaling pathway [GO:0007207]; positive regulation of angiogenesis [GO:0045766]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of ferroptosis [GO:0160020]; positive regulation of insulin secretion [GO:0032024]; positive regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030949]; presynaptic modulation of chemical synaptic transmission [GO:0099171]; protein kinase C signaling [GO:0070528]; protein phosphorylation [GO:0006468]; regulation of D-glucose transmembrane transport [GO:0010827]; regulation of synaptic vesicle exocytosis [GO:2000300]; regulation of transcription by RNA polymerase II [GO:0006357]; signal transduction [GO:0007165]
